date,close,volume
2018-04-25,11.52,74835
2018-04-26,11.79,48007
2018-04-27,11.78,65875
2018-04-30,11.45,90202
2018-05-01,11.1,96262
2018-05-02,11.28,58174
2018-05-03,10.98,114500
2018-05-04,10.91,114248
2018-05-07,10.93,48115
2018-05-08,10.81,43558
2018-05-09,10.65,144360
2018-05-10,10.69,41849
2018-05-11,10.42,58181
2018-05-14,10.56,33247
2018-05-15,10.84,79994
2018-05-16,11.71,114918
2018-05-17,11.68,161531
2018-05-18,11.71,73027
2018-05-21,11.68,47272
2018-05-22,11.55,57793
2018-05-23,11.56,102890
2018-05-24,11.46,92028
2018-05-25,11.27,22302
2018-05-29,11.35,91357
2018-05-30,11.45,224505
2018-05-31,12.31,345071
2018-06-01,12.5,406511
2018-06-04,12.64,219978
2018-06-05,13.3,449976
2018-06-06,12.85,605458
2018-06-07,12.41,395351
2018-06-08,12.97,307223
2018-06-11,12.98,387432
2018-06-12,12.75,536718
2018-06-13,11.84,425477
2018-06-14,12.07,238305
2018-06-15,12.87,508774
2018-06-18,13.33,338994
2018-06-19,14.49,728490
2018-06-20,15.57,180129
2018-06-21,13.83,316722
2018-06-22,14.09,600411
2018-06-25,14.76,326318
2018-06-26,14.09,103127
2018-06-27,14.12,151373
2018-06-28,14.12,117678
2018-06-29,14.35,267046
2018-07-02,14.59,47625
2018-07-03,14.72,31699
2018-07-05,14.9,294339
2018-07-06,14.7,541445
2018-07-09,14.91,317754
2018-07-10,14.78,189782
2018-07-11,14.86,293249
2018-07-12,15.32,407273
2018-07-13,16.16,87001
2018-07-16,15.05,112925
2018-07-17,13.81,324087
2018-07-18,13.98,796948
2018-07-19,14.06,1053065
2018-07-20,14.06,921340
2018-07-23,14.71,892417
2018-07-24,14.54,446643
2018-07-25,14.36,555404
2018-07-26,14.57,397547
2018-07-27,15.23,446143
2018-07-30,15.82,145411
2018-07-31,16.77,601701
2018-08-01,15.51,235473
2018-08-02,14.84,86231
2018-08-03,15.43,829187
2018-08-06,16.45,958562
2018-08-07,16.67,573221
2018-08-08,15.02,471416
2018-08-09,15.03,241384
2018-08-10,15.72,676634
2018-08-13,15.62,182988
2018-08-14,14.8,440680
2018-08-15,14.2,613428
2018-08-16,13.73,434649
2018-08-17,13.7,289346
2018-08-20,14.35,674195
2018-08-21,14.12,855428
2018-08-22,14.93,516101
2018-08-23,14.92,365628
2018-08-24,14.9,283312
2018-08-27,14.45,498016
2018-08-28,14.61,196162
2018-08-29,15.98,287982
2018-08-30,16.11,132784
2018-08-31,16.31,356493
2018-09-04,14.52,544098
2018-09-05,14.16,414373
2018-09-06,13.16,499384
2018-09-07,12.9,431551
2018-09-10,12.19,102924
2018-09-11,11.96,204011
2018-09-12,11.43,191804
2018-09-13,11.3,86382
2018-09-14,11.25,65283
2018-09-17,11.07,78936
2018-09-18,11.4,336754
2018-09-19,12.29,253320
2018-09-20,12.27,169962
2018-09-21,12.16,152438
2018-09-24,12.56,87468
2018-09-25,12.33,1073238
2018-09-26,10.67,1358629
2018-09-27,10.56,113247
2018-09-28,10.3,171545
2018-10-01,10.37,174137
2018-10-02,11.06,152712
2018-10-03,10.38,153405
2018-10-04,9.28,126439
2018-10-05,9.6,84316
2018-10-08,9.9,99502
2018-10-09,10.25,120486
2018-10-10,9.29,93639
2018-10-11,9.48,64252
2018-10-12,9.71,66276
2018-10-15,9.53,109883
2018-10-16,9.87,167096
2018-10-17,9.87,82269
2018-10-18,9.81,107509
2018-10-19,9.65,36522
2018-10-22,8.92,147407
2018-10-23,8.89,80301
2018-10-24,8.2,195390
2018-10-25,8.57,113293
