date,close,volume
2018-04-25,136.77,112890
2018-04-26,135.16,101953
2018-04-27,134.43,83586
2018-04-30,122.61,3375119
2018-05-01,124.41,2082958
2018-05-02,122.99,1479476
2018-05-03,119.0,1435234
2018-05-04,117.37,672791
2018-05-07,118.27,556319
2018-05-08,119.28,401037
2018-05-09,119.38,387881
2018-05-10,118.37,222969
2018-05-11,119.41,484987
2018-05-14,117.53,333850
2018-05-15,116.82,317469
2018-05-16,118.43,331830
2018-05-17,117.69,340134
2018-05-18,118.39,483590
2018-05-21,118.6,314592
2018-05-22,118.67,313740
2018-05-23,118.58,307445
2018-05-24,119.0,263763
2018-05-25,119.6,303306
2018-05-29,118.16,295026
2018-05-30,121.93,769084
2018-05-31,120.24,640904
2018-06-01,121.74,318318
2018-06-04,121.66,180309
2018-06-05,121.99,304247
2018-06-06,123.17,235214
2018-06-07,122.48,218629
2018-06-08,122.01,211842
2018-06-11,122.01,175195
2018-06-12,122.22,222819
2018-06-13,117.86,362765
2018-06-14,119.65,293302
2018-06-15,120.5,249551
2018-06-18,120.25,231556
2018-06-19,119.7,321938
2018-06-20,120.31,298048
2018-06-21,119.14,434134
2018-06-22,117.98,420851
2018-06-25,115.22,464769
2018-06-26,112.77,527172
2018-06-27,110.31,525064
2018-06-28,108.67,504996
2018-06-29,112.96,856445
2018-07-02,113.61,511806
2018-07-03,117.25,362368
2018-07-05,115.03,365043
2018-07-06,116.39,283257
2018-07-09,118.63,404213
2018-07-10,118.29,356404
2018-07-11,119.34,345982
2018-07-12,117.83,340072
2018-07-13,117.85,351208
2018-07-16,118.59,280229
2018-07-17,119.06,215003
2018-07-18,119.67,270248
2018-07-19,120.07,206595
2018-07-20,119.98,174384
2018-07-23,120.01,174067
2018-07-24,117.74,230658
2018-07-25,116.12,230057
2018-07-26,122.21,694464
2018-07-27,119.13,292469
2018-07-30,118.02,178415
2018-07-31,119.11,189178
2018-08-01,116.94,382061
2018-08-02,122.35,617615
2018-08-03,119.78,381400
2018-08-06,121.2,269426
2018-08-07,120.95,388583
2018-08-08,117.87,216581
2018-08-09,117.73,134290
2018-08-10,117.19,147196
2018-08-13,115.96,218989
2018-08-14,118.73,164052
2018-08-15,117.28,237874
2018-08-16,119.91,192831
2018-08-17,120.56,200100
2018-08-20,123.27,237753
2018-08-21,126.33,423442
2018-08-22,126.15,208616
2018-08-23,124.3,254685
2018-08-24,124.83,213600
2018-08-27,123.35,242999
2018-08-28,124.69,250256
2018-08-29,121.75,588508
2018-08-30,121.61,444847
2018-08-31,119.0,7085282
2018-09-04,118.28,844250
2018-09-05,118.31,1017872
2018-09-06,115.96,676126
2018-09-07,115.32,856121
2018-09-10,112.89,851639
2018-09-11,108.43,1010843
2018-09-12,109.84,723725
2018-09-13,112.07,451358
2018-09-14,114.29,453769
2018-09-17,113.82,262369
2018-09-18,116.11,380322
2018-09-19,116.11,410357
2018-09-20,118.15,418804
2018-09-21,118.0,562047
2018-09-24,116.16,397695
2018-09-25,117.3,525471
2018-09-26,116.72,414308
2018-09-27,111.48,1085630
2018-09-28,111.75,425776
2018-10-01,109.01,474296
2018-10-02,108.29,744564
2018-10-03,107.37,634523
2018-10-04,103.07,834208
2018-10-05,101.94,824610
2018-10-08,101.65,581259
2018-10-09,100.19,658277
2018-10-10,95.11,855680
2018-10-11,93.59,1114208
2018-10-12,93.73,687040
2018-10-15,93.45,551540
2018-10-16,95.99,545217
2018-10-17,94.69,568518
2018-10-18,91.55,638577
2018-10-19,89.96,537404
2018-10-22,89.19,535107
2018-10-23,86.92,660566
2018-10-24,83.94,940261
2018-10-25,86.58,726582
2018-10-26,85.98,668613
2018-10-29,84.55,624772
2018-10-30,86.69,448686
2018-10-31,88.49,631151
2018-11-01,97.08,847464
2018-11-02,98.02,546763
2018-11-05,97.18,481917
2018-11-06,96.2,597427
2018-11-07,91.69,1435194
2018-11-08,87.36,1118002
2018-11-09,80.51,1441204
2018-11-12,75.8,1484334
2018-11-13,75.51,793197
2018-11-14,76.36,824431
2018-11-15,75.52,998744
2018-11-16,76.61,769403
2018-11-19,76.59,718399
2018-11-20,73.1,840496
2018-11-21,76.58,435273
2018-11-23,76.04,225733
2018-11-26,77.13,471801
2018-11-27,77.96,526279
2018-11-28,79.89,573927
2018-11-29,81.73,1001375
2018-11-30,81.2,615083
2018-12-03,85.06,677435
2018-12-04,77.84,736988
2018-12-06,75.38,771895
2018-12-07,72.6,593239
2018-12-10,73.92,692419
2018-12-11,71.76,530268
2018-12-12,73.28,439595
2018-12-13,72.66,457815
2018-12-14,72.31,428372
2018-12-17,72.57,624065
2018-12-18,70.6,630940
2018-12-19,67.64,595467
2018-12-20,65.05,960514
2018-12-21,62.52,1678171
2018-12-24,61.33,423746
2018-12-26,66.84,551753
2018-12-27,67.99,674388
2018-12-28,69.61,802889
2018-12-31,70.51,553609
2019-01-02,69.98,587895
2019-01-03,68.13,476050
2019-01-04,73.28,686478
2019-01-07,75.35,551867
2019-01-08,77.92,631052
2019-01-09,77.03,648779
2019-01-10,77.78,440850
2019-01-11,78.62,400290
2019-01-14,78.51,493538
2019-01-15,77.98,279324
2019-01-16,80.0,464267
2019-01-17,81.45,637513
2019-01-18,83.77,478282
2019-01-22,81.05,709380
2019-01-23,81.3,543205
2019-01-24,83.35,377270
2019-01-25,85.56,523146
2019-01-28,87.21,422175
2019-01-29,87.97,446103
2019-01-30,87.9,477226
2019-01-31,88.54,468378
2019-02-01,90.04,405761
2019-02-04,91.52,317899
2019-02-05,91.97,378150
2019-02-06,91.81,398318
2019-02-07,90.09,482602
2019-02-08,90.02,375732
2019-02-11,91.19,281013
2019-02-12,92.86,211319
2019-02-13,93.66,269323
2019-02-14,92.79,380034
2019-02-15,94.58,461258
2019-02-19,95.26,300679
2019-02-20,97.0,627244
2019-02-21,95.69,659689
2019-02-22,98.81,441716
2019-02-25,98.84,487579
2019-02-26,96.46,635569
2019-02-27,97.58,514209
2019-02-28,97.34,1070743
2019-03-01,100.8,586962
2019-03-04,101.18,837479
2019-03-05,98.73,447091
2019-03-06,98.75,459501
2019-03-07,96.0,506618
2019-03-08,96.7,378656
2019-03-11,95.42,631078
2019-03-12,94.4,501798
2019-03-13,94.47,415474
2019-03-14,93.78,399771
2019-03-15,95.04,979937
2019-03-18,96.07,297617
2019-03-19,95.59,265514
2019-03-20,94.64,308275
2019-03-21,96.57,568808
2019-03-22,92.78,264888
2019-03-25,92.63,253351
2019-03-26,93.25,238301
2019-03-27,93.36,413038
2019-03-28,94.66,269624
2019-03-29,93.5,501904
2019-04-01,96.78,381022
2019-04-02,97.26,279760
2019-04-03,97.01,313713
2019-04-04,97.54,264502
2019-04-05,100.4,456633
2019-04-08,100.8,339525
2019-04-09,99.04,258771
2019-04-10,100.16,359585
2019-04-11,101.83,347985
2019-04-12,103.85,315705
2019-04-15,103.92,255520
2019-04-16,104.98,191259
2019-04-17,104.93,301033
2019-04-18,104.57,233205
2019-04-22,106.0,223331
2019-04-23,107.97,382991
2019-04-24,106.46,380367
2019-04-25,105.06,311771
2019-04-26,105.17,556042
2019-04-29,107.34,290909
2019-04-30,105.63,444617
2019-05-01,105.85,263187
2019-05-02,104.83,252759
2019-05-03,107.25,416724
2019-05-06,105.96,281679
2019-05-07,100.12,474664
2019-05-08,102.13,398275
2019-05-09,100.41,502804
2019-05-10,98.42,494511
2019-05-13,94.98,512519
2019-05-14,97.18,389313
2019-05-15,97.53,243051
2019-05-16,98.77,197134
2019-05-17,96.53,209365
2019-05-20,95.19,207616
2019-05-21,96.74,232882
2019-05-22,94.77,225240
2019-05-23,92.68,277715
2019-05-24,94.1,198509
2019-05-28,92.5,271337
2019-05-29,92.14,216036
2019-05-30,92.14,182708
2019-05-31,89.9,336808
2019-06-03,88.66,427683
2019-06-04,93.75,265062
2019-06-05,92.44,275423
2019-06-06,90.79,340905
2019-06-07,93.44,319768
2019-06-10,97.98,479747
2019-06-11,97.82,267705
2019-06-12,97.7,177208
2019-06-13,97.43,207712
2019-06-14,97.75,188457
2019-06-17,97.27,372819
2019-06-18,98.69,293525
2019-06-19,97.01,300809
2019-06-20,97.19,288222
2019-06-21,95.39,540973
2019-06-24,95.02,323450
2019-06-25,92.73,336273
2019-06-26,93.04,258699
2019-06-27,96.5,299401
2019-06-28,96.4,1738262
2019-07-01,97.19,279943
2019-07-02,97.87,259919
