date,close,volume
2018-04-25,2.2,40717
2018-04-26,2.2,34454
2018-04-27,2.2,20871
2018-04-30,2.2,27476
2018-05-01,2.23,33244
2018-05-02,2.2,157419
2018-05-03,2.2,44952
2018-05-04,2.2,17851
2018-05-07,2.2,114964
2018-05-08,2.25,32153
2018-05-09,2.17,71555
2018-05-10,2.15,30850
2018-05-11,2.15,42834
2018-05-14,2.2,99936
2018-05-15,2.17,50431
2018-05-16,2.23,73071
2018-05-17,2.2,190372
2018-05-18,2.2,32490
2018-05-21,2.15,60888
2018-05-22,2.13,81380
2018-05-23,2.15,36341
2018-05-24,2.13,35183
2018-05-25,2.15,35343
2018-05-29,2.1,91666
2018-05-30,2.05,44840
2018-05-31,2.1,70849
2018-06-01,2.13,22307
2018-06-04,2.13,54102
2018-06-05,2.15,633664
2018-06-06,3.0,5890526
2018-06-07,2.6,723975
2018-06-08,2.5,250228
2018-06-11,2.75,307695
2018-06-12,2.68,252329
2018-06-13,2.65,108363
2018-06-14,2.7,66906
2018-06-15,2.7,138660
2018-06-18,2.8,218646
2018-06-19,2.8,151319
2018-06-20,2.75,49980
2018-06-21,2.65,105454
2018-06-22,2.5,65568
2018-06-25,2.55,34849
2018-06-26,2.33,192894
2018-06-27,2.3,65441
2018-06-28,2.23,77561
2018-06-29,2.2,62925
2018-07-02,2.17,35264
2018-07-03,2.15,93341
2018-07-05,2.13,114233
2018-07-06,2.13,72927
2018-07-09,2.13,66494
2018-07-10,2.15,182928
2018-07-11,2.17,59106
2018-07-12,2.15,154518
2018-07-13,2.15,115604
2018-07-16,2.1,71270
2018-07-17,2.13,72200
2018-07-18,2.13,56096
2018-07-19,2.1,224275
2018-07-20,2.1,130736
2018-07-23,2.1,69838
2018-07-24,2.0,127346
2018-07-25,2.05,172087
2018-07-26,2.0,37155
2018-07-27,2.0,51041
2018-07-30,1.95,189857
2018-07-31,1.95,60813
2018-08-01,1.93,17122
2018-08-02,1.85,140871
2018-08-03,1.85,55513
2018-08-06,1.83,104618
2018-08-07,1.75,160826
2018-08-08,1.73,415602
2018-08-09,1.7,46417
2018-08-10,1.78,161283
2018-08-13,1.75,59120
2018-08-14,1.73,45176
2018-08-15,1.7,105152
2018-08-16,1.65,326668
2018-08-17,1.65,65989
2018-08-20,1.6,293114
2018-08-21,1.65,108385
2018-08-22,1.65,35339
2018-08-23,1.65,33901
2018-08-24,1.6,26429
2018-08-27,1.65,73815
2018-08-28,1.63,56734
2018-08-29,1.65,91463
2018-08-30,1.68,162662
2018-08-31,1.68,88352
2018-09-04,1.65,36534
2018-09-05,1.7,15969
2018-09-06,1.65,107559
2018-09-07,1.6,54906
2018-09-10,1.65,32175
2018-09-11,1.6,203323
2018-09-12,1.65,44065
2018-09-13,1.55,130309
2018-09-14,1.6,19743
2018-09-17,1.6,47648
2018-09-18,1.63,111642
2018-09-19,1.63,44640
2018-09-20,1.6,47875
2018-09-21,1.6,47876
2018-09-24,1.55,84179
2018-09-25,1.58,26219
2018-09-26,1.6,37815
2018-09-27,1.6,47500
2018-09-28,1.63,215674
2018-10-01,1.66,753858
2018-10-02,1.72,1071253
2018-10-03,1.65,267315
2018-10-04,1.61,201914
2018-10-05,1.62,80272
2018-10-08,1.61,137461
2018-10-09,1.66,118028
2018-10-10,1.55,161080
2018-10-11,1.43,368887
2018-10-12,1.42,81269
2018-10-15,1.39,270773
2018-10-16,1.4,131326
2018-10-17,1.42,78866
2018-10-18,1.44,173495
2018-10-19,1.44,56633
2018-10-22,1.35,338461
2018-10-23,1.36,145611
2018-10-24,1.4,158509
2018-10-25,1.4,61288
2018-10-26,1.32,133130
2018-10-29,1.25,132887
2018-10-30,1.26,71821
2018-10-31,1.35,70715
2018-11-01,1.43,88147
2018-11-02,1.37,60180
2018-11-05,1.33,55690
2018-11-06,1.36,49153
2018-11-07,1.31,50979
2018-11-08,1.32,52374
2018-11-09,1.38,76680
2018-11-12,1.27,113968
2018-11-13,1.22,94259
2018-11-14,1.19,88057
2018-11-15,1.14,105263
2018-11-16,1.1,138235
2018-11-19,1.12,106109
2018-11-20,1.15,204798
2018-11-21,1.19,50433
2018-11-23,1.18,19117
2018-11-26,1.17,94026
2018-11-27,1.13,22476
2018-11-28,1.15,695338
2018-11-29,1.19,172862
2018-11-30,1.2,104657
2018-12-03,1.26,76512
2018-12-04,1.19,27136
2018-12-06,1.2,42229
2018-12-07,1.18,46935
2018-12-10,1.16,72291
2018-12-11,1.18,177418
2018-12-12,1.15,126620
2018-12-13,1.17,72805
2018-12-14,1.13,88922
2018-12-17,1.09,188382
2018-12-18,1.03,142558
2018-12-19,1.11,72790
2018-12-20,1.02,154686
2018-12-21,0.6,268003
2018-12-24,0.7753,207441
2018-12-26,0.822,98351
2018-12-27,0.777,213173
2018-12-28,0.8851,357175
2018-12-31,0.97,642648
2019-01-02,0.9933,222386
2019-01-03,0.939,163271
2019-01-04,0.99,39312
2019-01-07,1.12,556607
2019-01-08,1.09,264687
2019-01-09,1.16,107440
2019-01-10,1.17,67164
2019-01-11,1.13,12364
2019-01-14,1.16,59546
2019-01-15,1.14,60331
2019-01-16,1.2,155119
2019-01-17,1.22,133653
2019-01-18,1.15,92629
2019-01-22,1.18,93644
2019-01-23,1.18,62929
2019-01-24,1.19,49328
2019-01-25,1.27,933224
2019-01-28,1.24,406523
2019-01-29,1.26,237643
2019-01-30,1.29,367577
2019-01-31,1.26,111900
2019-02-01,1.28,35794
2019-02-04,1.3,380844
2019-02-05,1.3,97672
2019-02-06,1.34,324332
2019-02-07,1.34,233684
2019-02-08,1.34,69515
2019-02-11,1.33,11793
2019-02-12,1.36,95392
2019-02-13,1.35,75201
2019-02-14,1.32,33686
2019-02-15,1.37,64456
2019-02-19,1.41,208717
2019-02-20,1.42,140680
2019-02-21,1.44,116810
2019-02-22,1.41,47288
2019-02-25,1.5,359217
2019-02-26,1.6,287942
2019-02-27,1.63,77447
2019-02-28,1.63,150629
2019-03-01,1.63,56913
2019-03-04,1.61,159031
2019-03-05,1.59,55206
2019-03-06,1.62,79796
2019-03-07,1.63,42852
2019-03-08,1.64,27345
2019-03-11,1.64,71788
2019-03-12,1.68,135257
2019-03-13,1.68,109475
2019-03-14,1.67,17914
2019-03-15,1.66,69158
2019-03-18,1.71,140572
2019-03-19,1.75,665660
2019-03-20,1.7,87503
2019-03-21,1.63,101211
2019-03-22,1.61,117293
2019-03-25,1.54,125928
2019-03-26,1.58,82600
2019-03-27,1.62,49511
2019-03-28,1.56,63672
2019-03-29,1.52,90335
2019-04-01,1.53,34370
2019-04-02,1.5,74443
2019-04-03,1.48,94648
2019-04-04,1.5,28392
2019-04-05,1.49,41858
2019-04-08,1.49,73704
2019-04-09,1.45,87342
2019-04-10,1.44,43172
2019-04-11,1.46,36074
2019-04-12,1.48,9660
2019-04-15,1.41,53877
2019-04-16,1.41,53541
2019-04-17,1.43,963227
2019-04-18,1.41,122669
2019-04-22,1.3,199152
2019-04-23,1.32,139893
2019-04-24,1.31,85890
2019-04-25,1.3,43940
2019-04-26,1.3,84585
2019-04-29,1.33,36499
2019-04-30,1.28,126630
2019-05-01,1.25,34714
2019-05-02,1.27,32050
2019-05-03,1.28,10710
2019-05-06,1.32,60763
2019-05-07,1.3,559818
2019-05-08,1.25,60843
2019-05-09,1.26,18082
2019-05-10,1.25,36220
2019-05-13,1.23,45110
2019-05-14,1.24,18348
2019-05-15,1.21,13471
2019-05-16,1.3,306798
2019-05-17,1.25,50023
2019-05-20,1.21,406844
2019-05-21,1.28,28186
2019-05-22,1.33,36907
2019-05-23,1.3,50800
2019-05-24,1.28,7752
2019-05-28,1.28,33250
2019-05-29,1.3,19491
2019-05-30,1.32,78568
2019-05-31,1.37,225068
2019-06-03,1.26,328383
2019-06-04,1.2,150933
2019-06-05,1.21,31364
2019-06-06,1.19,94819
2019-06-07,1.2,57592
2019-06-10,1.22,15569
2019-06-11,1.23,22048
2019-06-12,1.23,40809
2019-06-13,1.22,14306
2019-06-14,1.2,15113
2019-06-17,1.22,4254
2019-06-18,1.2,21670
2019-06-19,1.25,58573
2019-06-20,1.22,3628
2019-06-21,1.16,51058
2019-06-24,1.22,17779
2019-06-25,1.19,26386
2019-06-26,1.16,14456
2019-06-27,1.26,115737
2019-06-28,1.3,48833
2019-07-01,1.3,69790
2019-07-02,1.34,83171
2019-07-03,1.33,1569
2019-07-05,1.3,46416
2019-07-08,1.29,12411
2019-07-09,1.36,179139
2019-07-10,1.36,138759
2019-07-11,1.41,11886
2019-07-12,1.38,32720
2019-07-15,1.42,6383
2019-07-16,1.38,22025
2019-07-17,1.37,14599
2019-07-18,1.35,42372
2019-07-19,1.34,29814
2019-07-22,1.32,15656
2019-07-23,1.31,13312
2019-07-24,1.33,22550
2019-07-25,1.32,168608
2019-07-26,1.31,12020
2019-07-29,1.32,50472
2019-07-30,1.32,10290
2019-07-31,1.32,18083
2019-08-01,1.29,26665
2019-08-02,1.28,3401
2019-08-05,1.17,91926
2019-08-06,1.15,55330
2019-08-07,1.23,96417
2019-08-08,1.22,5581
2019-08-09,1.26,26712
2019-08-12,1.2,41239
2019-08-13,1.25,60963
2019-08-14,1.21,46726
2019-08-15,1.18,8919
2019-08-16,1.18,6943
2019-08-19,1.2,6682
2019-08-20,1.18,3123
2019-08-21,1.14,19721
2019-08-22,1.16,4968
2019-08-23,1.18,11007
2019-08-26,1.15,5910
2019-08-27,1.16,16823
2019-08-28,1.11,7465
2019-08-29,1.14,64243
2019-08-30,1.19,16317
2019-09-03,1.17,11491
2019-09-04,1.16,13931
2019-09-05,1.18,6030
2019-09-06,1.19,14547
2019-09-09,1.17,14338
2019-09-10,1.19,5399
2019-09-11,1.28,41714
2019-09-12,1.26,31826
2019-09-13,1.28,8682
2019-09-16,1.28,12592
2019-09-17,1.31,25432
2019-09-18,1.25,23766
2019-09-19,1.28,2220
2019-09-20,1.31,14492
2019-09-23,1.29,6226
2019-09-24,1.24,18529
2019-09-25,1.27,14575
2019-09-26,1.25,9719
2019-09-27,1.25,2069
2019-09-30,1.35,40988
2019-10-01,1.32,3007
2019-10-02,1.26,23490
2019-10-03,1.27,18485
2019-10-04,1.28,994
2019-10-07,1.29,6635
2019-10-08,1.31,30117
2019-10-09,1.32,25812
2019-10-10,1.3,9331
2019-10-11,1.29,17688
2019-10-14,1.31,2065
2019-10-15,1.31,40719
2019-10-16,1.31,3178
2019-10-17,1.3,73816
2019-10-18,1.31,2736
2019-10-21,1.29,2085
2019-10-22,1.27,14730
2019-10-23,1.28,9129
2019-10-24,1.27,10988
2019-10-25,1.29,39391
2019-10-28,1.27,30159
2019-10-29,1.27,61982
2019-10-30,1.25,6823
2019-10-31,1.25,41265
2019-11-01,1.24,20538
2019-11-04,1.23,68453
2019-11-05,1.21,35940
2019-11-06,1.23,49166
2019-11-07,1.22,5613
2019-11-08,1.3,28817
2019-11-11,1.25,14954
2019-11-12,1.27,14703
2019-11-13,1.26,16561
2019-11-14,1.23,126368
2019-11-15,1.19,43208
2019-11-18,1.17,11353
2019-11-19,1.15,67547
2019-11-20,1.11,60746
2019-11-21,1.18,83693
2019-11-22,1.25,366115
2019-11-25,1.22,134897
2019-11-26,1.25,71782
2019-11-27,1.26,39271
2019-11-29,1.3,48115
2019-12-02,1.27,22795
2019-12-03,1.25,76098
2019-12-04,1.21,36229
2019-12-05,1.25,36191
2019-12-06,1.23,22812
2019-12-09,1.21,58593
2019-12-10,1.22,24983
2019-12-11,1.2,126279
2019-12-12,1.16,86542
2019-12-13,1.22,38352
2019-12-16,1.15,43372
2019-12-17,1.16,39890
2019-12-18,1.17,39828
2019-12-19,1.15,35742
2019-12-20,1.15,146312
2019-12-23,1.1,181199
2019-12-24,1.14,38328
2019-12-26,1.14,38955
2019-12-27,1.13,86565
2019-12-30,1.16,87403
2019-12-31,1.2,146287
2020-01-02,1.25,109296
2020-01-03,1.26,41811
2020-01-06,1.25,112753
2020-01-07,1.25,145053
2020-01-08,1.24,146530
2020-01-09,1.37,360254
2020-01-10,1.35,144141
2020-01-13,1.41,206350
2020-01-14,1.45,161719
2020-01-15,1.39,143787
2020-01-16,1.41,45642
2020-01-17,1.43,130980
2020-01-21,1.42,48900
2020-01-22,1.39,115877
2020-01-23,1.43,64432
2020-01-24,1.48,198449
2020-01-27,1.56,207663
2020-01-28,1.54,101416
2020-01-29,1.57,228109
2020-01-30,1.53,36287
2020-01-31,1.51,144270
2020-02-03,1.53,132910
2020-02-04,1.5,84075
2020-02-05,1.42,229670
2020-02-06,1.45,34737
2020-02-07,1.46,37638
2020-02-10,1.46,96269
2020-02-11,1.45,61780
2020-02-12,1.45,59829
2020-02-13,1.43,39979
2020-02-14,1.37,110647
2020-02-18,1.37,79462
2020-02-19,1.39,54241
2020-02-20,1.44,99259
2020-02-21,1.45,39979
2020-02-24,1.4,56768
2020-02-25,1.33,51204
2020-02-26,1.35,68689
2020-02-27,1.33,86336
2020-02-28,1.49,108325
2020-03-02,1.48,69697
2020-03-03,1.42,38885
2020-03-04,1.43,78926
2020-03-05,1.39,72475
2020-03-06,1.33,58239
2020-03-09,1.24,97583
2020-03-10,1.24,50275
2020-03-11,1.23,47474
2020-03-12,1.09,78817
2020-03-13,1.13,62201
2020-03-16,0.9897,103447
2020-03-17,1.0,163909
2020-03-18,0.96,129885
2020-03-19,1.04,87044
2020-03-20,1.1,50774
2020-03-23,1.08,52535
2020-03-24,1.08,52490
2020-03-25,1.15,66900
2020-03-26,1.46,2740694
2020-03-27,1.32,358589
2020-03-30,1.35,445432
2020-03-31,1.35,160552
2020-04-01,1.16,221352
2020-04-02,1.24,73406
2020-04-03,1.16,82554
2020-04-06,1.29,66057
2020-04-07,1.38,162094
2020-04-08,1.35,82254
2020-04-09,1.37,75723
2020-04-13,1.35,147373
2020-04-14,1.31,95341
2020-04-15,1.3,59845
2020-04-16,1.38,43926
2020-04-17,1.36,81708
2020-04-20,1.37,144017
2020-04-21,1.35,95513
2020-04-22,1.35,114265
2020-04-23,1.36,155617
2020-04-24,1.35,97168
2020-04-27,1.32,208666
2020-04-28,1.39,66326
2020-04-29,1.38,167128
2020-04-30,1.35,131511
2020-05-01,1.4,86675
2020-05-04,1.37,377097
2020-05-05,1.5,223782
2020-05-06,1.63,393919
2020-05-07,1.28,1452784
2020-05-08,1.27,453121
2020-05-11,1.3,959791
2020-05-12,1.26,452638
2020-05-13,1.22,239109
2020-05-14,1.2,651662
2020-05-15,1.2,159396
2020-05-18,1.19,1482823
2020-05-19,1.18,828103
2020-05-20,1.17,1012896
2020-05-21,1.19,643609
2020-05-22,1.14,621301
2020-05-26,1.12,2351703
2020-05-27,1.15,1800585
2020-05-28,1.23,2984640
2020-05-29,1.23,785769
2020-06-01,1.23,887588
2020-06-02,1.28,848103
2020-06-03,1.27,491422
2020-06-04,1.26,487725
2020-06-05,1.29,486078
2020-06-08,1.3,520877
2020-06-09,1.33,472132
2020-06-10,1.36,303225
2020-06-11,1.19,815072
2020-06-12,1.22,195537
2020-06-15,1.26,203685
2020-06-16,1.39,1012727
2020-06-17,1.29,5447035
2020-06-18,1.28,823721
2020-06-19,1.26,543256
2020-06-22,1.26,1264657
2020-06-23,1.27,642737
2020-06-24,1.25,285566
2020-06-25,1.29,305500
2020-06-26,1.25,190417
2020-06-29,1.28,271778
2020-06-30,1.28,200022
2020-07-01,1.23,142040
2020-07-02,1.22,202432
2020-07-06,1.26,189008
2020-07-07,1.26,160252
2020-07-08,1.25,181718
2020-07-09,1.23,94034
2020-07-10,1.24,151148
2020-07-13,1.23,189859
2020-07-14,1.22,140609
2020-07-15,1.22,88090
2020-07-16,1.24,222914
2020-07-17,1.28,261327
2020-07-20,1.3,209819
2020-07-21,1.34,390079
2020-07-22,1.29,117919
2020-07-23,1.28,79501
2020-07-24,1.31,125220
2020-07-27,1.36,342007
2020-07-28,1.32,156846
2020-07-29,1.28,137997
2020-07-30,1.3,66644
2020-07-31,1.31,253134
2020-08-03,1.26,355230
2020-08-04,1.3,172958
2020-08-05,1.34,315983
2020-08-06,1.3,171541
2020-08-07,1.3,73685
2020-08-10,1.3,112481
2020-08-11,1.31,207104
2020-08-12,1.34,1822225
2020-08-13,1.28,303775
2020-08-14,1.29,232344
