date,close,volume
2018-04-25,131.21,425226
2018-04-26,131.29,295945
2018-04-27,131.31,120802
2018-04-30,129.94,140470
2018-05-01,130.09,274130
2018-05-02,130.15,219434
2018-05-03,129.58,178772
2018-05-04,131.18,131405
2018-05-07,132.04,168352
2018-05-08,132.45,129951
2018-05-09,133.22,162580
2018-05-10,134.0,248624
2018-05-11,134.13,279682
2018-05-14,133.97,189647
2018-05-15,133.84,153070
2018-05-16,134.95,209375
2018-05-17,135.46,208582
2018-05-18,135.35,204955
2018-05-21,136.6,215514
2018-05-22,135.85,358924
2018-05-23,135.81,275583
2018-05-24,135.95,157129
2018-05-25,135.71,136404
2018-05-29,135.21,450654
2018-05-30,137.11,213255
2018-05-31,135.81,211656
2018-06-01,136.6,184978
2018-06-04,137.41,218186
2018-06-05,137.97,185164
2018-06-06,139.0,202161
2018-06-07,138.93,213647
2018-06-08,139.46,184514
2018-06-11,139.54,249532
2018-06-12,139.51,154369
2018-06-13,138.55,148777
2018-06-14,138.78,117662
2018-06-15,138.62,160245
2018-06-18,139.1,181843
2018-06-19,138.98,198443
2018-06-20,139.77,260922
2018-06-21,138.73,461315
2018-06-22,138.43,173781
2018-06-25,136.73,238014
2018-06-26,137.05,214095
2018-06-27,135.4,221514
2018-06-28,135.83,507612
2018-06-29,135.79,183023
2018-07-02,136.12,622707
2018-07-03,136.48,138162
2018-07-05,137.71,255744
2018-07-06,138.68,249163
2018-07-09,139.75,157914
2018-07-10,139.59,224301
2018-07-11,138.51,174824
2018-07-12,138.56,353290
2018-07-13,138.57,186433
2018-07-16,137.91,195125
2018-07-17,138.38,262612
2018-07-18,138.97,165398
2018-07-19,139.54,135380
2018-07-20,139.15,289542
2018-07-23,139.18,171130
2018-07-24,138.33,164594
2018-07-25,138.77,483995
2018-07-26,139.68,191638
2018-07-27,138.18,540400
2018-07-30,137.85,394232
2018-07-31,139.17,248798
2018-08-01,138.66,275710
2018-08-02,139.51,267985
2018-08-03,139.63,226824
2018-08-06,140.31,253568
2018-08-07,140.58,174529
2018-08-08,140.44,205800
2018-08-09,140.34,149867
2018-08-10,139.6,158244
2018-08-13,138.84,180617
2018-08-14,140.14,307154
2018-08-15,138.85,297582
2018-08-16,140.07,172990
2018-08-17,140.92,167422
2018-08-20,141.45,209269
2018-08-21,142.72,185813
2018-08-22,142.57,143407
2018-08-23,141.97,219451
2018-08-24,142.4,159105
2018-08-27,142.78,382075
2018-08-28,142.68,189740
2018-08-29,142.94,183625
2018-08-30,142.24,183456
2018-08-31,142.53,122237
2018-09-04,142.0,212679
2018-09-05,142.2,202990
2018-09-06,141.49,299226
2018-09-07,141.04,187524
2018-09-10,141.28,153779
2018-09-11,141.37,155875
2018-09-12,141.17,133247
2018-09-13,141.39,143799
2018-09-14,141.98,160629
2018-09-17,141.06,1058161
2018-09-18,141.42,213591
2018-09-19,141.12,207811
2018-09-20,142.32,178962
2018-09-21,142.06,143988
2018-09-24,141.07,172921
2018-09-25,140.76,154432
2018-09-26,139.67,155674
2018-09-27,139.64,133675
2018-09-28,139.36,138957
2018-10-01,138.06,790701
2018-10-02,137.42,464446
2018-10-03,138.19,302425
2018-10-04,136.97,265795
2018-10-05,136.02,304510
2018-10-08,136.43,211801
2018-10-09,135.65,465869
2018-10-10,132.47,464304
2018-10-11,129.6,643785
2018-10-12,129.3,466734
2018-10-15,130.0,326402
2018-10-16,132.62,302816
2018-10-17,132.19,361687
2018-10-18,130.19,220616
2018-10-19,129.47,312931
2018-10-22,128.75,443474
2018-10-23,127.55,417528
2018-10-24,123.61,542146
2018-10-25,125.7,364742
2018-10-26,124.4,482949
2018-10-29,124.34,264693
2018-10-30,126.48,262377
2018-10-31,126.75,277780
2018-11-01,128.92,323539
2018-11-02,129.14,354770
2018-11-05,129.77,443011
2018-11-06,130.51,196702
2018-11-07,132.36,200925
2018-11-08,131.99,154359
2018-11-09,130.57,306597
2018-11-12,128.86,192888
2018-11-13,128.79,240221
2018-11-14,127.86,255556
2018-11-15,129.21,391296
2018-11-16,129.38,176436
2018-11-19,127.83,217386
2018-11-20,125.5,474908
2018-11-21,126.86,224812
2018-11-23,126.73,102874
2018-11-26,128.0,484295
2018-11-27,127.04,376907
2018-11-28,129.33,401816
2018-11-29,128.93,251970
2018-11-30,129.73,264627
2018-12-03,130.68,299714
2018-12-04,125.96,365266
2018-12-06,125.49,701248
2018-12-07,123.51,562688
2018-12-10,122.52,816658
2018-12-11,122.31,669273
2018-12-12,123.17,577971
2018-12-13,121.74,406407
2018-12-14,120.18,557929
2018-12-17,117.5,770020
2018-12-18,117.45,978342
2018-12-19,115.29,1071695
2018-12-20,113.69,1368807
2018-12-21,111.52,1348179
2018-12-24,107.94,818792
2018-12-26,112.66,1520651
2018-12-27,113.06,1585779
2018-12-28,113.22,1361263
2018-12-31,114.06,1844499
2019-01-02,114.31,555555
2019-01-03,112.91,466620
2019-01-04,116.65,443815
2019-01-07,118.05,594675
2019-01-08,119.67,393439
2019-01-09,120.75,341519
2019-01-10,121.46,241408
2019-01-11,121.72,427172
2019-01-14,121.05,371257
2019-01-15,121.64,337348
2019-01-16,122.66,947456
2019-01-17,123.81,380326
2019-01-18,125.24,694141
2019-01-22,123.44,668076
2019-01-23,123.18,294798
2019-01-24,124.03,295858
2019-01-25,125.35,281290
2019-01-28,125.23,581705
2019-01-29,125.34,326152
2019-01-30,126.3,253941
2019-01-31,126.79,397370
2019-02-01,127.2,418017
2019-02-04,128.29,449995
2019-02-05,128.73,385127
2019-02-06,128.61,452989
2019-02-07,127.99,245011
2019-02-08,127.73,231152
2019-02-11,128.46,375740
2019-02-12,129.8,321382
2019-02-13,130.37,207918
2019-02-14,130.25,288076
2019-02-15,131.77,297955
2019-02-19,132.2,298360
2019-02-20,132.91,294547
2019-02-21,132.58,368461
2019-02-22,133.45,214125
2019-02-25,133.11,275040
2019-02-26,132.11,252161
2019-02-27,132.3,217757
2019-02-28,131.85,193672
2019-03-01,132.79,242227
2019-03-04,132.17,329784
2019-03-05,131.59,240369
2019-03-06,129.66,234821
2019-03-07,128.43,319838
2019-03-08,128.21,272711
2019-03-11,129.85,197892
2019-03-12,129.97,161180
2019-03-13,130.55,242826
2019-03-14,130.12,237804
2019-03-15,130.16,294766
2019-03-18,131.1,233432
2019-03-19,130.09,217720
2019-03-20,128.77,312393
2019-03-21,130.18,241139
2019-03-22,126.43,313390
2019-03-25,126.67,304557
2019-03-26,127.99,205737
2019-03-27,128.01,306656
2019-03-28,128.4,208787
2019-03-29,128.73,251357
2019-04-01,130.62,304717
2019-04-02,130.06,287577
2019-04-03,130.56,379274
2019-04-04,131.61,211116
2019-04-05,132.68,248417
2019-04-08,132.5,234498
2019-04-09,130.85,265599
2019-04-10,132.28,179519
2019-04-11,132.54,200263
2019-04-12,133.39,241127
2019-04-15,132.76,211736
2019-04-16,133.14,228731
2019-04-17,132.5,150067
2019-04-18,132.35,178890
2019-04-22,131.51,290741
2019-04-23,133.24,304019
2019-04-24,133.65,226861
2019-04-25,132.17,308104
2019-04-26,133.57,414898
2019-04-29,133.93,176057
2019-04-30,133.76,207481
2019-05-01,132.56,188425
2019-05-02,132.65,254415
2019-05-03,134.7,266375
2019-05-06,134.7,287776
2019-05-07,132.44,213190
2019-05-08,131.74,253237
2019-05-09,131.46,225194
2019-05-10,131.88,242837
2019-05-13,128.3,379849
2019-05-14,129.58,199242
2019-05-15,129.7,189111
2019-05-16,130.48,146083
2019-05-17,128.92,150051
2019-05-20,128.07,184807
2019-05-21,129.59,140194
2019-05-22,128.42,184141
2019-05-23,126.32,275977
2019-05-24,126.95,143041
2019-05-28,125.66,204150
2019-05-29,124.87,304838
2019-05-30,124.38,208618
