date,close,volume
2018-04-25,14.06,6281
2018-04-26,14.08,5586
2018-04-27,14.24,10875
2018-04-30,14.2,3642
2018-05-01,14.37,8148
2018-05-02,14.33,11072
2018-05-03,14.35,8394
2018-05-04,14.39,2501
2018-05-07,14.45,1708
2018-05-08,14.23,6850
2018-05-09,14.15,8473
2018-05-10,14.1,2002
2018-05-11,14.17,1824
2018-05-14,14.27,9446
2018-05-15,14.31,2916
2018-05-16,14.52,2588
2018-05-17,14.44,2600
2018-05-18,14.44,0
2018-05-21,14.55,2120
2018-05-22,14.55,1480
2018-05-23,14.52,2401
2018-05-24,14.4,7575
2018-05-25,14.35,22631
2018-05-29,14.31,3552
2018-05-30,14.33,1638
2018-05-31,14.31,390
2018-06-01,14.31,3451
2018-06-04,14.45,2606
2018-06-05,14.48,5343
2018-06-06,14.42,3263
2018-06-07,14.55,6675
2018-06-08,14.54,2609
2018-06-11,14.65,1310
2018-06-12,14.95,11235
2018-06-13,14.92,1660
2018-06-14,14.92,9724
2018-06-15,14.95,3482
2018-06-18,14.89,7973
2018-06-19,14.76,1616
2018-06-20,14.55,11356
2018-06-21,14.35,9715
2018-06-22,14.36,541
2018-06-25,14.39,10075
2018-06-26,14.4,1200
2018-06-27,14.54,5586
2018-06-28,14.49,2252
2018-06-29,14.54,2507
2018-07-02,14.53,292
2018-07-03,14.59,1791
2018-07-05,14.55,2304
2018-07-06,14.5,2243
2018-07-09,14.46,294
2018-07-10,14.45,5102
2018-07-11,14.4,2931
2018-07-12,14.32,3073
2018-07-13,14.37,1392
2018-07-16,14.33,403
2018-07-17,14.32,1952
2018-07-18,14.32,796
2018-07-19,14.32,695
2018-07-20,14.35,198
2018-07-23,14.35,0
2018-07-24,14.4,6312
2018-07-25,14.44,710
2018-07-26,14.39,1831
2018-07-27,14.36,6004
2018-07-30,14.37,313
2018-07-31,14.36,2747
2018-08-01,14.36,83
2018-08-02,14.36,176
2018-08-03,14.4,3034
2018-08-06,14.4,597
2018-08-07,14.4,3040
2018-08-08,14.37,154
2018-08-09,14.39,686
2018-08-10,14.42,3522
2018-08-13,14.39,128
2018-08-14,14.96,4983
2018-08-15,14.79,555
2018-08-16,14.4,4985
2018-08-17,14.33,1886
2018-08-20,14.32,4184
2018-08-21,14.32,7230
2018-08-22,14.33,3908
2018-08-23,14.33,3390
2018-08-24,14.29,7173
2018-08-27,14.25,8860
2018-08-28,14.25,5750
2018-08-29,14.4,5701
2018-08-30,14.5,2875
2018-08-31,14.99,5409
2018-09-04,14.99,6463
2018-09-05,14.79,2382
2018-09-06,14.69,1818
2018-09-07,14.69,0
2018-09-10,14.49,2504
2018-09-11,14.42,1397
2018-09-12,14.5,448
2018-09-13,14.58,545
2018-09-14,14.54,900
2018-09-17,14.35,3135
2018-09-18,14.4,5615
2018-09-19,14.4,550
2018-09-20,14.6,2398
2018-09-21,14.6,6803
2018-09-24,14.43,8764
2018-09-25,14.3,7558
2018-09-26,14.34,14377
2018-09-27,14.5,1971
2018-09-28,14.35,6825
2018-10-01,14.4,2794
2018-10-02,14.47,18991
2018-10-03,14.38,4070
2018-10-04,14.42,7512
2018-10-05,14.43,250
2018-10-08,14.36,6354
2018-10-09,14.3,4750
2018-10-10,14.39,942
2018-10-11,14.64,3880
2018-10-12,14.46,6626
2018-10-15,14.43,1090
2018-10-16,14.14,11221
2018-10-17,14.14,4227
2018-10-18,14.1,7049
2018-10-19,14.05,6668
2018-10-22,14.02,2205
2018-10-23,14.02,1843
2018-10-24,13.85,16232
2018-10-25,13.85,8648
2018-10-26,13.68,15025
2018-10-29,13.47,13519
2018-10-30,13.49,10784
2018-10-31,13.59,3326
2018-11-01,13.61,303
2018-11-02,13.72,7669
2018-11-05,13.65,3382
2018-11-06,13.6,4794
2018-11-07,13.63,2421
2018-11-08,13.7,1489
2018-11-09,13.74,5569
2018-11-12,13.75,2314
2018-11-13,13.74,2088
2018-11-14,13.75,1781
2018-11-15,13.74,1193
2018-11-16,13.84,3765
2018-11-19,13.68,2102
2018-11-20,13.54,13374
2018-11-21,13.48,3311
2018-11-23,13.41,5860
2018-11-26,13.35,12016
2018-11-27,13.33,17374
2018-11-28,13.31,12332
2018-11-29,13.38,5534
2018-11-30,13.51,6773
2018-12-03,13.47,7456
2018-12-04,13.48,10063
2018-12-06,13.47,10367
2018-12-07,13.32,20410
2018-12-10,13.23,4540
2018-12-11,13.31,14020
2018-12-12,13.35,2398
2018-12-13,13.33,4063
2018-12-14,13.32,9557
2018-12-17,13.3,7635
2018-12-18,13.28,1873
2018-12-19,13.24,26181
2018-12-20,13.18,4818
2018-12-21,12.71,51225
2018-12-24,12.59,19928
2018-12-26,13.0,18386
2018-12-27,13.1,18266
2018-12-28,12.9,37312
2018-12-31,12.76,16380
2019-01-02,13.1,9377
2019-01-03,13.25,4246
2019-01-04,13.3,16832
2019-01-07,13.44,4348
2019-01-08,13.58,9948
2019-01-09,13.64,10736
2019-01-10,13.7,7253
2019-01-11,13.72,7321
2019-01-14,13.59,3808
2019-01-15,13.78,13474
2019-01-16,13.67,11545
2019-01-17,13.67,9482
2019-01-18,13.72,13266
2019-01-22,13.81,14761
2019-01-23,13.78,1846
2019-01-24,13.79,3813
2019-01-25,13.85,3876
2019-01-28,13.74,4656
2019-01-29,13.81,1767
2019-01-30,13.81,343
2019-01-31,13.86,7000
2019-02-01,13.85,17549
2019-02-04,13.76,941
2019-02-05,13.83,2197
2019-02-06,13.8,4531
2019-02-07,13.83,9237
2019-02-08,13.79,4934
2019-02-11,13.79,62
2019-02-12,13.82,7588
2019-02-13,13.89,6499
2019-02-14,13.87,3856
2019-02-15,13.85,11089
2019-02-19,13.9,3384
2019-02-20,13.89,5615
2019-02-21,13.94,12922
2019-02-22,13.92,7450
2019-02-25,13.96,7032
2019-02-26,14.0,8811
2019-02-27,14.02,7140
2019-02-28,14.02,4474
2019-03-01,14.1,6992
2019-03-04,14.07,7961
2019-03-05,14.11,8717
2019-03-06,14.02,9356
2019-03-07,14.17,7821
2019-03-08,14.14,5474
2019-03-11,14.16,5257
2019-03-12,14.08,1500
2019-03-13,14.09,2936
2019-03-14,14.13,3021
2019-03-15,14.16,1753
2019-03-18,14.15,5302
2019-03-19,14.14,4309
2019-03-20,14.04,6786
2019-03-21,14.02,852
2019-03-22,14.07,1706
2019-03-25,14.07,245
2019-03-26,14.05,14057
2019-03-27,14.05,7372
2019-03-28,14.14,1364
2019-03-29,14.17,4038
2019-04-01,14.17,8266
2019-04-02,14.15,2362
2019-04-03,14.2,4972
2019-04-04,14.11,3795
2019-04-05,14.14,3510
2019-04-08,14.07,2188
2019-04-09,14.08,6673
2019-04-10,14.65,15466
2019-04-11,14.29,5430
2019-04-12,14.21,3937
2019-04-15,14.23,2410
2019-04-16,14.21,3179
2019-04-17,14.2,1512
2019-04-18,14.16,6129
2019-04-22,14.16,1075
2019-04-23,14.2,3354
2019-04-24,14.2,1789
2019-04-25,14.36,4767
2019-04-26,14.19,3966
2019-04-29,14.18,11351
2019-04-30,14.21,2361
2019-05-01,14.25,1575
2019-05-02,14.34,4447
2019-05-03,14.35,7896
2019-05-06,14.21,10543
2019-05-07,14.22,6675
2019-05-08,14.22,1041
2019-05-09,14.23,5924
2019-05-10,14.27,4328
2019-05-13,14.21,3000
2019-05-14,14.29,1353
2019-05-15,14.36,12433
2019-05-16,14.4,8245
2019-05-17,14.38,3946
2019-05-20,14.44,4888
2019-05-21,14.61,7569
2019-05-22,14.6,4836
2019-05-23,14.59,686
2019-05-24,14.48,4530
2019-05-28,14.52,1061
2019-05-29,14.45,11189
2019-05-30,14.46,7117
2019-05-31,14.5,4895
2019-06-03,14.55,11823
2019-06-04,14.63,1185
2019-06-05,14.82,10512
2019-06-06,14.92,1973
2019-06-07,14.73,1691
2019-06-10,14.73,4487
2019-06-11,14.76,2232
2019-06-12,14.77,1239
2019-06-13,14.84,2890
2019-06-14,14.68,4853
2019-06-17,14.69,6249
2019-06-18,14.57,6192
2019-06-19,14.56,1446
2019-06-20,14.45,2530
2019-06-21,14.43,5170
2019-06-24,14.45,2227
2019-06-25,14.45,4257
2019-06-26,14.55,428
2019-06-27,14.53,2910
2019-06-28,14.71,4195
2019-07-01,14.66,7935
2019-07-02,14.69,3703
2019-07-03,14.69,39
2019-07-05,14.7,960
2019-07-08,14.66,819
2019-07-09,14.59,3504
2019-07-10,14.65,175
2019-07-11,14.82,5251
2019-07-12,14.76,3670
2019-07-15,14.76,66
2019-07-16,14.65,2099
2019-07-17,14.65,7896
2019-07-18,14.61,1114
2019-07-19,14.68,750
2019-07-22,14.84,4646
2019-07-23,14.87,8284
2019-07-24,14.96,1166
2019-07-25,14.89,2639
2019-07-26,14.87,5341
2019-07-29,14.95,1713
2019-07-30,14.97,2750
2019-07-31,14.89,3946
2019-08-01,14.95,1878
2019-08-02,14.94,459
2019-08-05,14.92,786
2019-08-06,14.92,3
2019-08-07,14.87,2941
2019-08-08,14.96,11959
2019-08-09,14.8,2562
2019-08-12,14.87,509
2019-08-13,14.87,1883
2019-08-14,15.1,3932
2019-08-15,14.96,101
2019-08-16,14.9,1472
2019-08-19,14.9,3
2019-08-20,15.09,3375
2019-08-21,15.08,5675
2019-08-22,15.24,14739
2019-08-23,15.0,3013
2019-08-26,14.99,1055
2019-08-27,15.01,1494
2019-08-28,15.1,3368
2019-08-29,15.15,3129
2019-08-30,15.2,2040
2019-09-03,15.16,3901
2019-09-04,14.87,6693
2019-09-05,14.87,5422
2019-09-06,14.92,2559
2019-09-09,14.7,12126
2019-09-10,14.8,3070
2019-09-11,14.53,11365
2019-09-12,14.56,2313
2019-09-13,14.67,2300
2019-09-16,14.62,1178
2019-09-17,14.82,4767
2019-09-18,14.92,5192
2019-09-19,15.05,1048
2019-09-20,14.99,4211
2019-09-23,14.94,842
2019-09-24,14.7,7102
2019-09-25,14.7,319
2019-09-26,14.9,1188
2019-09-27,14.78,8495
2019-09-30,14.79,2495
2019-10-01,14.89,9452
2019-10-02,14.84,4434
2019-10-03,15.0,2967
2019-10-04,14.8,4837
2019-10-07,14.74,8571
2019-10-08,14.69,3533
2019-10-09,14.63,5150
2019-10-10,14.73,387
2019-10-11,14.61,4210
2019-10-14,14.62,657
2019-10-15,14.65,694
2019-10-16,14.68,725
2019-10-17,14.55,1613
2019-10-18,14.47,7761
2019-10-21,14.46,2532
2019-10-22,14.6,8165
2019-10-23,14.6,619
2019-10-24,14.68,5345
2019-10-25,14.75,3016
2019-10-28,14.86,1783
2019-10-29,14.96,3958
2019-10-30,14.99,3058
2019-10-31,15.07,2890
2019-11-01,15.35,8570
2019-11-04,15.0,14076
2019-11-05,14.75,15988
2019-11-06,14.78,3030
2019-11-07,14.75,16750
2019-11-08,14.96,5053
2019-11-11,14.91,4433
2019-11-12,14.78,4493
2019-11-13,14.88,4217
2019-11-14,14.85,6844
2019-11-15,14.88,4890
2019-11-18,14.92,2813
2019-11-19,14.84,9496
2019-11-20,14.92,3626
2019-11-21,14.88,4738
2019-11-22,14.77,1469
2019-11-25,14.9,1489
2019-11-26,14.78,2420
2019-11-27,14.94,739
2019-11-29,15.04,3225
2019-12-02,15.09,4522
2019-12-03,14.96,1396
2019-12-04,15.07,11447
2019-12-05,15.22,16288
2019-12-06,15.1,8232
2019-12-09,15.05,317
2019-12-10,14.8,14161
2019-12-11,15.27,8772
2019-12-12,15.29,10644
2019-12-13,14.87,17623
2019-12-16,14.65,21562
2019-12-17,14.8,2925
2019-12-18,14.79,709
2019-12-19,14.75,5487
2019-12-20,14.81,468
2019-12-23,14.82,612
2019-12-24,14.69,3300
2019-12-26,14.81,470
2019-12-27,14.91,26925
2019-12-30,14.82,2362
2019-12-31,14.92,22079
2020-01-02,15.43,12303
2020-01-03,15.25,4680
2020-01-06,15.25,3111
2020-01-07,15.3,2010
2020-01-08,15.19,2054
2020-01-09,15.1,1530
2020-01-10,15.23,1002
2020-01-13,15.22,2963
2020-01-14,15.18,699
2020-01-15,15.2,10499
2020-01-16,15.35,3378
2020-01-17,15.31,2841
2020-01-21,15.12,5926
2020-01-22,15.16,1239
2020-01-23,15.08,4157
2020-01-24,14.99,4628
2020-01-27,14.9,1103
2020-01-28,14.91,6278
2020-01-29,15.09,2090
2020-01-30,15.07,3708
2020-01-31,15.18,4697
2020-02-03,15.11,451
2020-02-04,15.18,8747
2020-02-05,15.23,4769
2020-02-06,15.07,2072
2020-02-07,15.24,1550
2020-02-10,15.3,16136
2020-02-11,15.31,2913
2020-02-12,15.26,436
2020-02-13,15.23,955
2020-02-14,15.23,5
2020-02-18,15.13,4288
2020-02-19,15.13,1389
2020-02-20,15.11,1069
2020-02-21,15.08,8959
2020-02-24,15.29,3025
2020-02-25,15.26,3415
2020-02-26,15.28,4325
2020-02-27,15.25,1341
2020-02-28,15.13,5150
2020-03-02,15.32,1710
2020-03-03,15.25,4088
2020-03-04,15.25,71
2020-03-05,15.79,8747
2020-03-06,15.43,202
2020-03-09,15.2,14226
2020-03-10,15.11,11122
2020-03-11,14.55,18239
2020-03-12,14.07,23928
2020-03-13,13.95,21015
2020-03-16,13.83,8790
2020-03-17,13.68,1897
2020-03-18,13.0,28389
2020-03-19,12.96,3860
2020-03-20,12.75,14770
2020-03-23,12.25,9241
2020-03-24,12.75,3548
2020-03-25,13.23,5862
2020-03-26,13.74,10132
2020-03-27,13.52,12798
2020-03-30,13.25,6848
2020-03-31,13.27,2136
2020-04-01,13.28,7552
2020-04-02,13.26,9613
2020-04-03,12.94,2477
2020-04-06,13.0,24775
2020-04-07,13.06,11402
2020-04-08,13.3,10109
2020-04-09,13.54,1235
2020-04-13,13.47,3734
2020-04-14,13.79,15365
2020-04-15,13.75,1578
2020-04-16,13.64,11071
2020-04-17,13.7,25607
2020-04-20,13.51,8506
2020-04-21,13.5,2707
2020-04-22,13.41,6925
2020-04-23,13.3,6115
2020-04-24,13.25,6343
2020-04-27,13.18,2806
2020-04-28,13.42,2695
2020-04-29,13.54,1495
2020-04-30,13.42,2314
2020-05-01,13.44,3554
2020-05-04,13.52,3094
2020-05-05,13.65,2001
2020-05-06,13.76,3885
2020-05-07,13.71,2357
2020-05-08,13.57,2106
2020-05-11,13.56,2843
2020-05-12,13.63,974
2020-05-13,13.6,7374
2020-05-14,13.53,3437
2020-05-15,13.5,2789
2020-05-18,13.68,506
2020-05-19,13.62,2180
2020-05-20,13.65,6123
2020-05-21,13.62,813
2020-05-22,13.64,1211
2020-05-26,13.65,6657
2020-05-27,13.66,6411
2020-05-28,13.74,9496
2020-05-29,13.77,7009
2020-06-01,13.86,5450
2020-06-02,13.89,9477
2020-06-03,13.84,8848
2020-06-04,13.62,25595
2020-06-05,13.64,5305
2020-06-08,13.75,7886
2020-06-09,13.79,7710
2020-06-10,13.81,8810
2020-06-11,13.65,14549
2020-06-12,13.7,5327
2020-06-15,13.7,18529
2020-06-16,13.64,18575
2020-06-17,13.65,9308
2020-06-18,13.6,1356
2020-06-19,13.61,3312
