date,close,volume
2018-04-25,37.47,48526
2018-04-26,37.33,39997
2018-04-27,36.56,59182
2018-04-30,36.0,85577
2018-05-01,35.53,75465
2018-05-02,35.54,70399
2018-05-03,35.08,66921
2018-05-04,35.07,49210
2018-05-07,34.95,67102
2018-05-08,35.33,86381
2018-05-09,28.55,556540
2018-05-10,29.49,214716
2018-05-11,30.56,141303
2018-05-14,29.79,139985
2018-05-15,29.66,102452
2018-05-16,30.37,135177
2018-05-17,31.24,110946
2018-05-18,31.34,128780
2018-05-21,31.26,100002
2018-05-22,31.58,85686
2018-05-23,31.94,75508
2018-05-24,32.67,114825
2018-05-25,32.26,106177
2018-05-29,32.03,61730
2018-05-30,32.3,70691
2018-05-31,32.07,77216
2018-06-01,32.39,59962
2018-06-04,31.86,76601
2018-06-05,31.9,168823
2018-06-06,32.13,105579
2018-06-07,31.76,110728
2018-06-08,31.92,51470
2018-06-11,32.68,85710
2018-06-12,32.78,109474
2018-06-13,32.91,78925
2018-06-14,32.01,70600
2018-06-15,31.55,91029
2018-06-18,31.98,81898
2018-06-19,31.15,90538
2018-06-20,31.3,92309
2018-06-21,31.37,111591
2018-06-22,31.47,167861
2018-06-25,30.94,67730
2018-06-26,30.81,86934
2018-06-27,30.33,54157
2018-06-28,30.88,80075
2018-06-29,30.82,97656
2018-07-02,31.33,69903
2018-07-03,31.74,38617
2018-07-05,32.15,60356
2018-07-06,31.62,63368
2018-07-09,31.52,104680
2018-07-10,31.49,62366
2018-07-11,30.95,62096
2018-07-12,30.86,44131
2018-07-13,31.31,48031
2018-07-16,31.31,42592
2018-07-17,31.29,108505
2018-07-18,31.26,74104
2018-07-19,31.28,60858
2018-07-20,31.16,60986
2018-07-23,30.9,127705
2018-07-24,31.32,107363
2018-07-25,31.61,50864
2018-07-26,32.1,64235
2018-07-27,31.47,38929
2018-07-30,31.2,41238
2018-07-31,31.41,65929
2018-08-01,31.33,60965
2018-08-02,31.07,34295
2018-08-03,30.77,37566
2018-08-06,30.83,88336
2018-08-07,30.86,74887
2018-08-08,35.5,253068
2018-08-09,36.23,144231
2018-08-10,35.45,65030
2018-08-13,35.6,74218
2018-08-14,35.4,49419
2018-08-15,34.51,60230
2018-08-16,34.2,44951
2018-08-17,34.1,49254
2018-08-20,33.91,50075
2018-08-21,33.34,49223
2018-08-22,33.2,52902
2018-08-23,32.63,46141
2018-08-24,32.29,49381
2018-08-27,32.3,44753
2018-08-28,31.51,48940
2018-08-29,33.08,71791
2018-08-30,32.28,76307
2018-08-31,32.82,43492
2018-09-04,32.58,59543
2018-09-05,32.72,54079
2018-09-06,32.42,34477
2018-09-07,32.52,50113
2018-09-10,32.64,34312
2018-09-11,32.5,38893
2018-09-12,32.35,28502
2018-09-13,31.56,28650
2018-09-14,32.4,37073
2018-09-17,33.29,138631
2018-09-18,33.13,54373
2018-09-19,32.46,55165
2018-09-20,31.97,40763
2018-09-21,31.52,111154
2018-09-24,30.73,40263
2018-09-25,30.77,52067
2018-09-26,30.89,72951
2018-09-27,31.52,48960
2018-09-28,31.19,78971
2018-10-01,30.76,50097
2018-10-02,30.45,45654
2018-10-03,30.55,29942
2018-10-04,30.54,61897
2018-10-05,30.37,30429
2018-10-08,29.88,42843
2018-10-09,30.49,39479
2018-10-10,30.79,62009
2018-10-11,29.94,76081
2018-10-12,29.98,70842
2018-10-15,29.42,63027
2018-10-16,29.83,40473
2018-10-17,29.1,51870
2018-10-18,28.68,34428
2018-10-19,27.94,45353
2018-10-22,28.77,118892
2018-10-23,28.13,40031
2018-10-24,26.52,38384
2018-10-25,27.48,51970
2018-10-26,27.16,48961
2018-10-29,27.14,46220
2018-10-30,27.4,39726
2018-10-31,26.8,50292
2018-11-01,27.34,46180
2018-11-02,27.28,33932
2018-11-05,26.46,60958
2018-11-06,27.91,42413
2018-11-07,26.1,87061
2018-11-08,25.79,68574
2018-11-09,25.36,69267
2018-11-12,24.1,89975
2018-11-13,23.92,100648
2018-11-14,24.32,76189
2018-11-15,24.77,89244
2018-11-16,25.05,52871
2018-11-19,24.84,71741
2018-11-20,23.66,69651
2018-11-21,24.33,52071
2018-11-23,24.35,22844
2018-11-26,23.79,117051
2018-11-27,23.91,54084
2018-11-28,24.43,59538
2018-11-29,24.03,33904
2018-11-30,24.23,66441
2018-12-03,24.14,70944
2018-12-04,22.9,95258
2018-12-06,22.8,86598
2018-12-07,22.14,81150
2018-12-10,22.06,63902
2018-12-11,22.01,116350
2018-12-12,22.31,93589
2018-12-13,22.16,90777
2018-12-14,21.9,71001
2018-12-17,22.13,104661
2018-12-18,22.02,63088
2018-12-19,21.68,72827
2018-12-20,21.52,74989
2018-12-21,20.39,113825
2018-12-24,19.77,67590
2018-12-26,20.94,91515
2018-12-27,21.45,83220
2018-12-28,21.6,58540
2018-12-31,21.58,67880
2019-01-02,22.06,105979
2019-01-03,21.9,109259
2019-01-04,22.76,46955
2019-01-07,23.53,92206
2019-01-08,23.75,57691
2019-01-09,23.73,44156
2019-01-10,23.56,29858
2019-01-11,23.49,77196
2019-01-14,23.76,40806
2019-01-15,24.2,59044
2019-01-16,24.02,49696
2019-01-17,24.25,46647
2019-01-18,24.1,43625
2019-01-22,23.65,83077
2019-01-23,23.87,51701
2019-01-24,24.0,36232
2019-01-25,24.47,30841
2019-01-28,24.03,24560
2019-01-29,24.16,41335
2019-01-30,24.57,44215
2019-01-31,25.19,44132
2019-02-01,25.28,40320
2019-02-04,25.81,37526
2019-02-05,26.03,34199
2019-02-06,25.63,34322
2019-02-07,25.18,27147
2019-02-08,25.14,23668
2019-02-11,25.28,34794
2019-02-12,26.07,59342
2019-02-13,26.66,47102
2019-02-14,27.19,102964
2019-02-15,28.03,80365
2019-02-19,28.11,42066
2019-02-20,28.19,54367
2019-02-21,28.37,55166
2019-02-22,27.92,52057
2019-02-25,28.15,48625
2019-02-26,27.95,85908
2019-02-27,27.28,76074
2019-02-28,26.96,86660
2019-03-01,28.32,115452
2019-03-04,27.74,71690
2019-03-05,26.99,43420
2019-03-06,27.17,62438
2019-03-07,27.12,43473
2019-03-08,27.36,59047
2019-03-11,27.71,44971
2019-03-12,27.6,55966
2019-03-13,27.5,39561
2019-03-14,26.67,61557
2019-03-15,26.61,132923
2019-03-18,26.98,87390
2019-03-19,26.94,82010
2019-03-20,26.89,67661
2019-03-21,27.54,55737
2019-03-22,26.05,104132
2019-03-25,26.06,62530
2019-03-26,26.73,50539
2019-03-27,26.66,51611
2019-03-28,26.41,64508
2019-03-29,26.59,85586
2019-04-01,27.44,138362
2019-04-02,27.6,122911
2019-04-03,28.29,126626
2019-04-04,28.46,69194
2019-04-05,28.72,83819
2019-04-08,29.05,62938
2019-04-09,28.87,105473
2019-04-10,29.65,79885
2019-04-11,29.71,99297
2019-04-12,29.74,83518
2019-04-15,39.0,789116
2019-04-16,35.98,296635
2019-04-17,38.5,225805
2019-04-18,38.97,160975
2019-04-22,39.28,109766
2019-04-23,40.16,132529
2019-04-24,39.21,210023
2019-04-25,39.13,132380
2019-04-26,40.5,96662
2019-04-29,40.28,128281
2019-04-30,40.55,90736
2019-05-01,40.8,124377
2019-05-02,41.48,103915
2019-05-03,42.03,80847
2019-05-06,41.5,72770
2019-05-07,40.79,109281
2019-05-08,39.03,196858
2019-05-09,38.27,121627
2019-05-10,38.01,178219
2019-05-13,37.76,80481
2019-05-14,37.23,98909
2019-05-15,37.26,98148
2019-05-16,38.42,126240
2019-05-17,38.14,80999
2019-05-20,38.23,65169
2019-05-21,38.63,69217
2019-05-22,38.12,76969
2019-05-23,37.07,62614
2019-05-24,36.19,121416
2019-05-28,36.64,155522
2019-05-29,36.12,154447
2019-05-30,35.73,47264
2019-05-31,35.29,46806
2019-06-03,35.52,88511
2019-06-04,35.92,48389
2019-06-05,35.93,42671
2019-06-06,36.03,56194
2019-06-07,36.83,44208
2019-06-10,36.67,32427
2019-06-11,35.97,53422
2019-06-12,36.8,60254
2019-06-13,38.1,99255
2019-06-14,37.27,60867
2019-06-17,37.55,67443
2019-06-18,38.27,101094
2019-06-19,37.8,57740
2019-06-20,38.35,58292
2019-06-21,38.15,101963
2019-06-24,38.42,59106
2019-06-25,38.29,136673
2019-06-26,38.83,90774
2019-06-27,39.38,81035
2019-06-28,40.56,149808
2019-07-01,40.28,80594
2019-07-02,40.88,70313
2019-07-03,41.07,50191
2019-07-05,41.45,71062
2019-07-08,43.92,187499
2019-07-09,44.12,170182
2019-07-10,42.35,171279
2019-07-11,41.86,87375
2019-07-12,41.96,87440
2019-07-15,42.0,65651
2019-07-16,42.28,119731
2019-07-17,41.99,113416
2019-07-18,41.9,108149
2019-07-19,42.65,102227
2019-07-22,41.09,202729
2019-07-23,41.58,73826
2019-07-24,41.61,61887
2019-07-25,40.43,61344
2019-07-26,41.06,49921
2019-07-29,40.24,88092
2019-07-30,40.48,81006
2019-07-31,40.44,78653
2019-08-01,39.86,54527
2019-08-02,39.05,93909
2019-08-05,37.87,84039
2019-08-06,37.86,98227
2019-08-07,42.28,277042
2019-08-08,43.47,149737
2019-08-09,42.46,71804
2019-08-12,42.24,60025
2019-08-13,41.77,55938
2019-08-14,40.15,59803
2019-08-15,40.57,74815
2019-08-16,41.81,67854
2019-08-19,41.9,86738
2019-08-20,41.0,58465
2019-08-21,41.48,40045
2019-08-22,41.0,43736
2019-08-23,38.7,84266
2019-08-26,39.11,38063
2019-08-27,39.35,62720
2019-08-28,39.44,32270
2019-08-29,40.35,61148
2019-08-30,40.46,42133
2019-09-03,40.54,86831
2019-09-04,41.26,64956
2019-09-05,42.71,93604
2019-09-06,42.16,71043
2019-09-09,41.57,70417
2019-09-10,41.35,99784
2019-09-11,41.14,46681
2019-09-12,41.28,153188
2019-09-13,41.92,90760
2019-09-16,42.39,69698
2019-09-17,42.24,65895
2019-09-18,41.55,113321
2019-09-19,41.49,67480
2019-09-20,41.0,74690
2019-09-23,40.36,52345
2019-09-24,40.08,56539
2019-09-25,40.95,55683
2019-09-26,40.63,43866
2019-09-27,40.41,44555
2019-09-30,40.65,83160
2019-10-01,40.11,40937
2019-10-02,39.82,71960
2019-10-03,40.03,48002
2019-10-04,40.78,53737
2019-10-07,41.88,81656
2019-10-08,41.99,67752
2019-10-09,41.92,81490
2019-10-10,42.13,118537
2019-10-11,44.19,75771
2019-10-14,43.29,79814
2019-10-15,43.16,62719
2019-10-16,43.05,43350
2019-10-17,43.22,47036
2019-10-18,42.95,64474
2019-10-21,44.44,58011
2019-10-22,45.01,63270
2019-10-23,45.39,38300
2019-10-24,45.49,47248
2019-10-25,46.16,41952
2019-10-28,46.24,56433
2019-10-29,46.82,56931
2019-10-30,46.79,53827
2019-10-31,45.71,55363
2019-11-01,45.4,62979
2019-11-04,45.53,51966
2019-11-05,46.42,62845
2019-11-06,51.64,126555
2019-11-07,52.28,94269
2019-11-08,53.15,180647
2019-11-11,54.02,62756
2019-11-12,54.83,87953
2019-11-13,53.9,73913
2019-11-14,53.5,92693
2019-11-15,52.28,45618
2019-11-18,52.05,112308
2019-11-19,52.04,69655
2019-11-20,51.83,107817
2019-11-21,51.14,138547
2019-11-22,50.47,38838
2019-11-25,51.28,49829
2019-11-26,50.6,178998
2019-11-27,51.34,42133
2019-11-29,50.94,27402
2019-12-02,50.41,88884
2019-12-03,50.57,108815
2019-12-04,50.46,103334
2019-12-05,50.18,53929
2019-12-06,50.49,69534
2019-12-09,50.39,83359
