date,close,volume
2018-04-25,6.66,5612314
2018-04-26,6.75,6225936
2018-04-27,6.87,5946697
2018-04-30,6.8,6216191
2018-05-01,6.81,6712975
2018-05-02,6.81,10323205
2018-05-03,6.85,9275473
2018-05-04,6.94,10797262
2018-05-07,6.99,7359105
2018-05-08,6.91,8507998
2018-05-09,6.99,15772993
2018-05-10,7.11,7798735
2018-05-11,7.06,5791082
2018-05-14,7.07,8291130
2018-05-15,6.99,26956904
2018-05-16,6.92,9877253
2018-05-17,6.88,6044307
2018-05-18,6.86,3934761
2018-05-21,6.93,4833906
2018-05-22,6.96,6482670
2018-05-23,7.04,4635954
2018-05-24,7.02,5038679
2018-05-25,7.09,3667863
2018-05-29,7.12,6857658
2018-05-30,7.15,6940311
2018-05-31,7.16,16586684
2018-06-01,7.05,6206467
2018-06-04,7.05,12768899
2018-06-05,7.06,9555262
2018-06-06,7.08,6649586
2018-06-07,7.15,5571759
2018-06-08,7.18,5557672
2018-06-11,7.2,18091489
2018-06-12,7.25,10811318
2018-06-13,7.26,15519065
2018-06-14,7.24,8699820
2018-06-15,7.29,19289662
2018-06-18,7.31,6326037
2018-06-19,7.32,18807039
2018-06-20,7.38,8764650
2018-06-21,7.38,14820620
2018-06-22,7.54,14789671
2018-06-25,7.5,8450243
2018-06-26,7.48,8322673
2018-06-27,7.48,8106216
2018-06-28,7.4,15688733
2018-06-29,7.44,8779470
2018-07-02,7.44,13789299
2018-07-03,7.5,6920007
2018-07-05,7.59,6835077
2018-07-06,7.7,5330113
2018-07-09,7.66,8305539
2018-07-10,7.67,7084481
2018-07-11,7.68,8624941
2018-07-12,7.68,5470276
2018-07-13,7.69,4614979
2018-07-16,7.53,7091588
2018-07-17,7.46,5044027
2018-07-18,7.42,6852986
2018-07-19,7.5,13961072
2018-07-20,7.39,7456518
2018-07-23,7.45,15777110
2018-07-24,7.46,6644833
2018-07-25,7.51,5113659
2018-07-26,7.53,5913566
2018-07-27,7.45,4885528
2018-07-30,7.5,7113030
2018-07-31,7.63,6651222
2018-08-01,7.65,5288735
2018-08-02,7.71,6894731
2018-08-03,7.69,8515609
2018-08-06,7.69,11033781
2018-08-07,7.71,9717415
2018-08-08,7.65,6851923
2018-08-09,7.65,6497007
2018-08-10,7.55,8767432
2018-08-13,7.56,6387086
2018-08-14,7.66,6458896
2018-08-15,7.87,16836543
2018-08-16,7.94,9194178
2018-08-17,7.96,8779448
2018-08-20,7.94,7590189
2018-08-21,7.93,8292978
2018-08-22,7.84,11323454
2018-08-23,7.78,4131798
2018-08-24,7.83,4101633
2018-08-27,7.79,8538148
2018-08-28,7.88,5074005
2018-08-29,7.89,4889025
2018-08-30,7.78,5019436
2018-08-31,7.82,11205738
2018-09-04,7.74,8571370
2018-09-05,7.82,5879644
2018-09-06,7.81,4445999
2018-09-07,7.67,5380314
2018-09-10,7.68,5042295
2018-09-11,7.66,7532478
2018-09-12,7.61,11010494
2018-09-13,7.68,9175284
2018-09-14,7.61,6388833
2018-09-17,7.61,7229319
2018-09-18,7.55,6071658
2018-09-19,7.35,6845230
2018-09-20,7.46,11067096
2018-09-21,7.47,8293767
2018-09-24,7.37,6274108
2018-09-25,7.38,8730917
2018-09-26,7.25,14865746
2018-09-27,7.18,8460510
2018-09-28,7.26,24776006
2018-10-01,7.16,13941190
2018-10-02,7.2,10938097
2018-10-03,7.15,15618811
2018-10-04,7.0,16473523
2018-10-05,6.99,10930584
2018-10-08,7.19,8837114
2018-10-09,7.24,11018617
2018-10-10,7.01,11993025
2018-10-11,6.92,17932580
2018-10-12,6.97,14137818
2018-10-15,7.04,9400581
2018-10-16,7.17,14234405
2018-10-17,7.24,9729044
2018-10-18,7.19,11148673
2018-10-19,7.22,9659075
2018-10-22,7.13,6660976
2018-10-23,7.25,9831483
2018-10-24,7.33,10974032
2018-10-25,7.45,13054434
2018-10-26,7.25,7337997
2018-10-29,7.37,6208508
2018-10-30,7.48,10711480
2018-10-31,7.33,13583301
2018-11-01,7.39,8451450
2018-11-02,7.41,10496541
2018-11-05,7.53,13464649
2018-11-06,7.47,7955993
2018-11-07,7.57,5457290
2018-11-08,7.65,9500248
2018-11-09,7.69,7221515
2018-11-12,7.63,6237508
2018-11-13,7.72,9854492
2018-11-14,7.7,5780141
2018-11-15,7.63,11320679
2018-11-16,7.71,11366577
2018-11-19,7.54,11412760
2018-11-20,7.52,12291831
2018-11-21,7.5,4994111
2018-11-23,7.5,2251071
2018-11-26,7.49,7937813
2018-11-27,7.53,6391924
2018-11-28,7.65,11532942
2018-11-29,7.63,5958134
2018-11-30,7.65,11418420
2018-12-03,7.75,8559486
2018-12-04,7.66,10476662
2018-12-06,7.9,14006481
2018-12-07,7.81,8152873
2018-12-10,7.8,10868451
2018-12-11,7.8,8174363
2018-12-12,7.55,7181812
2018-12-13,7.81,11941510
2018-12-14,7.84,9006732
2018-12-17,7.54,12643304
2018-12-18,7.64,10692364
2018-12-19,7.49,14088748
2018-12-20,7.38,9184012
2018-12-21,7.31,13649735
2018-12-24,7.02,6609703
2018-12-26,7.32,9301578
2018-12-27,7.33,8592158
2018-12-28,7.16,7750361
2018-12-31,7.15,8516877
2019-01-02,7.04,7749362
2019-01-03,7.17,7802617
2019-01-04,7.26,4777035
2019-01-07,7.3,8727884
2019-01-08,7.49,10496699
2019-01-09,7.5,5836716
2019-01-10,7.55,5871278
2019-01-11,7.57,5281652
2019-01-14,7.58,7566589
2019-01-15,7.61,6364853
2019-01-16,7.71,6126767
2019-01-17,7.74,5996756
2019-01-18,7.77,5656716
2019-01-22,7.74,4484504
2019-01-23,7.66,7007221
2019-01-24,7.59,5976370
2019-01-25,7.66,9537614
2019-01-28,7.79,11455366
2019-01-29,7.96,7476168
2019-01-30,7.99,12585431
2019-01-31,8.08,8703098
2019-02-01,8.02,10873209
2019-02-04,8.07,4730065
2019-02-05,8.11,6496686
2019-02-06,8.11,7738752
2019-02-07,8.19,18225135
2019-02-08,8.19,9183233
2019-02-11,8.33,9780968
2019-02-12,8.28,13426340
2019-02-13,8.21,7398609
2019-02-14,8.27,5170085
2019-02-15,8.27,3137779
2019-02-19,8.26,8435149
2019-02-20,8.16,7545558
2019-02-21,8.1,12143327
2019-02-22,8.11,9317897
2019-02-25,8.06,10377007
2019-02-26,7.97,7631298
2019-02-27,7.99,10279636
2019-02-28,7.97,6236130
2019-03-01,7.91,6690707
2019-03-04,7.99,8900658
2019-03-05,8.05,7574827
2019-03-06,7.97,7298181
2019-03-07,8.01,5677758
2019-03-08,8.07,8307435
2019-03-11,8.16,9489094
2019-03-12,8.25,6880679
2019-03-13,8.31,6186734
2019-03-14,8.27,9058743
2019-03-15,8.23,9947003
2019-03-18,8.17,7173881
2019-03-19,8.18,5713309
2019-03-20,8.17,11315968
2019-03-21,8.42,16527116
2019-03-22,8.43,9979748
2019-03-25,8.5,7763655
2019-03-26,8.5,6852660
2019-03-27,8.47,8844612
2019-03-28,8.43,6010443
2019-03-29,8.37,7753614
2019-04-01,8.4,8117051
2019-04-02,8.42,11423668
2019-04-03,8.32,13940518
2019-04-04,8.34,8454870
2019-04-05,8.32,7655658
2019-04-08,8.28,6242680
2019-04-09,8.17,7337743
2019-04-10,8.33,9773109
2019-04-11,8.33,4926248
2019-04-12,8.35,3654708
2019-04-15,8.33,6781548
2019-04-16,8.13,7578405
2019-04-17,8.0,9969972
2019-04-18,8.07,4548524
2019-04-22,8.02,8448295
2019-04-23,8.14,6031205
2019-04-24,8.21,4490460
2019-04-25,8.22,4833684
2019-04-26,8.3,3713789
2019-04-29,8.19,3544434
2019-04-30,8.26,4866120
2019-05-01,8.23,6054008
2019-05-02,8.31,7775791
2019-05-03,8.38,7277532
2019-05-06,8.35,5344391
2019-05-07,8.19,10198424
2019-05-08,8.24,5577739
2019-05-09,8.22,7919256
2019-05-10,8.4,5699257
2019-05-13,8.47,8261237
2019-05-14,8.51,7193323
2019-05-15,8.62,9717662
2019-05-16,8.67,5950030
2019-05-17,8.66,5994753
2019-05-20,8.49,7308195
2019-05-21,8.55,6007414
2019-05-22,8.62,3552423
2019-05-23,8.68,8575530
2019-05-24,8.65,5326423
2019-05-28,8.58,16412803
2019-05-29,8.51,13930207
2019-05-30,8.64,14115225
2019-05-31,8.88,19807384
2019-06-03,8.9,13546031
2019-06-04,8.76,11018961
2019-06-05,9.0,8147502
2019-06-06,9.02,12586600
2019-06-07,9.04,13285386
2019-06-10,9.03,15290881
2019-06-11,9.25,15414991
2019-06-12,9.38,8783193
2019-06-13,9.5,24896361
2019-06-14,9.53,15478276
2019-06-17,9.66,11896427
2019-06-18,9.58,10411382
2019-06-19,9.61,13900890
2019-06-20,9.64,8555112
2019-06-21,9.5,15558006
2019-06-24,9.41,12113749
2019-06-25,9.23,13425319
2019-06-26,8.94,18654424
2019-06-27,8.89,9459332
2019-06-28,9.01,15971863
2019-07-01,8.93,10397572
2019-07-02,9.05,9949376
2019-07-03,9.16,4654553
2019-07-05,9.16,5810638
2019-07-08,9.15,4758710
2019-07-09,9.13,6094174
2019-07-10,9.34,13140793
2019-07-11,9.17,11380429
2019-07-12,9.13,7930276
2019-07-15,9.18,8727749
2019-07-16,9.11,8386841
