date,close,volume
2018-04-25,27.49,15496
2018-04-26,27.04,20532
2018-04-27,27.07,18833
2018-04-30,27.2,19150
2018-05-01,27.19,23058
2018-05-02,27.32,26016
2018-05-03,27.21,24912
2018-05-04,27.74,25679
2018-05-07,27.53,29031
2018-05-08,27.7,23557
2018-05-09,27.68,28113
2018-05-10,27.39,15105
2018-05-11,27.33,9736
2018-05-14,27.33,10448
2018-05-15,27.78,12979
2018-05-16,28.03,15698
2018-05-17,28.36,54820
2018-05-18,28.16,19081
2018-05-21,28.79,22824
2018-05-22,28.92,16897
2018-05-23,29.56,36358
2018-05-24,29.34,15858
2018-05-25,29.9,22066
2018-05-29,29.88,30252
2018-05-30,29.33,71359
2018-05-31,29.04,35763
2018-06-01,29.11,28840
2018-06-04,29.11,19602
2018-06-05,28.9,25189
2018-06-06,28.29,69027
2018-06-07,28.64,47576
2018-06-08,28.93,19126
2018-06-11,28.96,21551
2018-06-12,28.25,32339
2018-06-13,28.3,17898
2018-06-14,28.58,25813
2018-06-15,28.46,37997
2018-06-18,28.79,27395
2018-06-19,29.35,27934
2018-06-20,29.15,32952
2018-06-21,30.07,52074
2018-06-22,31.28,140522
2018-06-25,30.21,52526
2018-06-26,30.23,46021
2018-06-27,29.97,28697
2018-06-28,29.51,26335
2018-06-29,29.46,19227
2018-07-02,29.43,35124
2018-07-03,29.4,7986
2018-07-05,29.88,19150
2018-07-06,30.0,29711
2018-07-09,29.98,22878
2018-07-10,29.55,15436
2018-07-11,29.51,15128
2018-07-12,29.06,18417
2018-07-13,29.03,15173
2018-07-16,29.35,18581
2018-07-17,29.99,22779
2018-07-18,29.49,16510
2018-07-19,29.92,20529
2018-07-20,29.69,16250
2018-07-23,29.9,19944
2018-07-24,29.82,20518
2018-07-25,29.89,36184
2018-07-26,30.2,15123
2018-07-27,29.11,16119
2018-07-30,28.84,15629
2018-07-31,26.93,78953
2018-08-01,26.61,53434
2018-08-02,27.42,13508
2018-08-03,27.06,18930
2018-08-06,27.47,24917
2018-08-07,27.87,13744
2018-08-08,27.35,51907
2018-08-09,27.4,13328
2018-08-10,27.16,7553
2018-08-13,27.7,15537
2018-08-14,28.42,12511
2018-08-15,27.82,16590
2018-08-16,28.64,18008
2018-08-17,29.29,50242
2018-08-20,29.02,12861
2018-08-21,28.76,15247
2018-08-22,29.16,24386
2018-08-23,29.36,14444
2018-08-24,29.26,19291
2018-08-27,28.82,16343
2018-08-28,28.97,8902
2018-08-29,28.9,17051
2018-08-30,28.97,26062
2018-08-31,29.18,19604
2018-09-04,29.16,15235
2018-09-05,29.18,58361
2018-09-06,29.07,7715
2018-09-07,28.82,15386
2018-09-10,29.1,13852
2018-09-11,28.79,10743
2018-09-12,28.6,19603
2018-09-13,28.66,15070
2018-09-14,28.65,10529
2018-09-17,28.95,11796
2018-09-18,29.06,18408
2018-09-19,29.04,6219
2018-09-20,28.64,10847
2018-09-21,28.5,27090
2018-09-24,27.79,15075
2018-09-25,27.57,8733
2018-09-26,27.36,10221
2018-09-27,27.32,8822
2018-09-28,27.2,13070
2018-10-01,27.04,15470
2018-10-02,26.99,10913
2018-10-03,25.88,18627
2018-10-04,25.85,11039
2018-10-05,25.44,12668
2018-10-08,25.89,12312
2018-10-09,24.94,27538
2018-10-10,24.9,15734
2018-10-11,24.73,30676
2018-10-12,23.94,39074
2018-10-15,24.71,42319
2018-10-16,25.43,30568
2018-10-17,25.45,46884
2018-10-18,25.13,22193
2018-10-19,25.09,32267
2018-10-22,25.15,30458
2018-10-23,25.16,13010
2018-10-24,25.28,34105
2018-10-25,25.06,21756
2018-10-26,25.34,23983
2018-10-29,25.24,16887
2018-10-30,25.87,18868
2018-10-31,24.64,33894
2018-11-01,25.15,28031
2018-11-02,25.55,27522
2018-11-05,25.39,15470
2018-11-06,24.35,39760
2018-11-07,27.87,85919
2018-11-08,27.73,33423
2018-11-09,27.08,28598
2018-11-12,27.13,12903
2018-11-13,26.62,20391
2018-11-14,26.04,24838
2018-11-15,26.26,18784
2018-11-16,26.68,20577
2018-11-19,26.47,15313
2018-11-20,26.68,17281
2018-11-21,26.78,25610
2018-11-23,26.56,5963
2018-11-26,27.05,14262
2018-11-27,27.27,11884
2018-11-28,28.01,14621
2018-11-29,27.75,14021
2018-11-30,27.29,24990
2018-12-03,26.1,30310
2018-12-04,25.44,30747
2018-12-06,26.0,38279
2018-12-07,26.2,36381
2018-12-10,27.13,28174
2018-12-11,27.46,21487
2018-12-12,28.37,30029
2018-12-13,27.43,18957
2018-12-14,27.4,20139
2018-12-17,26.73,18635
2018-12-18,26.06,21918
2018-12-19,26.12,24156
2018-12-20,25.79,22185
2018-12-21,25.83,117249
2018-12-24,24.51,17634
2018-12-26,25.37,37057
2018-12-27,25.17,21802
2018-12-28,26.58,36537
2018-12-31,26.74,28611
2019-01-02,27.26,28361
2019-01-03,25.99,22498
2019-01-04,26.84,25568
2019-01-07,26.98,16948
2019-01-08,27.02,14878
2019-01-09,26.95,11745
2019-01-10,26.73,17232
2019-01-11,26.0,14778
2019-01-14,26.9,82331
2019-01-15,26.87,18038
2019-01-16,26.65,26065
2019-01-17,26.24,23046
2019-01-18,26.07,42809
2019-01-22,25.64,33419
2019-01-23,26.5,21590
2019-01-24,26.59,25173
2019-01-25,26.57,19864
2019-01-28,26.36,17664
2019-01-29,26.59,15178
2019-01-30,26.76,10506
2019-01-31,26.89,25046
2019-02-01,27.38,19500
2019-02-04,27.54,22810
2019-02-05,27.83,17018
2019-02-06,27.58,17910
2019-02-07,27.75,16521
2019-02-08,27.85,16329
2019-02-11,27.71,9936
2019-02-12,28.0,21324
2019-02-13,28.09,12994
2019-02-14,28.63,27984
2019-02-15,29.76,36961
2019-02-19,30.34,37663
2019-02-20,30.86,45144
2019-02-21,30.86,35029
2019-02-22,31.17,23018
2019-02-25,31.44,29070
2019-02-26,31.4,26040
2019-02-27,31.45,19433
2019-02-28,30.65,32320
2019-03-01,31.52,34531
2019-03-04,31.58,38156
2019-03-05,31.5,37477
2019-03-06,30.69,65206
2019-03-07,29.84,43448
2019-03-08,29.72,21043
2019-03-11,30.05,13765
2019-03-12,29.64,19131
2019-03-13,28.86,41487
2019-03-14,29.35,17235
2019-03-15,28.16,65299
2019-03-18,28.96,24164
2019-03-19,27.86,31609
2019-03-20,28.4,32578
2019-03-21,28.22,19096
2019-03-22,27.81,29731
2019-03-25,27.84,42994
2019-03-26,27.86,19357
2019-03-27,27.88,27655
2019-03-28,27.82,19090
2019-03-29,27.33,77373
2019-04-01,26.86,85175
2019-04-02,26.87,65517
2019-04-03,26.93,56498
2019-04-04,26.96,22662
2019-04-05,27.15,21767
2019-04-08,27.39,29157
2019-04-09,26.76,22512
2019-04-10,26.9,27467
2019-04-11,27.27,37885
2019-04-12,27.49,40054
2019-04-15,27.54,26056
2019-04-16,27.73,15321
2019-04-17,27.48,12427
2019-04-18,27.33,13453
2019-04-22,27.12,17513
2019-04-23,28.09,66235
2019-04-24,28.72,27368
2019-04-25,28.59,29790
2019-04-26,28.89,27071
2019-04-29,29.82,44241
2019-04-30,29.38,44841
2019-05-01,28.75,31231
2019-05-02,28.45,13832
2019-05-03,28.74,15657
2019-05-06,28.63,18587
2019-05-07,28.02,5507
2019-05-08,27.65,23491
2019-05-09,28.03,12341
2019-05-10,28.03,10568
2019-05-13,27.82,18285
2019-05-14,27.8,86833
2019-05-15,27.64,24238
2019-05-16,27.25,28741
2019-05-17,27.13,23628
2019-05-20,27.73,22576
2019-05-21,27.25,45517
2019-05-22,27.42,31414
2019-05-23,27.32,23366
2019-05-24,27.81,34498
2019-05-28,27.77,38396
2019-05-29,26.5,67964
2019-05-30,26.52,31215
2019-05-31,26.48,33020
2019-06-03,26.18,38485
2019-06-04,25.43,35431
2019-06-05,25.15,35180
2019-06-06,25.32,30973
2019-06-07,25.55,21867
2019-06-10,25.07,18512
2019-06-11,25.44,123144
2019-06-12,25.73,19430
2019-06-13,26.3,25341
2019-06-14,26.22,15798
2019-06-17,25.77,19640
2019-06-18,25.28,32508
2019-06-19,26.38,32574
2019-06-20,24.83,74530
2019-06-21,26.57,56260
2019-06-24,25.99,38368
2019-06-25,26.83,31725
2019-06-26,26.48,20428
2019-06-27,27.03,26177
2019-06-28,26.51,64089
2019-07-01,26.09,23354
2019-07-02,26.37,18405
2019-07-03,25.55,17284
2019-07-05,25.32,23786
2019-07-08,25.73,17692
2019-07-09,25.77,19599
2019-07-10,25.68,19051
2019-07-11,25.49,13978
2019-07-12,25.5,25674
2019-07-15,25.35,27550
2019-07-16,25.37,24612
2019-07-17,25.19,87081
2019-07-18,25.07,25182
2019-07-19,25.02,27473
2019-07-22,25.0,32902
2019-07-23,24.58,43294
2019-07-24,24.95,43379
2019-07-25,24.64,49390
2019-07-26,24.96,36234
2019-07-29,25.05,20426
2019-07-30,25.01,30939
2019-07-31,25.03,36145
2019-08-01,24.93,48648
2019-08-02,24.71,36599
2019-08-05,24.26,44317
2019-08-06,24.32,48851
2019-08-07,24.4,31394
2019-08-08,25.03,41488
2019-08-09,24.8,22681
2019-08-12,24.94,21607
2019-08-13,25.01,26252
2019-08-14,24.73,37278
2019-08-15,24.5,43571
2019-08-16,24.58,32278
2019-08-19,25.1,26131
2019-08-20,25.17,12436
2019-08-21,24.96,19586
2019-08-22,25.15,15164
2019-08-23,24.44,25157
2019-08-26,24.86,10349
2019-08-27,24.57,34635
2019-08-28,24.86,10044
2019-08-29,24.9,16011
2019-08-30,24.97,21983
2019-09-03,25.01,34280
2019-09-04,25.24,17055
2019-09-05,25.39,20918
2019-09-06,25.13,13417
2019-09-09,25.93,17597
2019-09-10,26.09,28938
2019-09-11,26.25,21607
2019-09-12,26.1,16073
2019-09-13,26.73,31517
2019-09-16,26.51,39522
2019-09-17,26.36,25943
2019-09-18,26.13,24676
2019-09-19,25.88,28398
2019-09-20,25.83,59394
2019-09-23,25.88,49556
2019-09-24,26.39,32191
2019-09-25,26.71,16708
2019-09-26,26.59,23126
2019-09-27,26.48,15286
2019-09-30,26.45,20460
2019-10-01,26.36,25768
2019-10-02,26.08,15930
2019-10-03,25.4,13810
2019-10-04,25.52,19143
2019-10-07,26.27,24696
2019-10-08,25.93,20768
2019-10-09,26.27,7657
2019-10-10,25.93,16998
2019-10-11,26.09,17520
2019-10-14,25.67,14597
2019-10-15,25.23,25795
2019-10-16,25.43,19843
2019-10-17,25.6,21914
2019-10-18,25.62,32643
2019-10-21,25.67,35079
2019-10-22,26.02,15669
2019-10-23,26.23,17111
2019-10-24,25.94,26647
2019-10-25,25.73,15531
2019-10-28,25.79,18420
2019-10-29,25.76,22962
2019-10-30,26.18,16037
2019-10-31,26.5,29105
2019-11-01,26.73,20159
2019-11-04,26.15,28752
2019-11-05,26.73,35434
2019-11-06,26.58,20901
2019-11-07,27.31,38362
2019-11-08,27.32,20175
2019-11-11,27.01,19047
2019-11-12,27.24,12059
2019-11-13,27.19,33516
2019-11-14,27.39,22958
2019-11-15,27.54,21612
2019-11-18,27.52,15581
2019-11-19,27.39,24074
2019-11-20,27.51,29181
2019-11-21,27.41,19926
2019-11-22,27.55,11566
2019-11-25,28.27,30042
2019-11-26,28.4,41472
2019-11-27,28.38,21262
2019-11-29,28.28,8568
2019-12-02,27.89,22481
2019-12-03,26.37,45941
2019-12-04,25.79,47817
2019-12-05,25.69,20988
2019-12-06,25.57,36852
2019-12-09,25.07,58052
2019-12-10,24.86,31072
2019-12-11,24.71,37250
2019-12-12,24.23,31166
2019-12-13,24.18,49161
2019-12-16,24.03,35263
2019-12-17,24.07,93958
2019-12-18,23.95,36520
2019-12-19,23.86,58033
2019-12-20,23.8,109144
2019-12-23,23.57,70118
2019-12-24,23.6,8423
2019-12-26,23.73,26766
2019-12-27,23.7,39716
2019-12-30,23.69,38799
2019-12-31,23.2,88062
2020-01-02,23.04,56194
2020-01-03,23.05,27885
2020-01-06,23.02,64644
2020-01-07,23.03,34918
2020-01-08,23.24,52163
2020-01-09,23.04,35310
2020-01-10,23.22,71970
2020-01-13,23.13,54666
2020-01-14,23.13,39591
2020-01-15,23.02,92171
2020-01-16,23.03,64844
2020-01-17,23.0,42632
2020-01-21,22.84,66418
2020-01-22,22.67,72707
2020-01-23,22.83,91390
2020-01-24,22.46,53375
2020-01-27,22.76,129893
2020-01-28,22.76,48011
2020-01-29,22.38,53692
2020-01-30,22.63,74574
2020-01-31,22.26,50841
2020-02-03,22.51,63117
2020-02-04,22.73,90923
2020-02-05,23.02,54185
2020-02-06,22.85,49775
2020-02-07,22.78,38590
2020-02-10,22.26,57812
2020-02-11,22.22,38826
2020-02-12,22.36,52572
2020-02-13,22.6,49664
2020-02-14,22.54,30811
2020-02-18,22.6,59952
2020-02-19,22.6,51361
2020-02-20,22.79,49682
2020-02-21,22.66,55575
2020-02-24,22.62,40307
2020-02-25,21.97,92642
2020-02-26,21.26,34182
2020-02-27,20.99,61117
2020-02-28,20.55,78305
2020-03-02,21.17,39466
2020-03-03,20.94,40284
2020-03-04,21.35,43796
2020-03-05,20.0,86864
2020-03-06,20.09,73740
2020-03-09,18.52,76004
2020-03-10,18.96,88331
2020-03-11,17.44,70282
2020-03-12,17.1,149861
2020-03-13,18.75,95511
2020-03-16,19.71,92933
2020-03-17,23.69,150168
2020-03-18,22.3,155804
2020-03-19,21.57,110725
2020-03-20,21.71,122108
2020-03-23,21.92,80252
2020-03-24,22.88,73309
2020-03-25,21.76,97521
2020-03-26,23.0,81457
2020-03-27,22.06,61801
2020-03-30,23.04,107374
2020-03-31,24.58,112475
2020-04-01,23.45,63114
2020-04-02,22.7,66438
2020-04-03,23.33,47920
2020-04-06,23.5,55443
2020-04-07,23.19,75559
2020-04-08,22.33,74299
2020-04-09,22.76,73486
2020-04-13,22.07,49811
2020-04-14,21.98,96001
2020-04-15,21.29,102428
2020-04-16,22.28,86450
2020-04-17,22.37,63672
2020-04-20,22.49,59471
2020-04-21,22.46,60071
2020-04-22,22.61,60897
2020-04-23,22.72,87177
2020-04-24,23.78,71225
2020-04-27,23.63,54675
2020-04-28,23.54,71222
2020-04-29,24.11,78284
2020-04-30,24.03,70298
2020-05-01,23.75,33136
2020-05-04,23.14,82851
2020-05-05,23.17,96492
2020-05-06,22.59,33315
2020-05-07,22.43,58436
2020-05-08,23.37,72549
2020-05-11,23.29,49126
2020-05-12,22.8,41329
2020-05-13,23.52,65886
2020-05-14,23.12,74287
2020-05-15,23.3,43592
2020-05-18,23.4,57603
2020-05-19,22.83,62124
2020-05-20,23.09,40873
2020-05-21,23.08,46283
2020-05-22,23.09,57921
2020-05-26,23.1,50775
2020-05-27,23.2,139969
2020-05-28,23.95,61485
2020-05-29,23.93,48516
2020-06-01,23.89,47480
2020-06-02,24.26,27721
2020-06-03,25.46,103046
2020-06-04,25.51,53980
2020-06-05,25.28,52715
2020-06-08,26.11,37831
2020-06-09,26.23,77341
2020-06-10,26.28,47633
2020-06-11,25.45,46860
2020-06-12,25.52,47320
2020-06-15,25.42,52887
2020-06-16,26.89,71101
2020-06-17,26.08,44276
2020-06-18,25.7,26213
2020-06-19,25.56,60125
2020-06-22,25.38,40429
2020-06-23,25.54,27815
