date,close,volume
2020-04-29,6.6,233734
2020-04-30,6.49,157804
2020-05-01,6.61,267491
2020-05-04,6.31,197650
2020-05-05,6.8,646495
2020-05-06,6.78,179348
2020-05-07,7.01,190773
2020-05-08,7.05,141091
2020-05-11,7.22,222628
2020-05-12,7.02,243433
2020-05-13,6.95,312833
2020-05-14,7.09,196122
2020-05-15,7.75,1453001
2020-05-18,7.81,446568
2020-05-19,7.78,298049
2020-05-20,7.65,221259
2020-05-21,7.82,209447
2020-05-22,8.38,343345
2020-05-26,8.48,353555
2020-05-27,8.03,494913
2020-05-28,8.0,178800
2020-05-29,8.33,208462
2020-06-01,8.77,249638
2020-06-02,8.42,321867
2020-06-03,8.82,285797
2020-06-04,8.63,236022
2020-06-05,8.63,359349
2020-06-08,9.16,449162
2020-06-09,9.54,555053
2020-06-10,9.48,377998
2020-06-11,8.79,489958
2020-06-12,9.3,410230
2020-06-15,9.57,407874
2020-06-16,10.5,878150
2020-06-17,10.48,901538
2020-06-18,11.21,1004131
2020-06-19,11.29,1432315
2020-06-22,11.68,1021076
2020-06-23,10.81,1049767
2020-06-24,10.69,487514
2020-06-25,10.75,472123
2020-06-26,10.26,5235336
2020-06-29,10.22,512907
2020-06-30,9.6,544494
2020-07-01,8.98,408578
2020-07-02,9.44,678521
2020-07-06,9.85,779985
2020-07-07,10.21,419358
2020-07-08,10.44,391413
2020-07-09,10.62,602624
2020-07-10,10.49,679693
2020-07-13,9.67,384337
2020-07-14,10.3,266211
2020-07-15,10.57,246130
2020-07-16,10.26,212374
2020-07-17,10.39,266518
2020-07-20,10.64,300248
2020-07-21,10.41,196227
2020-07-22,10.31,329892
2020-07-23,10.38,190349
2020-07-24,10.24,114653
2020-07-27,10.8,163545
2020-07-28,10.82,220509
2020-07-29,11.02,220652
2020-07-30,11.0,162286
2020-07-31,10.84,245022
2020-08-03,11.04,181273
2020-08-04,11.16,222812
2020-08-05,10.52,489819
2020-08-06,10.04,396026
2020-08-07,10.11,234143
2020-08-10,10.4,238621
2020-08-11,10.26,213148
2020-08-12,10.01,393151
2020-08-13,10.67,174259
2020-08-14,10.42,132309
