date,close,volume
2018-04-25,28.68,15432
2018-04-26,28.97,9541
2018-04-27,28.92,16641
2018-04-30,28.66,34715
2018-05-01,28.66,86350
2018-05-02,28.68,4900
2018-05-03,28.66,23964
2018-05-04,28.87,78202
2018-05-07,28.85,48817
2018-05-08,28.88,15844
2018-05-09,29.06,4653
2018-05-10,29.4,6267
2018-05-11,29.59,9559
2018-05-14,29.63,32171
2018-05-15,29.42,43192
2018-05-16,29.61,35120
2018-05-17,29.62,13945
2018-05-18,29.62,13174
2018-05-21,29.76,4966
2018-05-22,29.71,13801
2018-05-23,29.53,13051
2018-05-24,29.51,10617
2018-05-25,29.56,3015
2018-05-29,29.27,43140
2018-05-30,29.74,39136
2018-05-31,29.4,89206
2018-06-01,29.64,78470
2018-06-04,29.94,27189
2018-06-05,30.06,6568
2018-06-06,30.25,62436
2018-06-07,30.23,29214
2018-06-08,30.23,18262
2018-06-11,30.45,16751
2018-06-12,30.32,7703
2018-06-13,30.28,23645
2018-06-14,30.3,6622
2018-06-15,30.16,41350
2018-06-18,30.06,19172
2018-06-19,29.84,16646
2018-06-20,29.88,9792
2018-06-21,29.57,14038
2018-06-22,29.66,4071
2018-06-25,28.89,16098
2018-06-26,28.83,53188
2018-06-27,28.64,40702
2018-06-28,28.61,81257
2018-06-29,28.82,13020
2018-07-02,28.58,34856
2018-07-03,28.6,6145
2018-07-05,28.63,18848
2018-07-06,28.92,10619
2018-07-09,29.17,12962
2018-07-10,29.25,27868
2018-07-11,29.03,74465
2018-07-12,29.1,7681
2018-07-13,29.16,20830
2018-07-16,29.13,26907
2018-07-17,29.33,20661
2018-07-18,29.42,18439
2018-07-19,29.3,61684
2018-07-20,29.2,3420
2018-07-23,29.2,16154
2018-07-24,29.09,29375
2018-07-25,29.25,10650
2018-07-26,29.42,6195
2018-07-27,29.12,19528
2018-07-30,28.89,5150
2018-07-31,28.99,24870
2018-08-01,28.95,25292
2018-08-02,28.85,28364
2018-08-03,28.76,7880
2018-08-06,28.74,19137
2018-08-07,29.01,5959
2018-08-08,29.02,2684
2018-08-09,29.01,4335
2018-08-10,28.72,7849
2018-08-13,28.53,14452
2018-08-14,28.66,15933
2018-08-15,27.98,3934
2018-08-16,28.08,21077
2018-08-17,28.33,10935
2018-08-20,28.49,9813
2018-08-21,28.72,3674
2018-08-22,28.83,62388
2018-08-23,28.82,20352
2018-08-24,28.92,8448
2018-08-27,29.27,72180
2018-08-28,29.31,8597
2018-08-29,29.39,10312
2018-08-30,29.33,20385
2018-08-31,29.3,11904
2018-09-04,29.17,37550
2018-09-05,28.83,8629
2018-09-06,28.68,9584
2018-09-07,28.61,18343
2018-09-10,28.79,29455
2018-09-11,28.82,12529
2018-09-12,28.82,13543
2018-09-13,28.94,8477
2018-09-14,29.06,7290
2018-09-17,28.85,6110
2018-09-18,29.07,1413
2018-09-19,28.95,10193
2018-09-20,29.0,13471
2018-09-21,28.91,22362
2018-09-24,28.9,7013
2018-09-25,29.09,19310
2018-09-26,29.08,6435
2018-09-27,28.99,12382
2018-09-28,28.97,17363
2018-10-01,28.96,7970
2018-10-02,28.7,15937
2018-10-03,28.79,4669
2018-10-04,28.35,13128
2018-10-05,28.1,12650
2018-10-08,27.82,2751
2018-10-09,27.72,4394
2018-10-10,27.01,229619
2018-10-11,26.62,19284
2018-10-12,26.98,5694
2018-10-15,26.97,22514
2018-10-16,27.44,5337
2018-10-17,27.19,16473
2018-10-18,26.89,2505
2018-10-19,26.64,4256
2018-10-22,26.7,9801
2018-10-23,26.47,12879
2018-10-24,25.66,15696
2018-10-25,25.87,6861
2018-10-26,25.57,19085
2018-10-29,25.3,23475
2018-10-30,25.8,21409
2018-10-31,26.15,14157
2018-11-01,26.43,59865
2018-11-02,26.55,18861
2018-11-05,26.4,14084
2018-11-06,26.49,16147
2018-11-07,26.59,97540
2018-11-08,26.55,11070
2018-11-09,26.2,17697
2018-11-12,26.05,5166
2018-11-13,25.95,12356
2018-11-14,25.92,36179
2018-11-15,25.88,2763
2018-11-16,25.85,11837
2018-11-19,25.45,6669
2018-11-20,25.16,12019
2018-11-21,25.38,10190
2018-11-23,25.41,1761
2018-11-26,25.63,430657
2018-11-27,25.42,20742
2018-11-28,25.69,14951
2018-11-29,25.73,3319
2018-11-30,25.79,35287
2018-12-03,25.96,27056
2018-12-04,25.29,29634
2018-12-06,25.38,26367
2018-12-07,25.05,25127
2018-12-10,24.98,12692
2018-12-11,24.89,10796
2018-12-12,25.07,8793
2018-12-13,24.89,17913
2018-12-14,24.72,2271
2018-12-17,24.32,17234
2018-12-18,24.4,13179
2018-12-19,24.3,5063
2018-12-20,24.0,21289
2018-12-21,23.64,36796
2018-12-24,23.44,64224
2018-12-26,24.06,3959
2018-12-27,24.18,295334
2018-12-28,24.13,133864
2018-12-31,24.26,84591
2019-01-02,24.28,15732
2019-01-03,24.24,20958
2019-01-04,24.3,4222
2019-01-07,24.49,27090
2019-01-08,24.57,13096
2019-01-09,24.74,41647
2019-01-10,24.68,30546
2019-01-11,24.62,6976
2019-01-14,24.63,42581
2019-01-15,24.62,6220
2019-01-16,24.64,3526
2019-01-17,24.8,40180
2019-01-18,24.9,4768
2019-01-22,24.81,10328
2019-01-23,24.71,6544
2019-01-24,24.92,14932
2019-01-25,25.16,2201
2019-01-28,25.13,6219
2019-01-29,25.19,7258
2019-01-30,25.11,15756
2019-01-31,25.11,26465
2019-02-01,25.1,107478
2019-02-04,25.18,37257
