date,close,volume
2018-04-25,127.84,253589
2018-04-26,128.95,69176
2018-04-27,129.29,68032
2018-04-30,128.52,93228
2018-05-01,129.07,87003
2018-05-02,128.41,122507
2018-05-03,128.63,154653
2018-05-04,130.02,61614
2018-05-07,130.9,84102
2018-05-08,131.55,90044
2018-05-09,132.79,90660
2018-05-10,133.81,80125
2018-05-11,134.02,144972
2018-05-14,133.54,237509
2018-05-15,132.82,96992
2018-05-16,133.28,81592
2018-05-17,133.11,293838
2018-05-18,133.53,79753
2018-05-21,134.42,746459
2018-05-22,133.43,68050
2018-05-23,133.98,122079
2018-05-24,133.94,118982
2018-05-25,133.74,81796
2018-05-29,132.83,128003
2018-05-30,134.5,173547
2018-05-31,133.33,81719
2018-06-01,134.98,223538
2018-06-04,135.7,113951
2018-06-05,136.26,109646
2018-06-06,137.4,97165
2018-06-07,136.67,110965
2018-06-08,137.39,245722
2018-06-11,137.53,85875
2018-06-12,138.71,91886
2018-06-13,138.19,94596
2018-06-14,138.96,86273
2018-06-15,139.0,127836
2018-06-18,139.32,125146
2018-06-19,138.46,90520
2018-06-20,139.24,90285
2018-06-21,137.85,79742
2018-06-22,137.28,73211
2018-06-25,134.68,129992
2018-06-26,134.93,83487
2018-06-27,133.14,104435
2018-06-28,134.13,82937
2018-06-29,134.41,91021
2018-07-02,134.59,311491
2018-07-03,134.44,112414
2018-07-05,135.65,63372
2018-07-06,137.06,75036
2018-07-09,138.03,98777
2018-07-10,138.14,103647
2018-07-11,137.58,72030
2018-07-12,139.24,127165
2018-07-13,139.13,89537
2018-07-16,138.4,88592
2018-07-17,139.18,67025
2018-07-18,139.4,83953
2018-07-19,139.58,77249
2018-07-20,139.24,216321
2018-07-23,139.32,79383
2018-07-24,138.43,72463
2018-07-25,140.34,75079
2018-07-26,140.27,92712
2018-07-27,137.81,109930
2018-07-30,135.89,133662
2018-07-31,136.85,102510
2018-08-01,136.57,77562
2018-08-02,137.99,158335
2018-08-03,137.88,139538
2018-08-06,138.68,76156
2018-08-07,139.22,86755
2018-08-08,138.81,88177
2018-08-09,139.21,75753
2018-08-10,138.56,78801
2018-08-13,137.96,83001
2018-08-14,138.93,55505
2018-08-15,137.47,102703
2018-08-16,138.46,150670
2018-08-17,139.09,92890
2018-08-20,139.59,131414
2018-08-21,140.2,87181
2018-08-22,140.36,49656
2018-08-23,140.18,102786
2018-08-24,141.77,96166
2018-08-27,142.61,78763
2018-08-28,142.94,70024
2018-08-29,143.7,95231
2018-08-30,142.77,77987
2018-08-31,143.21,63781
2018-09-04,143.25,105875
2018-09-05,142.05,136764
2018-09-06,141.82,130161
2018-09-07,141.41,84512
2018-09-10,142.33,98175
2018-09-11,142.77,119047
2018-09-12,142.96,76774
2018-09-13,143.55,80426
2018-09-14,143.66,243822
2018-09-17,142.05,123616
2018-09-18,142.79,67607
2018-09-19,142.27,128050
2018-09-20,143.03,74564
2018-09-21,142.7,68560
2018-09-24,142.58,81487
2018-09-25,143.02,126883
2018-09-26,142.38,88682
2018-09-27,142.6,70612
2018-09-28,142.5,71706
2018-10-01,142.06,143996
2018-10-02,140.86,137489
2018-10-03,141.17,99737
2018-10-04,139.03,130730
2018-10-05,138.05,133995
2018-10-08,136.72,124281
2018-10-09,136.37,91299
2018-10-10,131.19,267720
2018-10-11,128.93,391952
2018-10-12,131.09,402535
2018-10-15,130.75,97819
2018-10-16,134.29,155079
2018-10-17,133.72,106852
2018-10-18,131.56,91217
2018-10-19,130.26,170266
2018-10-22,130.16,91178
2018-10-23,129.05,136916
2018-10-24,124.64,181139
2018-10-25,126.63,260567
2018-10-26,124.31,184484
2018-10-29,123.8,402195
2018-10-30,126.64,210735
2018-10-31,128.69,210102
