date,close,volume
2018-04-25,72.67,115892
2018-04-26,73.29,102072
2018-04-27,73.41,114170
2018-04-30,73.2,117172
2018-05-01,73.12,286476
2018-05-02,73.0,178073
2018-05-03,73.12,133272
2018-05-04,73.47,160341
2018-05-07,73.29,121770
2018-05-08,73.38,133348
2018-05-09,73.08,1369477
2018-05-10,73.78,196233
2018-05-11,74.16,106703
2018-05-14,74.31,282078
2018-05-15,73.49,164410
2018-05-16,73.87,518229
2018-05-17,73.69,283799
2018-05-18,73.46,112026
2018-05-21,73.82,130257
2018-05-22,73.62,186021
2018-05-23,73.47,140421
2018-05-24,73.11,253859
2018-05-25,72.95,131779
2018-05-29,72.27,139976
2018-05-30,72.78,172586
2018-05-31,72.39,125450
2018-06-01,73.01,143148
2018-06-04,73.46,129521
2018-06-05,73.33,140708
2018-06-06,73.81,227600
2018-06-07,73.62,403131
2018-06-08,73.7,249659
2018-06-11,73.96,123860
2018-06-12,73.43,270669
2018-06-13,73.21,178899
2018-06-14,72.94,384702
2018-06-15,72.39,200278
2018-06-18,71.97,150745
2018-06-19,71.07,361419
2018-06-20,71.23,241454
2018-06-21,70.78,119142
2018-06-22,70.89,189157
2018-06-25,69.95,300095
2018-06-26,70.28,316219
2018-06-27,69.58,444644
2018-06-28,69.92,250391
2018-06-29,69.98,286455
2018-07-02,68.76,739490
2018-07-03,68.64,183892
2018-07-05,68.75,419134
2018-07-06,69.26,150166
2018-07-09,70.17,186027
2018-07-10,69.89,189706
2018-07-11,68.7,506393
2018-07-12,69.12,127758
2018-07-13,69.57,180845
2018-07-16,69.45,127175
2018-07-17,69.8,106650
2018-07-18,69.82,160263
2018-07-19,69.53,149673
2018-07-20,69.98,88082
2018-07-23,69.94,185319
2018-07-24,70.34,3300182
2018-07-25,70.94,471933
2018-07-26,70.82,213062
2018-07-27,71.07,195390
2018-07-30,70.77,227184
2018-07-31,70.54,222157
2018-08-01,70.63,158373
2018-08-02,70.05,1227759
2018-08-03,70.12,140327
2018-08-06,69.67,129266
2018-08-07,70.33,142594
2018-08-08,70.34,146745
2018-08-09,70.17,1969209
2018-08-10,69.08,105647
2018-08-13,68.47,361493
2018-08-14,68.79,150772
2018-08-15,68.04,1131912
2018-08-16,68.45,124127
2018-08-17,68.85,139530
2018-08-20,69.0,101262
2018-08-21,69.19,129031
2018-08-22,69.37,96060
2018-08-23,68.88,253465
2018-08-24,69.36,78610
2018-08-27,70.25,226068
2018-08-28,70.11,230279
2018-08-29,70.55,210496
2018-08-30,69.9,401332
2018-08-31,69.87,303874
2018-09-04,69.16,319638
2018-09-05,68.37,477019
2018-09-06,68.26,251106
2018-09-07,67.62,264554
2018-09-10,67.75,245522
2018-09-11,67.87,264649
2018-09-12,68.13,434135
2018-09-13,68.63,338206
2018-09-14,69.17,309393
2018-09-17,69.02,226013
2018-09-18,70.34,305338
2018-09-19,70.69,250137
2018-09-20,71.04,253202
2018-09-21,71.16,257608
2018-09-24,70.82,288056
2018-09-25,71.29,203431
2018-09-26,71.31,535747
2018-09-27,71.23,906807
2018-09-28,71.1,410372
2018-10-01,71.3,340547
2018-10-02,70.81,864593
2018-10-03,70.24,297308
2018-10-04,69.21,273032
2018-10-05,69.14,373022
2018-10-08,69.12,244041
2018-10-09,68.81,1608413
2018-10-10,67.06,455053
2018-10-11,65.88,471397
2018-10-12,66.35,1930558
2018-10-15,66.17,190876
2018-10-16,67.25,260605
2018-10-17,67.07,393489
2018-10-18,66.0,223520
2018-10-19,66.31,164800
2018-10-22,66.15,353787
2018-10-23,65.28,502774
2018-10-24,63.31,267684
2018-10-25,64.0,246188
2018-10-26,63.05,524183
2018-10-29,62.51,327335
2018-10-30,63.5,534745
2018-10-31,64.06,411749
2018-11-01,64.62,652412
2018-11-02,65.02,357662
2018-11-05,65.01,350369
2018-11-06,65.52,278828
2018-11-07,66.43,251744
2018-11-08,65.78,207203
2018-11-09,65.05,519049
2018-11-12,64.3,236655
2018-11-13,64.35,259470
2018-11-14,64.29,252357
2018-11-15,65.0,348799
2018-11-16,65.06,138932
2018-11-19,64.5,177917
2018-11-20,63.33,433976
2018-11-21,64.27,162557
2018-11-23,63.96,171284
2018-11-26,64.99,246392
2018-11-27,65.04,1304662
2018-11-28,66.09,1594987
2018-11-29,65.69,364615
2018-11-30,65.61,948544
2018-12-03,66.74,398383
2018-12-04,64.52,1402587
2018-12-06,64.27,583029
2018-12-07,63.65,447369
2018-12-10,63.16,439110
2018-12-11,63.15,751121
2018-12-12,63.87,389694
2018-12-13,63.82,300622
2018-12-14,62.96,448629
2018-12-17,62.58,493347
2018-12-18,62.76,532726
2018-12-19,61.93,684458
2018-12-20,61.59,767546
2018-12-21,60.12,899589
2018-12-24,58.71,583198
2018-12-26,59.88,1126504
2018-12-27,60.54,844083
2018-12-28,60.84,570957
2018-12-31,60.63,653552
2019-01-02,60.63,436111
