date,close,volume
2018-04-25,112.63,114334
2018-04-26,113.89,94570
2018-04-27,114.97,241682
2018-04-30,114.57,199049
2018-05-01,114.34,112673
2018-05-02,114.19,84453
2018-05-03,114.38,167474
2018-05-04,114.86,128695
2018-05-07,114.34,71579
2018-05-08,111.66,113498
2018-05-09,111.0,114181
2018-05-10,112.44,371814
2018-05-11,112.62,50585
2018-05-14,112.19,138799
2018-05-15,111.25,109818
2018-05-16,110.46,78096
2018-05-17,109.57,169456
2018-05-18,109.63,100188
2018-05-21,110.19,106228
2018-05-22,110.64,106038
2018-05-23,111.65,106281
2018-05-24,112.49,84141
2018-05-25,112.97,69959
2018-05-29,113.15,220778
2018-05-30,114.09,88894
2018-05-31,114.21,277190
2018-06-01,112.52,72938
2018-06-04,111.73,117855
2018-06-05,110.94,67557
2018-06-06,108.69,263540
2018-06-07,109.18,152913
2018-06-08,109.2,84441
2018-06-11,108.7,111722
2018-06-12,110.07,330930
2018-06-13,109.74,89627
2018-06-14,111.01,148399
2018-06-15,111.78,122735
2018-06-18,112.28,131823
2018-06-19,113.48,141015
2018-06-20,113.47,126482
2018-06-21,113.84,116067
2018-06-22,114.62,271684
2018-06-25,116.29,235718
2018-06-26,116.28,139782
2018-06-27,116.94,104476
2018-06-28,115.89,107579
2018-06-29,115.96,140804
2018-07-02,116.84,152633
2018-07-03,117.14,338088
2018-07-05,117.87,177141
2018-07-06,118.84,123687
2018-07-09,115.2,248530
2018-07-10,116.24,443230
2018-07-11,117.18,103057
2018-07-12,117.27,101581
2018-07-13,117.31,182285
2018-07-16,117.12,94213
2018-07-17,117.04,66931
2018-07-18,116.47,114488
2018-07-19,117.63,64032
2018-07-20,116.78,82681
2018-07-23,116.02,67723
2018-07-24,116.34,93636
2018-07-25,116.54,100111
2018-07-26,117.84,162663
2018-07-27,117.34,72703
2018-07-30,116.64,65037
2018-07-31,117.9,91112
2018-08-01,116.91,64676
2018-08-02,117.65,172593
2018-08-03,118.7,135650
2018-08-06,118.9,97626
2018-08-07,118.72,186395
2018-08-08,118.2,87341
2018-08-09,118.82,68410
2018-08-10,118.27,91679
2018-08-13,118.42,70751
2018-08-14,118.79,88947
2018-08-15,119.6,681139
2018-08-16,120.97,141530
2018-08-17,121.53,165431
2018-08-20,121.18,125415
2018-08-21,120.37,101637
2018-08-22,119.51,85845
2018-08-23,119.38,173246
2018-08-24,119.93,190376
2018-08-27,119.09,339273
2018-08-28,118.82,68045
2018-08-29,119.67,110909
2018-08-30,119.78,88917
2018-08-31,119.26,84485
2018-09-04,119.82,75053
2018-09-05,121.31,78435
2018-09-06,121.98,92746
2018-09-07,120.58,82166
2018-09-10,121.18,175793
2018-09-11,120.94,81805
2018-09-12,120.86,110400
2018-09-13,121.83,58905
2018-09-14,121.26,210147
2018-09-17,121.55,96190
2018-09-18,121.42,83380
2018-09-19,118.76,136767
2018-09-20,119.1,113056
2018-09-21,119.56,179833
2018-09-24,117.64,116391
2018-09-25,116.3,196292
2018-09-26,115.13,196660
2018-09-27,116.26,141781
2018-09-28,117.87,253555
2018-10-01,117.5,182726
2018-10-02,118.88,98249
2018-10-03,117.54,131549
2018-10-04,118.08,111967
2018-10-05,119.81,182364
2018-10-08,120.84,288878
2018-10-09,121.31,131893
2018-10-10,120.57,168540
2018-10-11,118.13,238961
2018-10-12,118.12,212550
2018-10-15,118.6,103683
2018-10-16,119.99,278140
2018-10-17,119.81,200266
2018-10-18,119.94,202916
2018-10-19,121.72,202939
2018-10-22,120.96,139287
2018-10-23,120.13,132176
2018-10-24,122.65,276972
2018-10-25,120.82,226462
2018-10-26,118.79,273262
2018-10-29,120.3,166560
2018-10-30,120.68,247570
2018-10-31,119.25,185179
2018-11-01,118.89,712597
2018-11-02,118.4,170453
2018-11-05,119.96,158089
2018-11-06,120.94,146861
2018-11-07,122.35,137506
2018-11-08,122.0,113944
2018-11-09,122.27,94312
2018-11-12,122.29,188451
2018-11-13,122.75,99726
2018-11-14,121.52,181459
2018-11-15,120.82,114857
2018-11-16,122.46,115544
2018-11-19,123.12,94002
2018-11-20,122.47,430389
2018-11-21,120.8,117263
2018-11-23,120.95,126781
2018-11-26,121.57,155373
2018-11-27,122.41,125988
2018-11-28,122.4,112949
2018-11-29,122.1,500324
2018-11-30,123.92,172385
2018-12-03,124.98,441131
2018-12-04,125.06,214874
2018-12-06,125.08,382984
2018-12-07,125.7,361408
2018-12-10,126.03,195193
2018-12-11,126.42,276918
2018-12-12,125.87,188321
2018-12-13,125.89,252660
2018-12-14,125.57,225951
2018-12-17,121.49,1792386
2018-12-18,120.62,278808
2018-12-19,120.47,184481
2018-12-20,120.67,332426
2018-12-21,119.85,396763
2018-12-24,114.71,272809
2018-12-26,116.33,384806
2018-12-27,117.29,325134
2018-12-28,117.45,209801
2018-12-31,117.83,601206
2019-01-02,115.64,331748
2019-01-03,115.77,220842
2019-01-04,117.57,198467
2019-01-07,116.71,208269
2019-01-08,118.22,195974
2019-01-09,117.42,203948
2019-01-10,119.13,148523
2019-01-11,118.54,291644
2019-01-14,116.03,237930
2019-01-15,117.56,167311
