date,close,volume
2018-04-25,18.75,238423
2018-04-26,18.3,150252
2018-04-27,18.33,408075
2018-04-30,18.06,227586
2018-05-01,18.08,549405
2018-05-02,18.8,316306
2018-05-03,18.73,275009
2018-05-04,18.61,210138
2018-05-07,18.74,222544
2018-05-08,18.23,330174
2018-05-09,18.14,278160
2018-05-10,18.38,327932
2018-05-11,18.98,264863
2018-05-14,18.8,267594
2018-05-15,18.96,316286
2018-05-16,20.4,654701
2018-05-17,20.65,501735
2018-05-18,20.69,318098
2018-05-21,20.37,218835
2018-05-22,20.03,212972
2018-05-23,19.95,472636
2018-05-24,20.1,345952
2018-05-25,20.01,196478
2018-05-29,19.87,302696
2018-05-30,20.13,239388
2018-05-31,20.23,561049
2018-06-01,20.49,296738
2018-06-04,21.12,530179
2018-06-05,21.12,283604
2018-06-06,21.17,219422
2018-06-07,20.33,244241
2018-06-08,20.21,135653
2018-06-11,20.11,155860
2018-06-12,19.68,295347
2018-06-13,19.78,281158
2018-06-14,19.7,289667
2018-06-15,19.7,292712
2018-06-18,19.69,296585
2018-06-19,19.6,135783
2018-06-20,19.39,293440
2018-06-21,19.81,595767
2018-06-22,20.05,602704
2018-06-25,20.66,441216
2018-06-26,21.35,376385
2018-06-27,21.42,301039
2018-06-28,21.77,241967
2018-06-29,21.76,187347
2018-07-02,21.74,522327
2018-07-03,21.9,155284
2018-07-05,22.18,386316
2018-07-06,22.39,113169
2018-07-09,22.47,171763
2018-07-10,21.29,233618
2018-07-11,20.88,205321
2018-07-12,20.92,172774
2018-07-13,20.89,105524
2018-07-16,20.65,149988
2018-07-17,21.21,171260
2018-07-18,21.21,146337
2018-07-19,21.85,248438
2018-07-20,21.15,140462
2018-07-23,21.34,154288
2018-07-24,21.17,184531
2018-07-25,21.04,192918
2018-07-26,21.5,152445
2018-07-27,21.18,137452
2018-07-30,20.36,136283
2018-07-31,20.87,215513
2018-08-01,21.53,202184
2018-08-02,22.46,257635
2018-08-03,22.01,118081
2018-08-06,22.88,247712
2018-08-07,23.14,266797
2018-08-08,24.21,501698
2018-08-09,25.67,519143
2018-08-10,26.21,504832
2018-08-13,26.59,505536
2018-08-14,27.44,450067
2018-08-15,27.44,352561
2018-08-16,27.6,334225
2018-08-17,28.04,378482
2018-08-20,28.75,453912
2018-08-21,29.34,453102
2018-08-22,28.89,417438
2018-08-23,28.8,311873
2018-08-24,29.19,390455
2018-08-27,29.5,297947
2018-08-28,30.11,330739
2018-08-29,30.55,505401
2018-08-30,30.68,376907
2018-08-31,31.39,1221563
2018-09-04,31.09,758476
2018-09-05,30.38,557481
2018-09-06,29.97,261710
2018-09-07,29.81,411223
2018-09-10,29.59,522006
2018-09-11,29.69,513368
2018-09-12,30.6,1066937
2018-09-13,31.68,1434791
2018-09-14,31.02,513858
2018-09-17,28.64,564311
2018-09-18,29.45,448193
2018-09-19,29.01,350867
2018-09-20,28.79,244202
2018-09-21,28.73,711003
2018-09-24,29.67,474992
2018-09-25,30.85,494135
2018-09-26,31.92,741853
2018-09-27,32.28,538659
2018-09-28,33.67,824010
2018-10-01,33.41,567070
2018-10-02,33.01,360244
2018-10-03,33.3,639784
2018-10-04,33.17,232797
2018-10-05,33.57,339696
2018-10-08,32.91,382161
2018-10-09,33.05,381235
2018-10-10,30.71,688313
2018-10-11,29.39,731779
2018-10-12,29.56,419381
2018-10-15,29.16,349158
2018-10-16,30.65,402904
2018-10-17,30.27,273773
2018-10-18,29.41,267002
2018-10-19,29.64,299426
2018-10-22,30.66,376887
2018-10-23,30.12,423230
2018-10-24,28.56,339168
2018-10-25,29.57,348097
2018-10-26,30.28,452942
2018-10-29,28.06,439708
2018-10-30,28.3,295518
2018-10-31,28.11,461507
2018-11-01,29.21,396090
2018-11-02,29.32,210099
2018-11-05,28.69,326476
2018-11-06,28.19,307668
2018-11-07,31.16,588827
2018-11-08,28.4,551197
2018-11-09,27.35,484487
2018-11-12,26.39,337198
2018-11-13,26.28,237350
2018-11-14,25.98,229712
2018-11-15,26.1,585592
2018-11-16,25.98,273901
2018-11-19,25.14,344916
2018-11-20,24.33,390904
2018-11-21,24.38,211644
2018-11-23,24.75,123882
2018-11-26,24.49,231657
2018-11-27,23.95,513295
2018-11-28,25.82,491819
2018-11-29,25.92,271499
2018-11-30,25.22,305867
2018-12-03,25.93,317482
2018-12-04,25.07,389223
2018-12-06,24.72,350056
2018-12-07,23.41,310104
2018-12-10,23.16,252954
2018-12-11,23.07,335797
2018-12-12,23.86,420561
2018-12-13,23.83,273079
2018-12-14,24.03,357195
