date,close,volume
2018-04-25,155.15,1313098
2018-04-26,158.81,1991083
2018-04-27,156.05,1866708
2018-04-30,153.16,1717317
2018-05-01,152.48,1648558
2018-05-02,149.47,2565220
2018-05-03,149.64,1518943
2018-05-04,149.39,2263777
2018-05-07,149.5,1448762
2018-05-08,148.27,1146964
2018-05-09,149.07,1419622
2018-05-10,151.01,1267581
2018-05-11,155.97,2242866
2018-05-14,157.46,1442379
2018-05-15,155.54,1370152
2018-05-16,156.16,1240701
2018-05-17,156.34,1147519
2018-05-18,157.24,998525
2018-05-21,156.22,1199245
2018-05-22,156.28,956366
2018-05-23,156.98,791228
2018-05-24,156.97,634448
2018-05-25,157.5,653584
2018-05-29,155.24,1142294
2018-05-30,156.64,1164429
2018-05-31,154.0,1649430
2018-06-01,152.05,2176805
2018-06-04,149.65,2660991
2018-06-05,145.72,2957840
2018-06-06,145.97,3087528
2018-06-07,145.75,2183214
2018-06-08,150.55,1791147
2018-06-11,148.63,1460342
2018-06-12,150.99,1539661
2018-06-13,151.94,1307687
2018-06-14,154.99,1384574
2018-06-15,155.02,2890161
2018-06-18,151.69,1371721
2018-06-19,154.5,1551161
2018-06-20,157.63,1385374
2018-06-21,156.57,835370
2018-06-22,159.19,2203490
2018-06-25,154.76,1491803
2018-06-26,151.5,1813927
2018-06-27,147.5,2075364
2018-06-28,147.59,1368358
2018-06-29,169.96,6716387
2018-07-02,169.61,2283604
2018-07-03,167.73,1059865
2018-07-05,169.49,1178627
2018-07-06,173.45,1518916
2018-07-09,174.16,1334968
2018-07-10,175.11,1600268
2018-07-11,175.01,1618426
2018-07-12,178.27,1181060
2018-07-13,180.5,1458674
2018-07-16,181.22,1961482
2018-07-17,182.59,1133302
2018-07-18,181.13,1138482
2018-07-19,180.12,1080486
2018-07-20,177.4,1666374
2018-07-23,176.54,1388700
2018-07-24,174.88,1704975
2018-07-25,176.81,1567334
2018-07-26,175.87,2400676
2018-07-27,172.1,1392093
2018-07-30,174.42,1534172
2018-07-31,175.05,1529430
2018-08-01,177.87,1384463
2018-08-02,177.89,1684292
2018-08-03,174.54,1117993
2018-08-06,174.91,761485
2018-08-07,177.51,1097804
2018-08-08,175.3,903526
2018-08-09,175.05,837042
2018-08-10,174.82,568010
2018-08-13,175.05,810394
2018-08-14,175.93,566678
2018-08-15,173.0,907510
2018-08-16,174.96,732505
2018-08-17,176.08,981740
2018-08-20,175.71,946746
2018-08-21,176.86,919581
2018-08-22,177.72,616391
2018-08-23,176.02,681036
2018-08-24,176.84,905185
2018-08-27,179.32,825637
2018-08-28,180.87,1257611
2018-08-29,184.86,1277524
2018-08-30,186.03,968908
2018-08-31,184.4,1302095
2018-09-04,183.31,1371082
2018-09-05,183.21,1027888
2018-09-06,180.05,890712
2018-09-07,179.47,1204444
2018-09-10,179.28,797528
2018-09-11,178.61,1077737
2018-09-12,178.34,860811
2018-09-13,179.86,830409
2018-09-14,179.01,847297
2018-09-17,175.8,878076
2018-09-18,177.12,964893
2018-09-19,176.6,732151
2018-09-20,180.52,784813
2018-09-21,180.08,1642003
2018-09-24,182.17,706285
2018-09-25,182.65,835788
2018-09-26,186.65,1712114
2018-09-27,189.74,1381142
2018-09-28,192.74,2148204
2018-10-01,191.57,1841863
2018-10-02,191.93,941159
2018-10-03,192.21,1000926
2018-10-04,188.62,935470
2018-10-05,188.05,859808
2018-10-08,185.34,852196
2018-10-09,185.66,1087261
2018-10-10,176.43,1565380
2018-10-11,175.66,2395236
2018-10-12,181.32,1257515
2018-10-15,177.65,1064193
2018-10-16,185.45,1136652
2018-10-17,185.48,886873
2018-10-18,178.9,2643374
2018-10-19,175.69,1905500
2018-10-22,177.4,1513448
2018-10-23,174.17,1960486
2018-10-24,163.09,2053359
2018-10-25,165.61,2800090
2018-10-26,169.48,2659510
2018-10-29,170.34,2700823
2018-10-30,171.49,1441870
2018-10-31,169.46,1607491
2018-11-01,175.19,1368952
2018-11-02,173.29,1338116
2018-11-05,174.59,801406
2018-11-06,175.23,920333
2018-11-07,183.88,1535978
2018-11-08,180.26,1101756
2018-11-09,180.55,1845491
2018-11-12,172.85,1754054
2018-11-13,170.31,955741
2018-11-14,164.58,1502568
2018-11-15,166.67,1648087
2018-11-16,165.11,1924132
2018-11-19,161.07,1362928
2018-11-20,159.76,1658171
2018-11-21,160.25,874187
2018-11-23,160.39,346829
2018-11-26,167.4,1604009
2018-11-27,175.45,2327610
2018-11-28,178.38,1445111
2018-11-29,179.45,976406
2018-11-30,180.79,1095998
2018-12-03,184.65,1692900
2018-12-04,177.93,1316188
2018-12-06,179.61,1906316
2018-12-07,172.21,1627291
2018-12-10,173.78,907149
2018-12-11,173.23,1023565
2018-12-12,175.45,904998
