date,close,volume
2018-11-29,24.93,500
2018-11-30,24.93,0
2018-12-03,26.21,400
2018-12-04,24.38,370
2018-12-06,23.73,1108
2018-12-07,21.69,685
2018-12-10,21.96,320
2018-12-11,21.95,0
2018-12-12,22.68,335
2018-12-13,22.33,1584
2018-12-14,21.21,650
2018-12-17,19.42,561
2018-12-18,20.07,963
2018-12-19,18.91,1609
2018-12-20,17.39,1560
2018-12-21,16.38,82
2018-12-24,15.5,100
2018-12-26,18.13,2393
2018-12-27,18.11,3632
2018-12-28,18.36,2361
2018-12-31,18.72,1748
2019-01-02,19.38,1267
2019-01-03,18.19,4610
2019-01-04,19.95,4018
2019-01-07,21.37,4947
2019-01-08,22.01,5579
2019-01-09,22.27,6258
2019-01-10,22.14,4158
2019-01-11,22.17,271
2019-01-14,21.8,2011
2019-01-15,22.34,9085
2019-01-16,22.22,2482
2019-01-17,22.58,11457
2019-01-18,23.5,10688
2019-01-22,22.49,21413
2019-01-23,22.62,892
2019-01-24,22.96,1247
2019-01-25,23.63,4437
2019-01-28,23.18,3110
2019-01-29,22.76,1630
2019-01-30,24.1,1244
2019-01-31,24.83,2870
2019-02-01,23.74,3464
2019-02-04,24.11,4994
2019-02-05,24.86,3169
2019-02-06,24.49,5277
2019-02-07,23.84,920
2019-02-08,23.49,5623
2019-02-11,23.79,2697
2019-02-12,24.87,712
2019-02-13,25.29,1924
2019-02-14,25.09,4457
2019-02-15,25.49,2797
2019-02-19,25.85,5275
2019-02-20,25.92,1294
2019-02-21,25.81,2489
2019-02-22,26.25,907
2019-02-25,25.98,1849
2019-02-26,26.1,1470
2019-02-27,26.0,875
2019-02-28,25.55,806
2019-03-01,26.19,594
2019-03-04,25.92,3317
2019-03-05,26.22,468
2019-03-06,25.78,5
2019-03-07,24.79,3852
2019-03-08,24.23,10287
2019-03-11,25.29,3223
2019-03-12,25.44,1345
2019-03-13,25.77,501
2019-03-14,25.5,3216
2019-03-15,25.93,62
2019-03-18,26.72,604
2019-03-19,26.98,3727
2019-03-20,27.19,3369
2019-03-21,28.3,7411
2019-03-22,26.63,9166
2019-03-25,27.04,803
2019-03-26,27.34,1381
2019-03-27,27.18,3269
2019-03-28,27.74,879
2019-03-29,28.11,1836
2019-04-01,29.09,7853
2019-04-02,29.04,674
2019-04-03,29.7,1944
2019-04-04,30.35,2727
2019-04-05,30.88,5607
2019-04-08,31.19,1302
2019-04-09,30.28,8853
2019-04-10,30.74,1022
2019-04-11,30.92,1635
2019-04-12,31.48,15848
2019-04-15,31.68,1908
2019-04-16,32.06,3926
2019-04-17,32.29,6017
2019-04-18,32.18,9884
2019-04-22,31.88,7432
2019-04-23,32.94,5209
2019-04-24,33.11,4654
2019-04-25,32.54,9378
2019-04-26,33.21,15344
2019-04-29,33.02,37053
2019-04-30,32.85,6130
2019-05-01,31.62,29491
2019-05-02,31.57,4480
2019-05-03,32.82,6527
2019-05-06,32.14,4406
2019-05-07,30.67,10230
2019-05-08,30.73,2089
2019-05-09,30.27,14407
2019-05-10,30.39,9425
2019-05-13,27.8,5854
2019-05-14,28.61,3401
2019-05-15,29.04,97048
2019-05-16,29.81,5875
2019-05-17,29.28,2633
2019-05-20,28.65,28263
2019-05-21,29.24,38362
2019-05-22,28.3,1498
2019-05-23,27.22,9133
2019-05-24,27.33,4353
2019-05-28,26.88,1426
2019-05-29,26.11,1022
2019-05-30,26.54,1868
2019-05-31,25.53,1354
2019-06-03,24.81,3340
2019-06-04,26.83,2913
2019-06-05,27.25,7956
2019-06-06,27.57,8954
2019-06-07,28.89,6670
2019-06-10,29.61,15701
2019-06-11,29.94,1316
2019-06-12,29.83,783
2019-06-13,30.54,1706
2019-06-14,30.95,5549
2019-06-17,30.86,15530
2019-06-18,31.53,10647
2019-06-19,31.88,4810
2019-06-20,32.43,7110
2019-06-21,32.04,1814
2019-06-24,31.46,6534
2019-06-25,30.52,7394
2019-06-26,30.88,1769
2019-06-27,31.4,3047
2019-06-28,31.6,6981
2019-07-01,32.44,816
2019-07-02,32.59,2306
2019-07-03,33.46,3962
2019-07-05,33.48,3782
2019-07-08,33.72,4780
2019-07-09,33.89,8008
2019-07-10,34.12,8694
2019-07-11,34.4,3657
2019-07-12,35.61,9754
2019-07-15,35.91,14751
2019-07-16,35.83,15523
2019-07-17,34.84,8378
2019-07-18,34.57,15388
2019-07-19,33.93,7094
2019-07-22,33.89,10974
2019-07-23,34.49,9640
2019-07-24,35.05,5064
2019-07-25,34.55,6520
2019-07-26,34.92,13304
2019-07-29,34.51,3259
2019-07-30,33.7,9740
2019-07-31,32.71,9185
2019-08-01,31.27,4738
2019-08-02,30.45,7902
2019-08-05,28.01,21020
2019-08-06,29.23,4763
2019-08-07,29.61,8366
2019-08-08,31.25,4881
2019-08-09,30.4,4880
2019-08-12,29.16,8083
2019-08-13,30.51,25329
2019-08-14,27.81,5822
2019-08-15,27.63,5722
2019-08-16,28.47,14063
2019-08-19,29.59,11220
2019-08-20,29.6,2643
2019-08-21,31.21,11203
2019-08-22,31.34,3567
2019-08-23,28.48,10988
2019-08-26,29.43,1316
2019-08-27,29.24,7779
2019-08-28,30.19,7933
2019-08-29,31.57,11179
2019-08-30,31.12,14399
2019-09-03,30.67,19408
2019-09-04,31.42,3001
2019-09-05,33.21,17933
2019-09-06,33.49,22202
2019-09-09,33.91,36873
2019-09-10,33.33,9215
2019-09-11,33.61,12323
2019-09-12,34.26,30697
2019-09-13,34.01,7030
2019-09-16,32.64,31444
2019-09-17,33.17,8564
2019-09-18,33.16,15262
2019-09-19,33.01,7738
2019-09-20,31.88,5332
2019-09-23,32.12,3846
2019-09-24,31.01,2854
2019-09-25,31.85,9951
2019-09-26,31.37,4189
2019-09-27,31.03,1421
2019-09-30,31.92,38636
2019-10-01,31.07,7384
2019-10-02,29.39,4167
2019-10-03,29.73,18259
2019-10-04,30.5,5301
2019-10-07,30.38,3732
2019-10-08,29.32,2464
2019-10-09,30.1,4178
2019-10-10,30.59,1877
2019-10-11,31.72,4578
2019-10-14,31.59,2678
2019-10-15,32.44,5482
2019-10-16,32.79,2256
2019-10-17,33.06,2490
2019-10-18,32.94,3090
2019-10-21,33.21,1432
2019-10-22,32.61,1580
2019-10-23,32.05,4888
2019-10-24,32.03,3453
2019-10-25,31.96,6885
2019-10-28,32.23,5666
2019-10-29,31.67,4514
2019-10-30,32.17,3275
2019-10-31,31.62,7913
2019-11-01,32.24,3924
2019-11-04,32.34,6181
2019-11-05,32.54,5419
2019-11-06,32.6,1571
2019-11-07,32.0,4384
2019-11-08,32.02,1396
2019-11-11,31.8,2810
2019-11-12,31.74,3997
2019-11-13,31.49,2009
2019-11-14,31.87,1563
2019-11-15,31.98,7826
2019-11-18,32.28,2748
2019-11-19,31.4,4001
2019-11-20,31.04,2887
2019-11-21,30.55,2237
2019-11-22,31.16,3064
2019-11-25,31.97,4884
2019-11-26,32.6,17625
2019-11-27,33.49,48069
2019-11-29,32.7,32945
2019-12-02,32.04,9626
2019-12-03,31.05,43420
2019-12-04,31.55,21289
2019-12-05,31.41,1388
2019-12-06,32.2,3903
2019-12-09,32.33,1774
2019-12-10,32.1,1111
2019-12-11,32.35,4421
2019-12-12,33.19,5013
2019-12-13,33.27,6919
2019-12-16,33.74,4273
2019-12-17,34.23,15768
2019-12-18,34.3,3655
2019-12-19,34.53,7167
2019-12-20,34.76,7066
2019-12-23,34.41,8767
2019-12-24,34.7,3998
2019-12-26,35.85,5937
2019-12-27,35.92,11443
2019-12-30,35.14,8371
2019-12-31,35.31,6690
2020-01-02,36.48,19950
2020-01-03,35.67,10862
2020-01-06,35.91,6219
2020-01-07,35.74,6657
2020-01-08,36.02,13244
2020-01-09,36.66,8252
2020-01-10,36.09,7654
2020-01-13,36.39,2709
2020-01-14,36.31,7226
2020-01-15,36.03,5458
2020-01-16,37.0,6278
2020-01-17,37.44,7385
2020-01-21,37.08,14225
2020-01-22,37.01,4126
2020-01-23,37.18,5154
2020-01-24,35.63,8955
2020-01-27,34.04,15573
2020-01-28,35.05,2728
2020-01-29,35.0,1195
2020-01-30,34.76,6322
2020-01-31,35.05,6531
2020-02-03,35.79,6512
2020-02-04,37.58,15445
2020-02-05,38.2,7090
2020-02-06,38.04,7468
2020-02-07,37.4,2986
2020-02-10,38.64,2535
2020-02-11,39.47,14699
2020-02-12,40.79,9846
2020-02-13,40.6,9125
2020-02-14,40.33,5383
2020-02-18,40.36,5875
2020-02-19,41.0,3263
2020-02-20,40.99,5384
2020-02-21,39.08,15632
2020-02-24,35.01,28021
2020-02-25,32.34,11972
2020-02-26,31.53,11211
2020-02-27,28.01,11232
2020-02-28,26.97,29987
2020-03-02,29.67,10895
2020-03-03,27.71,13465
2020-03-04,30.67,10548
2020-03-05,27.24,14859
2020-03-06,26.03,15017
2020-03-09,21.41,15265
2020-03-10,24.32,5651
2020-03-11,20.34,10487
2020-03-12,14.62,11138
2020-03-13,16.22,28195
2020-03-16,10.56,22802
2020-03-17,11.53,19947
2020-03-18,9.95,47131
2020-03-19,10.78,37918
2020-03-20,9.81,18659
2020-03-23,9.8,30532
2020-03-24,12.41,22125
2020-03-25,13.22,27832
2020-03-26,14.83,87276
2020-03-27,13.37,29929
2020-03-30,14.08,21747
2020-03-31,13.17,17721
2020-04-01,11.48,51323
2020-04-02,11.51,11059
2020-04-03,10.96,4991
2020-04-06,13.79,36226
2020-04-07,14.4,61234
2020-04-08,15.7,41995
2020-04-09,16.48,84792
2020-04-13,16.41,50605
2020-04-14,18.48,91439
2020-04-15,17.23,41959
2020-04-16,17.88,28619
2020-04-17,19.33,47189
2020-04-20,18.48,51344
2020-04-21,17.02,40678
2020-04-22,17.94,46452
2020-04-23,18.06,27698
2020-04-24,18.93,29691
2020-04-27,20.04,56272
2020-04-28,20.11,38189
2020-04-29,21.56,65206
2020-04-30,21.2,25120
2020-05-01,18.7,83068
2020-05-04,18.95,41783
2020-05-05,19.19,30081
2020-05-06,19.26,35061
2020-05-07,20.17,33410
2020-05-08,21.33,11567
2020-05-11,21.28,14388
2020-05-12,19.79,22417
2020-05-13,18.84,42589
2020-05-14,19.61,23230
2020-05-15,20.28,39523
2020-05-18,22.63,42802
