date,close,volume
2019-05-29,20.07,0
2019-05-30,20.23,0
2019-05-31,20.49,1319332
2019-06-03,20.61,951659
2019-06-04,20.4,14712
2019-06-05,20.3,10158
2019-06-06,20.34,9397
2019-06-07,20.52,24792
2019-06-10,20.33,7677
2019-06-11,20.35,4815
2019-06-12,20.36,9412
2019-06-13,20.43,8895
2019-06-14,20.45,16502
2019-06-17,20.5,14128
2019-06-18,20.59,5457
2019-06-19,20.66,36733
2019-06-20,20.78,11013
2019-06-21,20.74,43497
2019-06-24,20.73,17270
2019-06-25,20.64,18156
2019-06-26,20.64,4591
2019-06-27,20.69,8360
2019-06-28,20.69,13933
2019-07-01,20.7,23103
2019-07-02,20.74,27254
2019-07-03,20.81,14480
2019-07-05,20.73,6524
2019-07-08,20.67,7576
2019-07-09,20.62,19953
2019-07-10,20.7,12630
2019-07-11,20.65,12596
2019-07-12,20.67,15457
2019-07-15,20.7,14868
2019-07-16,20.67,76111
2019-07-17,20.65,61735
2019-07-18,20.67,14804
2019-07-19,20.61,5507
2019-07-22,20.68,8340
2019-07-23,20.7,492920
2019-07-24,20.7,210539
2019-07-25,20.68,9620
2019-07-26,20.74,3166
2019-07-29,20.74,15634
2019-07-30,20.72,6703
2019-07-31,20.69,10959
2019-08-01,20.68,4191
2019-08-02,20.66,16791
2019-08-05,20.46,12312
2019-08-06,20.58,13306
2019-08-07,20.57,3623
2019-08-08,20.61,4253
2019-08-09,20.61,1871
2019-08-12,20.54,12408
2019-08-13,20.64,19390
2019-08-14,21.05,14357
2019-08-15,21.3,12499
2019-08-16,21.13,151558
2019-08-19,20.83,7308
2019-08-20,21.05,7765
2019-08-21,20.93,308905
2019-08-22,20.77,9478
2019-08-23,21.13,5472
2019-08-26,21.03,3359
2019-08-27,21.12,46333
2019-08-28,21.18,5770
2019-08-29,21.2,10257
2019-08-30,21.17,5354
2019-09-03,21.11,12009
2019-09-04,21.14,7763
2019-09-05,21.25,11959
2019-09-06,21.3,10341
2019-09-09,21.29,6723
2019-09-10,21.28,7463
2019-09-11,21.29,9028
2019-09-12,21.31,2610
2019-09-13,21.27,5733
2019-09-16,21.34,6519
2019-09-17,21.05,4881
2019-09-18,21.04,5845
2019-09-19,20.99,13168
2019-09-20,21.08,13879
2019-09-23,21.01,4935
2019-09-24,21.02,4419
2019-09-25,20.97,6842
2019-09-26,20.98,4261
2019-09-27,20.96,3605
2019-09-30,20.97,9700
2019-10-01,20.94,7942
2019-10-02,20.79,6817
2019-10-03,20.8,2859
2019-10-04,20.84,21164
2019-10-07,20.85,12532
2019-10-08,20.78,13052
2019-10-09,20.86,15931
2019-10-10,20.86,10031
2019-10-11,21.0,202248
2019-10-14,20.99,32178
2019-10-15,21.02,8375
2019-10-16,21.02,9175
2019-10-17,21.04,9632
2019-10-18,21.04,15334
2019-10-21,21.07,6768
2019-10-22,21.05,9490
2019-10-23,21.07,11529
2019-10-24,21.07,4927
2019-10-25,21.1,18652
2019-10-28,21.1,4329
2019-10-29,21.1,10142
2019-10-30,21.06,2790
2019-10-31,20.98,13243
2019-11-01,21.05,133030
2019-11-04,21.11,12451
2019-11-05,21.06,18663
2019-11-06,21.04,11374
2019-11-07,21.02,6758
2019-11-08,21.03,33513
2019-11-11,21.02,6162
2019-11-12,21.01,1879
2019-11-13,21.02,14041
2019-11-14,21.01,16689
2019-11-15,21.01,12611
2019-11-18,20.97,3968
2019-11-19,20.98,16413
2019-11-20,21.01,6970
2019-11-21,20.98,6958
2019-11-22,20.98,15338
2019-11-25,20.99,11032
2019-11-26,21.08,11077
2019-11-27,21.09,23319
2019-11-29,21.0,5540
2019-12-02,20.79,4121
2019-12-03,20.76,42548
2019-12-04,20.84,6310
2019-12-05,20.84,9257
2019-12-06,20.86,6388
2019-12-09,20.88,3391
2019-12-10,20.93,8036
2019-12-11,20.95,3030
2019-12-12,21.01,9416
2019-12-13,21.03,4716
2019-12-16,21.09,22720
2019-12-17,21.14,15861
2019-12-18,21.2,9325
2019-12-19,21.13,12282
2019-12-20,21.15,32986
2019-12-23,21.16,10406
2019-12-24,21.17,7904
2019-12-26,21.2,1655
2019-12-27,21.2,24838
2019-12-30,20.41,4179
2019-12-31,20.41,9746
2020-01-02,20.53,18398
2020-01-03,20.47,12624
2020-01-06,20.47,3822
2020-01-07,20.43,41923
2020-01-08,20.45,28809
2020-01-09,20.49,7456
2020-01-10,20.48,4912
2020-01-13,20.49,1784
2020-01-14,20.51,13723
2020-01-15,20.53,2582
2020-01-16,20.52,3711
