date,close,volume
2018-04-25,21.97,135260
2018-04-26,21.19,542624
2018-04-27,21.5,235179
2018-04-30,21.44,258532
2018-05-01,21.65,310397
2018-05-02,21.79,236525
2018-05-03,21.94,342136
2018-05-04,21.95,216004
2018-05-07,22.0,243529
2018-05-08,22.14,260702
2018-05-09,22.16,341385
2018-05-10,22.48,221662
2018-05-11,22.3,148065
2018-05-14,22.58,259352
2018-05-15,22.4,273750
2018-05-16,21.84,388169
2018-05-17,21.82,205103
2018-05-18,21.52,155927
2018-05-21,21.61,168656
2018-05-22,21.58,363771
2018-05-23,21.42,226707
2018-05-24,21.46,202445
2018-05-25,21.31,167022
2018-05-29,21.15,268764
2018-05-30,21.27,319835
2018-05-31,21.14,455704
2018-06-01,21.21,289345
2018-06-04,21.35,366244
2018-06-05,21.29,323069
2018-06-06,21.32,353756
2018-06-07,21.18,342170
2018-06-08,21.21,319172
2018-06-11,21.27,378972
2018-06-12,20.91,502036
2018-06-13,20.74,339686
2018-06-14,20.55,358765
2018-06-15,20.66,439119
2018-06-18,20.95,500126
2018-06-19,20.72,318600
2018-06-20,21.2,341462
2018-06-21,21.33,220706
2018-06-22,21.8,352392
2018-06-25,21.4,202292
2018-06-26,21.44,260046
2018-06-27,21.22,171253
2018-06-28,21.46,179128
2018-06-29,21.68,246567
2018-07-02,21.41,188164
2018-07-03,21.53,158283
2018-07-05,21.85,191505
2018-07-06,22.16,219688
2018-07-09,22.35,213560
2018-07-10,22.14,239440
2018-07-11,21.71,234620
2018-07-12,22.14,187181
2018-07-13,22.0,184280
2018-07-16,21.97,198653
2018-07-17,21.98,187874
2018-07-18,22.0,193893
2018-07-19,21.87,157953
2018-07-20,22.17,153232
2018-07-23,21.99,183760
2018-07-24,22.05,228009
2018-07-25,21.95,229023
2018-07-26,21.64,243701
2018-07-27,21.79,230901
2018-07-30,21.8,236369
2018-07-31,21.85,219445
2018-08-01,21.55,298481
2018-08-02,21.53,243497
2018-08-03,21.47,223165
2018-08-06,21.52,170100
2018-08-07,21.67,179224
2018-08-08,21.72,128780
2018-08-09,21.71,129387
2018-08-10,21.46,239013
2018-08-13,21.26,257917
2018-08-14,21.7,327528
2018-08-15,21.73,197606
2018-08-16,21.91,283382
2018-08-17,22.11,400412
2018-08-20,21.99,282840
2018-08-21,21.68,269400
2018-08-22,21.5,321541
2018-08-23,20.74,854386
