date,close,volume
2018-04-25,59.17,214824
2018-04-26,58.95,123744
2018-04-27,58.54,132215
2018-04-30,57.11,416126
2018-05-01,57.51,339479
2018-05-02,54.4,745695
2018-05-03,54.06,270882
2018-05-04,54.79,287439
2018-05-07,54.65,537107
2018-05-08,55.05,192759
2018-05-09,56.25,241860
2018-05-10,55.84,174122
2018-05-11,55.22,164027
2018-05-14,54.79,166370
2018-05-15,54.79,233969
2018-05-16,55.4,244178
2018-05-17,54.81,179543
2018-05-18,55.01,149190
2018-05-21,56.02,98142
2018-05-22,55.96,143579
2018-05-23,56.82,222476
2018-05-24,56.18,137052
2018-05-25,56.81,259676
2018-05-29,56.84,162900
2018-05-30,57.29,168014
2018-05-31,56.12,272140
2018-06-01,56.17,238984
2018-06-04,57.53,165380
2018-06-05,57.24,156443
2018-06-06,58.44,115172
2018-06-07,58.55,136777
2018-06-08,58.99,133183
2018-06-11,60.4,156738
2018-06-12,59.3,146584
2018-06-13,58.63,386135
2018-06-14,58.32,115899
2018-06-15,58.13,214324
2018-06-18,58.72,121103
2018-06-19,59.48,136446
2018-06-20,59.76,83285
2018-06-21,59.19,103964
2018-06-22,58.66,493945
2018-06-25,57.5,164129
2018-06-26,57.95,150386
2018-06-27,55.41,145897
2018-06-28,55.87,140253
2018-06-29,55.65,153193
2018-07-02,56.12,153646
2018-07-03,56.64,105331
2018-07-05,58.14,180731
2018-07-06,56.76,202834
2018-07-09,57.69,376047
2018-07-10,57.29,105239
2018-07-11,56.84,145323
2018-07-12,57.0,109703
2018-07-13,57.33,86544
2018-07-16,57.37,95529
2018-07-17,57.45,134073
2018-07-18,58.27,88418
2018-07-19,59.35,103337
2018-07-20,59.54,101397
2018-07-23,59.54,97355
2018-07-24,59.53,82931
2018-07-25,58.25,136687
2018-07-26,59.76,182341
2018-07-27,57.6,327014
2018-07-30,58.45,158735
2018-07-31,59.26,309297
2018-08-01,56.18,824229
2018-08-02,55.18,348509
2018-08-03,53.43,348154
2018-08-06,53.22,204732
2018-08-07,53.87,247398
2018-08-08,54.23,203869
2018-08-09,54.51,145541
2018-08-10,55.11,98100
2018-08-13,55.78,205273
2018-08-14,55.36,210074
2018-08-15,53.89,147639
2018-08-16,53.95,278438
2018-08-17,54.63,139874
2018-08-20,54.82,134907
2018-08-21,55.23,142317
2018-08-22,55.52,94718
2018-08-23,55.35,88802
2018-08-24,54.9,94191
2018-08-27,55.21,123796
2018-08-28,55.17,122193
2018-08-29,53.61,323764
2018-08-30,54.13,185178
2018-08-31,54.5,225671
2018-09-04,54.56,182927
2018-09-05,54.58,234183
2018-09-06,53.83,96092
2018-09-07,53.2,119763
2018-09-10,54.35,299419
2018-09-11,54.01,126785
2018-09-12,53.46,207128
2018-09-13,53.55,218597
2018-09-14,53.53,386654
2018-09-17,54.24,236799
2018-09-18,54.59,167691
2018-09-19,54.31,214200
2018-09-20,54.2,168104
2018-09-21,54.13,272852
2018-09-24,53.49,114107
2018-09-25,53.67,162029
2018-09-26,53.5,127521
2018-09-27,53.13,92006
2018-09-28,52.88,189130
2018-10-01,52.56,257455
2018-10-02,52.32,140775
2018-10-03,52.17,106014
2018-10-04,51.53,165306
2018-10-05,50.73,245599
2018-10-08,50.66,125736
2018-10-09,49.52,282873
2018-10-10,48.95,237490
2018-10-11,47.81,199039
2018-10-12,47.78,233682
2018-10-15,47.68,94029
2018-10-16,48.8,138886
2018-10-17,49.72,95595
2018-10-18,48.37,88490
2018-10-19,47.68,84097
2018-10-22,48.43,106510
2018-10-23,48.4,127471
2018-10-24,46.47,89856
2018-10-25,47.37,117562
2018-10-26,47.65,135630
2018-10-29,47.73,277834
2018-10-30,48.96,207302
2018-10-31,41.96,406115
2018-11-01,45.8,447866
2018-11-02,45.62,331046
2018-11-05,45.19,247275
2018-11-06,47.62,203926
2018-11-07,48.56,204123
2018-11-08,48.88,146350
