date,close,volume
2018-11-15,10.25,671363
2018-11-16,10.0,144581
2018-11-19,10.15,37386
2018-11-20,10.02,17160
2018-11-21,10.03,8548
2018-11-23,10.0,20422
2018-11-26,9.98,52301
2018-11-27,10.0,32210
2018-11-28,10.0,26432
2018-11-29,10.0,6440
2018-11-30,10.0,8847
2018-12-03,10.21,44324
2018-12-04,10.12,1200
2018-12-06,10.02,41681
2018-12-07,10.01,13823
2018-12-10,10.01,7060
2018-12-11,10.0,5810
2018-12-12,10.07,5903
2018-12-13,10.0,7630
2018-12-14,10.05,31701
2018-12-17,9.9,1863
2018-12-18,9.91,1614
2018-12-19,9.92,7831
2018-12-20,9.9,1352
2018-12-21,9.9,1514
2018-12-24,9.82,638
2018-12-26,9.82,1643
2018-12-27,9.34,7888
2018-12-28,9.34,2170
2018-12-31,9.26,1921
2019-01-02,9.21,2138
2019-01-03,9.32,1782
2019-01-04,9.77,4556
2019-01-07,9.53,618
2019-01-08,9.53,100
2019-01-09,9.6,1649
2019-01-10,9.45,7318
2019-01-11,9.45,427
2019-01-14,9.61,937
2019-01-15,9.45,1234
2019-01-16,9.45,1
2019-01-17,10.0,6262
2019-01-18,9.87,2885
2019-01-22,9.75,2904
2019-01-23,9.5,2015
2019-01-24,9.5,0
2019-01-25,9.98,6312
2019-01-28,9.75,1552
2019-01-29,9.75,797
2019-01-30,9.86,600
2019-01-31,9.75,400
2019-02-01,9.79,400
2019-02-04,9.55,250
2019-02-05,9.69,423
2019-02-06,9.93,3587
2019-02-07,9.92,3044
2019-02-08,9.82,372
2019-02-11,9.82,1
2019-02-12,10.1,6025
2019-02-13,10.44,7908
2019-02-14,10.51,1884
2019-02-15,13.2,33138
2019-02-19,13.0,28589
2019-02-20,12.85,7327
2019-02-21,12.6,2309
2019-02-22,12.22,18026
2019-02-25,12.28,10180
2019-02-26,11.98,4014
2019-02-27,11.97,6199
2019-02-28,11.6,3340
2019-03-01,11.9,2457
2019-03-04,11.97,1568
2019-03-05,11.95,2329
2019-03-06,12.0,7320
2019-03-07,12.0,5382
2019-03-08,11.85,778
2019-03-11,12.08,2845
2019-03-12,11.9,2725
2019-03-13,11.84,3450
2019-03-14,11.84,1489
2019-03-15,11.8,976
2019-03-18,11.81,884
2019-03-19,11.77,2666
2019-03-20,11.77,29
2019-03-21,11.51,1425
2019-03-22,11.6,607
2019-03-25,11.57,832
2019-03-26,11.51,1757
2019-03-27,11.7,8467
2019-03-28,11.36,3654
2019-03-29,11.56,4226
2019-04-01,11.42,2415
2019-04-02,11.23,2983
2019-04-03,10.7,4737
2019-04-04,10.1,10041
2019-04-05,10.0,9444
2019-04-08,10.1,9245
2019-04-09,10.3,13191
2019-04-10,10.1,7737
2019-04-11,10.0,10728
2019-04-12,10.0,8465
2019-04-15,9.92,2479
2019-04-16,9.9,4152
2019-04-17,9.9,1035
2019-04-18,10.14,4591
2019-04-22,10.03,1028
2019-04-23,10.08,1514
2019-04-24,10.0,772
2019-04-25,10.0,1610
2019-04-26,10.02,1363
2019-04-29,9.9,2446
2019-04-30,10.0,3005
2019-05-01,10.1,249
2019-05-02,10.05,323
2019-05-03,10.0,5257
2019-05-06,9.9,1928
2019-05-07,9.9,969
2019-05-08,9.85,128
2019-05-09,9.81,514
2019-05-10,9.93,166
2019-05-13,9.77,742
2019-05-14,9.85,213
2019-05-15,9.76,1407
2019-05-16,9.96,2540
2019-05-17,9.82,1436
2019-05-20,9.38,6873
2019-05-21,9.5,753
2019-05-22,9.36,363
2019-05-23,9.45,756
2019-05-24,9.5,514
2019-05-28,9.32,1004
2019-05-29,9.3,478
2019-05-30,9.12,101
2019-05-31,9.55,5064
2019-06-03,9.62,1202
2019-06-04,9.75,1830
2019-06-05,9.57,105
2019-06-06,9.6,1499
2019-06-07,9.38,840
2019-06-10,9.55,1572
2019-06-11,9.55,402
2019-06-12,9.32,368
2019-06-13,9.33,600
2019-06-14,9.3,105
2019-06-17,9.29,3068
2019-06-18,9.29,755
2019-06-19,9.53,733
