date,close,volume
2018-04-25,34.19,251556
2018-04-26,34.05,314583
2018-04-27,34.11,147777
2018-04-30,33.89,312847
2018-05-01,33.71,396967
2018-05-02,34.45,252792
2018-05-03,34.37,215022
2018-05-04,34.35,104506
2018-05-07,34.77,378806
2018-05-08,35.08,323400
2018-05-09,35.38,191785
2018-05-10,35.29,173140
2018-05-11,35.45,347512
2018-05-14,36.13,675444
2018-05-15,35.52,464565
2018-05-16,35.42,622511
2018-05-17,35.4,722376
2018-05-18,35.21,380398
2018-05-21,35.7,558195
2018-05-22,35.51,1071322
2018-05-23,35.8,405062
2018-05-24,35.47,208171
2018-05-25,35.52,477120
2018-05-29,35.51,348569
2018-05-30,36.49,269446
2018-05-31,36.7,191432
2018-06-01,38.02,319041
2018-06-04,38.12,353920
2018-06-05,37.39,126682
2018-06-06,36.87,222204
2018-06-07,37.27,106314
2018-06-08,37.02,481051
2018-06-11,37.7,220157
2018-06-12,37.53,103662
2018-06-13,36.6,259300
2018-06-14,36.54,182403
2018-06-15,35.51,326937
2018-06-18,35.58,300665
2018-06-19,35.64,101814
2018-06-20,35.98,110255
2018-06-21,35.57,154688
2018-06-22,35.87,261424
2018-06-25,35.24,104721
2018-06-26,35.51,215356
2018-06-27,34.75,137504
2018-06-28,35.23,157590
2018-06-29,35.75,230950
2018-07-02,35.45,221329
2018-07-03,36.17,73111
2018-07-05,35.95,170302
2018-07-06,36.02,70887
2018-07-09,35.85,85046
2018-07-10,35.51,150913
2018-07-11,35.22,155683
2018-07-12,35.78,80485
2018-07-13,35.98,132587
2018-07-16,36.12,66811
2018-07-17,36.02,193468
2018-07-18,36.26,212166
2018-07-19,36.74,98899
2018-07-20,36.04,145844
2018-07-23,36.51,199464
2018-07-24,36.13,165065
2018-07-25,36.42,230720
2018-07-26,36.26,152734
2018-07-27,35.8,145364
2018-07-30,37.57,310959
2018-07-31,36.77,118686
2018-08-01,36.11,205555
2018-08-02,36.38,472671
2018-08-03,36.47,121405
2018-08-06,36.75,46609
2018-08-07,36.45,134136
2018-08-08,36.46,170993
2018-08-09,36.84,108639
2018-08-10,36.26,214090
2018-08-13,35.78,78770
2018-08-14,35.93,92531
2018-08-15,35.7,66238
2018-08-16,35.79,78321
2018-08-17,35.97,58608
2018-08-20,36.09,228834
2018-08-21,35.54,297728
2018-08-22,35.82,215906
2018-08-23,35.6,154872
2018-08-24,35.71,172967
2018-08-27,35.34,96285
2018-08-28,35.01,233138
2018-08-29,34.6,462028
2018-08-30,33.9,203261
2018-08-31,33.86,180253
2018-09-04,34.18,146979
2018-09-05,34.24,116981
2018-09-06,34.52,229513
2018-09-07,34.79,96582
2018-09-10,34.98,85250
2018-09-11,35.56,112528
2018-09-12,35.48,123268
2018-09-13,34.57,53083
2018-09-14,33.52,191707
2018-09-17,33.32,128338
2018-09-18,33.63,150670
2018-09-19,32.25,172578
2018-09-20,32.82,158093
2018-09-21,32.22,350143
2018-09-24,30.96,332083
2018-09-25,30.2,158951
2018-09-26,30.01,118416
2018-09-27,29.92,170763
2018-09-28,29.94,251334
2018-10-01,31.38,228922
2018-10-02,31.04,191434
2018-10-03,31.97,326527
2018-10-04,32.36,187273
2018-10-05,32.46,187208
2018-10-08,32.59,104462
2018-10-09,33.21,460015
2018-10-10,33.04,341916
2018-10-11,32.59,236486
2018-10-12,32.61,305486
2018-10-15,32.5,287868
2018-10-16,32.5,390773
2018-10-17,32.11,268265
2018-10-18,31.71,301979
2018-10-19,31.7,214592
2018-10-22,31.35,189200
2018-10-23,31.07,204366
2018-10-24,30.44,352443
2018-10-25,30.3,113659
2018-10-26,29.84,117227
2018-10-29,29.26,259539
2018-10-30,28.89,106955
2018-10-31,28.76,226529
2018-11-01,28.82,349637
2018-11-02,29.28,137105
2018-11-05,29.24,192791
2018-11-06,29.56,309041
2018-11-07,33.0,381202
2018-11-08,30.97,657900
2018-11-09,30.3,679940
2018-11-12,29.5,405895
2018-11-13,29.08,284557
2018-11-14,28.68,128255
2018-11-15,28.72,341410
2018-11-16,28.82,216251
2018-11-19,29.28,135631
2018-11-20,28.14,415206
2018-11-21,28.76,471201
2018-11-23,28.29,29470
2018-11-26,28.39,177196
2018-11-27,28.26,193630
2018-11-28,28.59,1927911
2018-11-29,29.02,396425
2018-11-30,28.98,377924
2018-12-03,30.67,401133
2018-12-04,30.04,538986
2018-12-06,29.7,339282
2018-12-07,29.85,552860
2018-12-10,29.53,269095
2018-12-11,29.38,293446
2018-12-12,29.58,735287
2018-12-13,30.18,458837
2018-12-14,30.14,896437
2018-12-17,29.82,872985
2018-12-18,29.07,434729
2018-12-19,29.68,455109
2018-12-20,28.69,592425
2018-12-21,27.86,3147337
2018-12-24,27.2,942311
2018-12-26,28.92,1332875
2018-12-27,27.75,1809556
2018-12-28,27.66,1840969
2018-12-31,27.73,469933
2019-01-02,28.26,326965
2019-01-03,28.45,377102
2019-01-04,29.54,548030
2019-01-07,30.45,910813
2019-01-08,31.35,431250
2019-01-09,31.9,402430
2019-01-10,31.25,313610
2019-01-11,30.64,405862
2019-01-14,29.8,1366947
2019-01-15,30.63,556538
2019-01-16,30.86,234239
2019-01-17,30.72,467881
2019-01-18,31.3,355305
2019-01-22,30.46,296501
2019-01-23,30.64,245961
2019-01-24,30.9,228405
2019-01-25,31.39,278760
2019-01-28,31.09,300115
2019-01-29,31.87,370714
2019-01-30,32.96,243462
2019-01-31,31.57,286600
2019-02-01,32.24,363352
2019-02-04,32.95,574431
2019-02-05,32.7,300139
2019-02-06,31.71,322695
2019-02-07,30.78,376249
2019-02-08,30.37,324200
2019-02-11,30.28,261991
2019-02-12,30.42,250033
2019-02-13,31.25,297429
2019-02-14,32.21,362275
2019-02-15,32.42,287862
2019-02-19,33.64,389854
2019-02-20,33.38,543029
2019-02-21,33.0,332030
2019-02-22,32.97,259536
2019-02-25,33.08,267670
2019-02-26,32.84,506811
2019-02-27,32.72,2174951
2019-02-28,33.46,6383823
2019-03-01,33.14,3636569
2019-03-04,33.09,752945
2019-03-05,32.74,608891
2019-03-06,32.43,530767
2019-03-07,32.9,1727254
2019-03-08,32.46,1213654
2019-03-11,32.38,2791113
2019-03-12,32.2,837858
2019-03-13,32.22,453627
2019-03-14,32.13,1058770
2019-03-15,31.73,3387700
2019-03-18,32.34,2463246
2019-03-19,32.39,1178707
2019-03-20,32.61,2017718
2019-03-21,32.86,1749630
2019-03-22,32.48,534307
2019-03-25,32.02,480008
2019-03-26,32.22,420642
2019-03-27,31.36,1167208
2019-03-28,31.24,808536
2019-03-29,31.36,994722
2019-04-01,31.77,750866
2019-04-02,32.09,651069
2019-04-03,31.96,787489
2019-04-04,31.73,1031829
2019-04-05,32.39,977129
2019-04-08,32.56,1103278
2019-04-09,32.2,880097
2019-04-10,31.85,1104434
2019-04-11,32.22,678782
2019-04-12,34.93,3139948
2019-04-15,34.81,1175452
2019-04-16,34.16,1170544
2019-04-17,33.75,912358
2019-04-18,33.38,847570
2019-04-22,34.07,529746
2019-04-23,33.57,600893
2019-04-24,33.05,1168047
2019-04-25,32.99,512757
2019-04-26,33.39,447832
2019-04-29,33.3,520306
2019-04-30,31.58,1300515
2019-05-01,31.29,826128
2019-05-02,30.66,680970
2019-05-03,30.4,508597
2019-05-06,29.14,960779
2019-05-07,29.46,825157
2019-05-08,29.75,1465069
2019-05-09,28.74,1260104
2019-05-10,29.81,827996
2019-05-13,30.14,972866
2019-05-14,30.11,625505
2019-05-15,30.42,1171988
2019-05-16,30.72,1854502
2019-05-17,30.57,938187
2019-05-20,30.71,539215
2019-05-21,30.91,1258601
2019-05-22,30.77,633382
2019-05-23,29.94,1009767
2019-05-24,30.15,539430
2019-05-28,30.17,1301771
2019-05-29,29.95,1555027
2019-05-30,29.5,975207
2019-05-31,29.19,1088601
2019-06-03,29.45,555169
2019-06-04,29.65,981376
2019-06-05,28.26,723212
2019-06-06,28.78,981903
2019-06-07,28.85,650371
2019-06-10,29.24,649001
2019-06-11,29.53,856331
2019-06-12,29.36,664901
2019-06-13,29.49,616433
2019-06-14,29.31,488818
2019-06-17,29.05,491432
2019-06-18,29.14,802725
2019-06-19,28.84,1478068
2019-06-20,28.97,876036
2019-06-21,28.75,2039739
2019-06-24,29.37,949625
2019-06-25,29.95,2141571
2019-06-26,30.42,959770
2019-06-27,30.54,669933
2019-06-28,30.77,833863
2019-07-01,30.41,465437
2019-07-02,30.65,472317
2019-07-03,31.43,208263
2019-07-05,31.95,272800
2019-07-08,31.44,782151
2019-07-09,30.95,747974
2019-07-10,31.43,326683
2019-07-11,31.48,297885
2019-07-12,31.73,216685
2019-07-15,31.49,156821
2019-07-16,31.58,515612
2019-07-17,30.7,445787
2019-07-18,30.48,433104
2019-07-19,30.35,406051
2019-07-22,31.15,496565
2019-07-23,31.08,255214
2019-07-24,30.41,374630
2019-07-25,30.6,738288
2019-07-26,30.35,606371
2019-07-29,30.66,3307459
2019-07-30,30.5,820503
2019-07-31,27.0,5149747
2019-08-01,26.5,2672056
2019-08-02,25.95,1693004
2019-08-05,25.15,1216773
2019-08-06,25.0,1675937
2019-08-07,24.09,2060607
2019-08-08,24.02,1427024
2019-08-09,24.34,1159897
2019-08-12,24.45,572010
2019-08-13,24.11,1579931
2019-08-14,23.13,1856328
2019-08-15,22.82,2443631
2019-08-16,23.02,1406455
2019-08-19,23.11,1071243
2019-08-20,22.87,1075952
2019-08-21,23.2,1469194
2019-08-22,22.83,1462444
2019-08-23,22.25,738921
2019-08-26,22.3,761357
2019-08-27,22.12,825919
2019-08-28,22.8,1075591
2019-08-29,23.77,1463286
2019-08-30,23.04,1007780
2019-09-03,22.69,824817
2019-09-04,23.59,1438082
2019-09-05,24.36,1284589
2019-09-06,24.04,753666
2019-09-09,24.52,856084
2019-09-10,24.76,879620
2019-09-11,24.83,859098
2019-09-12,24.62,938559
2019-09-13,25.62,2107433
2019-09-16,26.42,2906597
2019-09-17,26.54,2152305
2019-09-18,26.83,2559390
2019-09-19,27.05,3971141
2019-09-20,26.4,8695435
2019-09-23,25.97,3821316
2019-09-24,25.54,1453615
2019-09-25,25.08,1416947
2019-09-26,24.85,1028482
2019-09-27,24.49,1078570
2019-09-30,24.89,2065700
2019-10-01,24.71,731789
2019-10-02,24.66,1139471
2019-10-03,25.02,436641
2019-10-04,25.11,1054739
2019-10-07,23.68,1725386
2019-10-08,24.2,1824577
2019-10-09,23.37,2117179
2019-10-10,23.6,2205371
2019-10-11,23.61,1607649
2019-10-14,23.35,958137
2019-10-15,23.76,698839
2019-10-16,23.6,837412
2019-10-17,22.97,1445449
2019-10-18,22.79,1444802
2019-10-21,22.81,1139875
2019-10-22,22.76,1362751
2019-10-23,22.82,967288
2019-10-24,22.74,757377
2019-10-25,22.81,614538
2019-10-28,22.44,700686
2019-10-29,22.23,984828
2019-10-30,22.27,1112357
2019-10-31,21.26,1398628
2019-11-01,21.7,943549
2019-11-04,22.36,1750247
2019-11-05,20.85,2422126
2019-11-06,20.29,1613193
2019-11-07,19.8,1677952
2019-11-08,20.03,2155317
2019-11-11,19.32,1375746
2019-11-12,19.35,1397292
2019-11-13,19.25,964781
2019-11-14,19.36,1364946
2019-11-15,19.29,1677111
2019-11-18,18.47,1777865
2019-11-19,17.84,1734761
2019-11-20,18.07,1248780
2019-11-21,18.3,1805133
2019-11-22,18.07,1552362
2019-11-25,18.36,1079102
2019-11-26,18.03,842821
2019-11-27,17.97,3763369
2019-11-29,17.73,531178
2019-12-02,17.73,1323021
2019-12-03,17.58,994258
2019-12-04,18.0,2745366
2019-12-05,17.63,2491185
2019-12-06,17.75,1049980
2019-12-09,18.57,1483156
2019-12-10,19.5,2605586
2019-12-11,19.65,1771533
2019-12-12,19.4,1425806
2019-12-13,18.95,1074221
2019-12-16,19.34,1387038
2019-12-17,20.08,1957307
2019-12-18,20.22,1895360
2019-12-19,19.96,1565181
2019-12-20,19.75,4718706
2019-12-23,20.69,1774037
2019-12-24,20.55,696152
2019-12-26,20.44,868077
2019-12-27,20.3,1099755
2019-12-30,19.6,1052427
2019-12-31,19.69,1333445
2020-01-02,20.32,1345499
2020-01-03,20.82,1706314
2020-01-06,21.56,2711281
2020-01-07,21.7,2154185
2020-01-08,21.44,3857149
2020-01-09,21.18,1836091
2020-01-10,21.03,2056379
2020-01-13,21.19,1839650
2020-01-14,21.56,1052876
2020-01-15,21.52,1260649
2020-01-16,21.15,1025201
2020-01-17,20.62,1540962
2020-01-21,19.89,1601690
2020-01-22,19.45,1573541
2020-01-23,19.15,1262489
2020-01-24,18.7,1486641
2020-01-27,18.27,1256497
2020-01-28,18.18,1812389
2020-01-29,17.93,1786133
2020-01-30,16.96,2736257
2020-01-31,16.56,1945500
2020-02-03,16.33,1803663
2020-02-04,16.65,2658584
2020-02-05,16.78,1922267
2020-02-06,16.49,1505684
2020-02-07,16.02,925334
2020-02-10,15.49,1041099
2020-02-11,15.8,1968012
2020-02-12,16.27,1336457
2020-02-13,15.87,1138376
2020-02-14,16.03,1648402
2020-02-18,16.01,1722563
2020-02-19,15.72,1370777
2020-02-20,15.84,1575730
2020-02-21,15.46,1917012
2020-02-24,14.67,3233481
2020-02-25,13.53,3512935
2020-02-26,13.41,3342089
2020-02-27,12.61,2607279
2020-02-28,13.06,4563730
2020-03-02,13.71,2704287
2020-03-03,13.28,2897249
2020-03-04,13.2,2237283
2020-03-05,12.55,1581658
2020-03-06,11.06,3865312
2020-03-09,5.0,8009713
2020-03-10,6.94,11322768
2020-03-11,6.7,5275850
2020-03-12,5.05,4225732
2020-03-13,5.8,8645069
2020-03-16,5.08,6376104
2020-03-17,4.66,4873426
2020-03-18,3.58,9698674
2020-03-19,4.39,5395065
2020-03-20,5.28,12506039
2020-03-23,4.08,7516286
2020-03-24,4.16,4248413
2020-03-25,4.08,5867854
2020-03-26,3.8,5905126
2020-03-27,3.32,5287955
2020-03-30,3.11,5906997
2020-03-31,3.24,10320855
2020-04-01,3.11,7013904
2020-04-02,3.07,7822713
2020-04-03,3.2,8421372
2020-04-06,3.9,8478013
2020-04-07,4.62,8273882
2020-04-08,5.01,4190095
2020-04-09,5.62,7799802
2020-04-13,5.91,5317930
2020-04-14,5.72,4957493
2020-04-15,5.17,4407706
2020-04-16,5.0,2121197
2020-04-17,5.74,4607471
2020-04-20,5.6,5904681
2020-04-21,6.0,7823043
2020-04-22,6.22,6614942
2020-04-23,7.0,4601129
2020-04-24,7.3,5553355
2020-04-27,7.37,5220531
2020-04-28,7.63,3608737
2020-04-29,8.69,4218202
2020-04-30,8.68,4000148
2020-05-01,8.03,4284464
2020-05-04,7.77,4008506
2020-05-05,7.88,3132770
2020-05-06,7.34,4678870
2020-05-07,6.87,3643084
2020-05-08,7.16,3158270
2020-05-11,6.8,1815104
2020-05-12,6.9,2646975
2020-05-13,6.84,3495452
2020-05-14,7.03,2842517
2020-05-15,7.32,4859443
2020-05-18,8.22,3964817
2020-05-19,8.42,3146799
2020-05-20,8.75,3039145
2020-05-21,8.85,2380433
2020-05-22,8.98,1741711
2020-05-26,9.45,2168191
2020-05-27,9.44,3172141
2020-05-28,9.35,2554907
2020-05-29,9.34,4373208
2020-06-01,8.83,3070049
2020-06-02,9.11,1971749
2020-06-03,9.4,2008623
2020-06-04,9.7,2964753
2020-06-05,11.2,4689665
2020-06-08,12.51,6640920
2020-06-09,12.25,5212572
2020-06-10,12.09,3976907
2020-06-11,10.75,4438978
2020-06-12,10.76,3449723
2020-06-15,11.33,4461164
2020-06-16,11.48,6732282
2020-06-17,11.43,2642357
2020-06-18,11.94,3143306
2020-06-19,11.94,4138749
2020-06-22,12.25,2012446
2020-06-23,11.94,1877980
2020-06-24,10.78,2179289
2020-06-25,10.93,1786025
2020-06-26,10.07,2975001
2020-06-29,10.04,3094160
2020-06-30,10.04,1971467
2020-07-01,9.92,1964259
2020-07-02,9.75,1508916
2020-07-06,9.68,1305702
2020-07-07,9.54,1093287
2020-07-08,9.46,1570602
2020-07-09,8.8,1087420
2020-07-10,9.12,1235276
2020-07-13,9.04,1875549
2020-07-14,9.14,1243497
2020-07-15,9.62,1585614
2020-07-16,9.25,684548
2020-07-17,9.55,1952071
2020-07-20,9.72,812430
2020-07-21,10.5,1019701
2020-07-22,10.39,1030870
2020-07-23,10.03,920858
2020-07-24,9.72,1034194
2020-07-27,9.62,884163
2020-07-28,9.48,1101610
2020-07-29,9.86,1547990
2020-07-30,9.26,878589
2020-07-31,9.0,1111292
2020-08-03,8.72,1552553
2020-08-04,8.91,995252
2020-08-05,9.2,1393074
2020-08-06,9.74,1908881
2020-08-07,9.89,1636230
2020-08-10,10.36,1688547
2020-08-11,10.1,2568322
2020-08-12,10.26,1379488
2020-08-13,9.88,1303118
2020-08-14,9.57,1343956
