date,close,volume
2018-04-25,27.85,260791
2018-04-26,28.4,171622
2018-04-27,28.96,299028
2018-04-30,28.71,166196
2018-05-01,28.64,181520
2018-05-02,28.64,95023
2018-05-03,28.42,130220
2018-05-04,29.11,93261
2018-05-07,29.23,303596
2018-05-08,29.33,182806
2018-05-09,29.8,163904
2018-05-10,31.1,687412
2018-05-11,31.99,245979
2018-05-14,32.99,358882
2018-05-15,34.31,524269
2018-05-16,34.46,819562
2018-05-17,35.28,548828
2018-05-18,35.89,680532
2018-05-21,35.96,470718
2018-05-22,36.17,339078
2018-05-23,35.24,481135
2018-05-24,34.83,170420
2018-05-25,33.53,230949
2018-05-29,32.89,284180
2018-05-30,33.25,292873
2018-05-31,33.72,465358
2018-06-01,31.91,374157
2018-06-04,30.65,546597
2018-06-05,30.43,709931
2018-06-06,32.48,472847
2018-06-07,33.27,175930
2018-06-08,33.0,192629
2018-06-11,32.52,256415
2018-06-12,32.66,212542
2018-06-13,32.41,257175
2018-06-14,32.08,226326
2018-06-15,31.45,885489
2018-06-18,31.62,252885
2018-06-19,30.98,162556
2018-06-20,31.56,141731
2018-06-21,32.35,537298
2018-06-22,34.01,1473748
2018-06-25,32.85,598129
2018-06-26,34.03,310663
2018-06-27,34.3,252897
2018-06-28,33.97,250471
2018-06-29,33.79,359360
2018-07-02,33.14,322545
2018-07-03,33.48,154129
2018-07-05,33.59,248968
2018-07-06,34.08,383709
2018-07-09,35.6,1074012
2018-07-10,33.69,2028052
2018-07-11,33.65,994284
2018-07-12,33.57,5774626
2018-07-13,33.67,1056810
2018-07-16,33.27,2482422
2018-07-17,33.79,1156116
2018-07-18,34.03,789779
2018-07-19,34.77,747966
2018-07-20,34.83,515348
2018-07-23,34.37,851989
2018-07-24,33.59,1195509
2018-07-25,32.25,990982
2018-07-26,32.74,599316
2018-07-27,32.07,328193
2018-07-30,32.15,688147
2018-07-31,32.72,1248013
2018-08-01,33.0,784633
2018-08-02,34.31,928601
2018-08-03,33.48,1313870
2018-08-06,34.64,708776
2018-08-07,34.08,505756
2018-08-08,34.56,290721
2018-08-09,34.16,336579
2018-08-10,34.2,330727
2018-08-13,33.77,607181
2018-08-14,33.81,306531
2018-08-15,31.73,545135
2018-08-16,32.4,457872
2018-08-17,32.81,345088
2018-08-20,33.01,385419
2018-08-21,33.07,359235
2018-08-22,33.45,349901
2018-08-23,33.39,313385
2018-08-24,33.47,387300
2018-08-27,33.75,377728
2018-08-28,33.69,379870
2018-08-29,34.14,371162
2018-08-30,34.93,475276
2018-08-31,34.18,381084
2018-09-04,35.5,694638
2018-09-05,34.17,524156
2018-09-06,33.31,846999
2018-09-07,33.78,327212
2018-09-10,35.1,497370
2018-09-11,35.39,265651
2018-09-12,34.71,437039
2018-09-13,34.7,232348
2018-09-14,35.55,227107
2018-09-17,34.68,536058
2018-09-18,35.92,410392
2018-09-19,37.07,729763
2018-09-20,36.28,466479
2018-09-21,36.7,794123
2018-09-24,37.3,590678
2018-09-25,36.58,596075
2018-09-26,36.47,634466
2018-09-27,37.19,483866
2018-09-28,38.28,789461
2018-10-01,38.5,600027
2018-10-02,38.18,405625
2018-10-03,38.77,530813
2018-10-04,39.76,508895
2018-10-05,40.15,373567
2018-10-08,40.45,270364
2018-10-09,40.5,536935
2018-10-10,38.75,898841
2018-10-11,37.15,446811
2018-10-12,37.17,319649
2018-10-15,37.48,330097
2018-10-16,38.91,485885
2018-10-17,38.06,357923
2018-10-18,36.73,352638
2018-10-19,36.75,358241
2018-10-22,36.35,279367
2018-10-23,34.48,466114
2018-10-24,32.91,670401
2018-10-25,33.0,637423
2018-10-26,33.6,607271
2018-10-29,32.44,433913
2018-10-30,33.5,319098
2018-10-31,33.46,785864
2018-11-01,35.07,1461419
2018-11-02,36.35,573119
2018-11-05,37.02,295460
2018-11-06,37.31,396360
2018-11-07,37.91,376848
2018-11-08,36.94,258004
2018-11-09,36.16,333456
2018-11-12,34.92,188306
2018-11-13,33.08,476232
2018-11-14,32.42,681341
2018-11-15,32.33,973045
2018-11-16,31.31,685307
2018-11-19,31.3,1489735
2018-11-20,29.3,1422470
2018-11-21,29.76,481782
2018-11-23,28.64,268656
2018-11-26,28.87,752704
2018-11-27,28.99,406348
2018-11-28,28.98,342664
2018-11-29,29.01,345363
2018-11-30,28.88,405388
2018-12-03,31.17,424954
2018-12-04,30.11,700238
2018-12-06,29.84,521602
2018-12-07,29.37,628024
2018-12-10,28.18,329548
2018-12-11,28.42,316416
2018-12-12,29.03,315768
2018-12-13,28.6,153813
2018-12-14,27.79,521597
2018-12-17,28.0,425941
2018-12-18,27.54,495948
2018-12-19,26.76,280169
2018-12-20,26.29,436880
2018-12-21,25.93,560775
2018-12-24,25.23,173545
2018-12-26,26.93,357023
2018-12-27,27.1,331769
2018-12-28,27.27,285630
2018-12-31,27.41,295497
2019-01-02,28.53,334707
2019-01-03,28.38,300884
2019-01-04,29.53,380085
2019-01-07,29.7,393214
2019-01-08,28.88,388811
2019-01-09,29.43,155959
2019-01-10,30.62,191718
2019-01-11,29.92,308457
2019-01-14,29.66,230018
2019-01-15,30.23,167950
2019-01-16,31.2,234561
2019-01-17,31.87,279789
2019-01-18,32.22,329605
