date,close,volume
2018-04-25,58.6,30064
2018-04-26,59.03,21535
2018-04-27,59.38,10791
2018-04-30,57.98,33449
2018-05-01,57.43,31181
2018-05-02,57.05,11945
2018-05-03,57.0,10265
2018-05-04,57.18,11532
2018-05-07,57.41,54375
2018-05-08,57.91,10014
2018-05-09,58.1,20835
2018-05-10,58.3,15223
2018-05-11,59.22,8969
2018-05-14,58.05,18251
2018-05-15,58.0,26828
2018-05-16,58.01,40816
2018-05-17,58.16,23603
2018-05-18,58.72,27581
2018-05-21,58.9,34600
2018-05-22,58.8,25515
2018-05-23,59.0,16640
2018-05-24,59.14,32671
2018-05-25,59.14,14516
2018-05-29,58.49,21851
2018-05-30,59.82,22406
2018-05-31,58.03,31712
2018-06-01,59.41,41564
2018-06-04,60.09,29527
2018-06-05,60.0,37841
2018-06-06,59.66,30435
2018-06-07,59.4,27086
2018-06-08,59.64,19210
2018-06-11,59.84,26229
2018-06-12,58.69,35677
2018-06-13,57.91,24169
2018-06-14,59.03,25316
2018-06-15,59.76,50530
2018-06-18,60.04,44932
2018-06-19,59.2,23235
2018-06-20,59.64,34789
2018-06-21,58.1,36234
2018-06-22,56.08,237960
2018-06-25,58.86,76261
2018-06-26,59.92,34033
2018-06-27,58.91,25856
2018-06-28,58.92,16348
2018-06-29,59.54,27453
2018-07-02,59.74,16979
2018-07-03,59.35,5991
2018-07-05,59.93,23765
2018-07-06,60.37,22917
2018-07-09,61.47,24741
2018-07-10,60.32,25456
2018-07-11,59.72,15688
2018-07-12,59.59,25417
2018-07-13,58.76,18861
2018-07-16,58.74,22166
2018-07-17,58.43,12128
2018-07-18,58.82,14928
2018-07-19,58.63,12743
2018-07-20,57.55,24636
2018-07-23,58.34,21546
2018-07-24,59.56,14508
2018-07-25,59.09,20637
2018-07-26,59.5,12762
2018-07-27,59.4,42879
2018-07-30,57.51,35332
2018-07-31,58.37,43182
2018-08-01,58.37,28770
2018-08-02,59.06,21138
2018-08-03,58.81,17439
2018-08-06,59.63,17276
2018-08-07,59.67,13531
2018-08-08,59.96,20875
2018-08-09,60.2,18333
2018-08-10,59.99,16610
2018-08-13,59.85,14263
2018-08-14,60.54,9076
2018-08-15,58.6,39469
2018-08-16,58.63,17363
2018-08-17,58.56,20127
2018-08-20,58.56,58869
2018-08-21,58.83,26221
2018-08-22,58.54,67656
2018-08-23,58.23,21354
2018-08-24,58.41,27038
2018-08-27,58.32,24075
2018-08-28,57.94,22116
2018-08-29,57.65,14414
2018-08-30,57.42,14562
2018-08-31,57.53,16500
2018-09-04,57.38,12702
2018-09-05,57.5,22328
2018-09-06,56.78,26180
2018-09-07,56.3,16757
2018-09-10,54.85,21998
2018-09-11,52.82,59140
2018-09-12,53.6,47050
2018-09-13,53.25,14795
2018-09-14,52.89,20168
2018-09-17,51.53,130417
2018-09-18,51.96,30022
2018-09-19,51.89,29974
2018-09-20,52.38,29079
2018-09-21,51.66,54045
