date,close,volume
2018-04-25,46.02,83101
2018-04-26,46.3,89713
2018-04-27,46.01,84415
2018-04-30,46.02,68710
2018-05-01,45.89,59974
2018-05-02,46.16,72506
2018-05-03,45.29,85220
2018-05-04,45.38,55474
2018-05-07,45.05,45344
2018-05-08,45.6,142511
2018-05-09,48.03,127987
2018-05-10,47.55,77061
2018-05-11,46.75,77062
2018-05-14,49.37,170936
2018-05-15,50.33,132456
2018-05-16,51.07,97476
2018-05-17,52.48,176396
2018-05-18,52.05,71640
2018-05-21,52.34,90419
2018-05-22,51.93,86338
2018-05-23,52.62,100645
2018-05-24,52.81,165952
2018-05-25,53.51,114431
2018-05-29,53.0,152737
2018-05-30,54.8,135267
2018-05-31,54.53,93298
2018-06-01,55.2,85022
2018-06-04,56.71,200864
2018-06-05,54.86,139733
2018-06-06,53.73,149277
2018-06-07,54.31,120616
2018-06-08,54.0,81346
2018-06-11,54.31,100438
2018-06-12,52.77,320692
2018-06-13,52.91,173526
2018-06-14,53.1,186566
2018-06-15,53.92,328782
2018-06-18,54.13,176352
2018-06-19,54.21,184478
2018-06-20,54.38,187596
2018-06-21,55.16,139805
2018-06-22,56.66,205309
2018-06-25,56.17,236199
2018-06-26,55.47,200947
2018-06-27,54.39,146676
2018-06-28,54.13,116028
2018-06-29,53.34,126536
2018-07-02,53.6,156371
2018-07-03,53.88,64664
2018-07-05,54.17,98604
2018-07-06,54.21,95960
2018-07-09,53.79,59275
2018-07-10,52.7,73899
2018-07-11,51.91,106990
2018-07-12,51.91,71811
2018-07-13,52.07,69928
2018-07-16,51.92,118011
2018-07-17,52.58,88345
2018-07-18,52.35,65227
2018-07-19,52.53,94173
2018-07-20,52.63,61227
2018-07-23,52.28,49379
2018-07-24,52.24,106043
2018-07-25,51.74,72139
2018-07-26,52.39,111339
2018-07-27,51.66,113578
2018-07-30,51.9,86856
2018-07-31,51.13,83344
2018-08-01,50.21,111434
2018-08-02,50.96,114259
2018-08-03,50.62,55053
2018-08-06,47.92,152696
2018-08-07,48.66,78581
2018-08-08,49.55,103838
2018-08-09,48.81,89692
2018-08-10,47.88,92709
2018-08-13,47.3,68686
2018-08-14,48.37,112896
2018-08-15,47.25,72927
2018-08-16,47.28,50457
2018-08-17,47.46,76571
2018-08-20,47.58,47980
2018-08-21,48.42,68498
2018-08-22,49.03,63402
2018-08-23,48.59,51851
2018-08-24,48.85,86481
2018-08-27,48.01,65294
2018-08-28,47.56,60216
2018-08-29,46.47,75582
2018-08-30,46.37,51613
2018-08-31,46.59,71622
2018-09-04,46.1,66337
2018-09-05,43.71,530592
2018-09-06,44.41,103772
2018-09-07,44.3,70287
2018-09-10,45.89,102066
2018-09-11,45.38,79625
2018-09-12,44.96,106880
2018-09-13,43.72,94475
2018-09-14,43.91,59462
2018-09-17,44.21,52231
2018-09-18,44.41,57816
2018-09-19,44.36,66168
2018-09-20,44.76,53196
2018-09-21,45.08,192465
2018-09-24,45.25,54291
2018-09-25,44.97,77372
2018-09-26,43.85,174555
2018-09-27,43.68,118487
2018-09-28,43.4,75934
2018-10-01,43.09,85100
2018-10-02,42.81,105013
2018-10-03,42.45,191045
2018-10-04,42.36,76949
2018-10-05,41.49,226653
2018-10-08,42.19,89943
2018-10-09,41.96,156647
2018-10-10,41.85,178135
2018-10-11,41.65,168827
2018-10-12,41.63,89915
2018-10-15,41.75,73798
2018-10-16,42.37,101063
2018-10-17,42.19,67652
2018-10-18,43.03,120128
2018-10-19,43.11,106019
2018-10-22,44.22,95661
2018-10-23,44.37,115602
2018-10-24,43.87,102207
2018-10-25,44.24,136191
2018-10-26,43.48,168415
2018-10-29,46.19,116586
2018-10-30,47.81,125376
2018-10-31,46.15,109597
2018-11-01,45.18,87284
2018-11-02,45.7,59175
2018-11-05,44.6,138359
2018-11-06,45.46,82211
2018-11-07,46.46,81088
2018-11-08,47.53,79302
2018-11-09,47.35,142590
2018-11-12,47.59,97954
2018-11-13,47.3,61018
2018-11-14,47.02,75189
2018-11-15,47.38,63929
2018-11-16,47.54,75508
2018-11-19,46.53,61914
2018-11-20,45.81,74107
2018-11-21,45.82,63035
2018-11-23,48.37,93104
2018-11-26,47.37,77525
2018-11-27,47.66,55428
2018-11-28,48.12,51383
2018-11-29,47.41,42185
2018-11-30,45.8,93662
2018-12-03,46.07,163565
2018-12-04,45.14,132128
2018-12-06,45.63,101716
2018-12-07,45.9,83954
2018-12-10,45.25,76668
2018-12-11,45.65,41099
2018-12-12,46.42,45528
2018-12-13,46.25,59743
2018-12-14,45.69,47915
