date,close,volume
2018-04-25,88.02,820787
2018-04-26,90.15,873623
2018-04-27,88.94,1022822
2018-04-30,88.21,528459
2018-05-01,87.76,543470
2018-05-02,85.62,514704
2018-05-03,86.11,334466
2018-05-04,88.0,272939
2018-05-07,87.61,241799
2018-05-08,87.62,213215
2018-05-09,87.9,217121
2018-05-10,89.17,314591
2018-05-11,90.08,261798
2018-05-14,90.07,281541
2018-05-15,89.2,209279
2018-05-16,88.85,291415
2018-05-17,88.42,198872
2018-05-18,89.22,313826
2018-05-21,90.14,200378
2018-05-22,90.11,163301
2018-05-23,90.88,231211
2018-05-24,91.22,282756
2018-05-25,91.53,310353
2018-05-29,92.21,321821
2018-05-30,94.12,422059
2018-05-31,93.0,557546
2018-06-01,93.0,390798
2018-06-04,95.31,332968
2018-06-05,95.03,311887
2018-06-06,96.33,194914
2018-06-07,95.3,178455
2018-06-08,96.75,305892
2018-06-11,97.27,254263
2018-06-12,98.37,388830
2018-06-13,98.73,268108
2018-06-14,100.02,389268
2018-06-15,101.03,657073
2018-06-18,101.5,284213
2018-06-19,101.7,273893
2018-06-20,101.88,212963
2018-06-21,100.92,281419
2018-06-22,100.99,1027754
2018-06-25,98.64,195601
2018-06-26,99.32,290893
2018-06-27,98.05,325937
2018-06-28,98.68,514370
2018-06-29,99.29,517139
2018-07-02,98.69,353122
2018-07-03,98.92,136986
2018-07-05,99.41,474978
2018-07-06,100.56,258261
2018-07-09,101.03,301024
2018-07-10,100.8,379927
2018-07-11,100.0,324589
2018-07-12,100.58,393846
2018-07-13,100.03,457682
2018-07-16,98.45,403708
2018-07-17,98.87,326119
2018-07-18,98.01,469152
2018-07-19,99.47,453739
2018-07-20,99.61,329898
2018-07-23,100.08,199866
2018-07-24,98.99,270802
2018-07-25,99.67,305135
2018-07-26,110.85,1410492
2018-07-27,109.64,592397
2018-07-30,109.01,436018
2018-07-31,109.65,409906
2018-08-01,111.11,410154
2018-08-02,113.89,427242
2018-08-03,114.75,398918
2018-08-06,116.03,228730
2018-08-07,116.13,517777
2018-08-08,115.59,249827
2018-08-09,115.32,144987
2018-08-10,114.82,194767
2018-08-13,115.13,209659
2018-08-14,117.25,467371
2018-08-15,114.89,312852
2018-08-16,114.74,393198
2018-08-17,116.02,137186
2018-08-20,115.4,260483
2018-08-21,115.96,263251
2018-08-22,115.96,181713
2018-08-23,116.1,156106
2018-08-24,116.82,184416
2018-08-27,117.39,303303
2018-08-28,117.16,397532
2018-08-29,117.35,456740
2018-08-30,117.09,209971
2018-08-31,117.05,228380
2018-09-04,116.18,371371
2018-09-05,116.38,292619
2018-09-06,116.58,377761
2018-09-07,116.27,229106
2018-09-10,117.03,227205
2018-09-11,116.51,174678
2018-09-12,117.72,268720
2018-09-13,118.86,399210
2018-09-14,120.58,466023
2018-09-17,118.99,340067
2018-09-18,119.73,329948
2018-09-19,120.31,363012
2018-09-20,120.1,504249
2018-09-21,121.59,503262
2018-09-24,122.77,538233
2018-09-25,122.59,280706
2018-09-26,122.35,355252
2018-09-27,122.71,307520
2018-09-28,123.47,656658
2018-10-01,123.0,246052
2018-10-02,121.75,270206
2018-10-03,123.98,728967
2018-10-04,119.59,376685
2018-10-05,120.39,208369
2018-10-08,119.6,207990
2018-10-09,118.78,261346
2018-10-10,115.13,493373
2018-10-11,114.1,565647
2018-10-12,115.94,242833
2018-10-15,115.55,161917
2018-10-16,119.32,212435
2018-10-17,118.93,188169
2018-10-18,116.53,228826
2018-10-19,113.77,237255
2018-10-22,113.98,186745
2018-10-23,113.91,499871
2018-10-24,111.88,341646
