date,close,volume
2018-04-25,92.11,352920
2018-04-26,91.33,285146
2018-04-27,91.38,261980
2018-04-30,89.45,325181
2018-05-01,91.04,426283
2018-05-02,90.69,290101
2018-05-03,89.74,255649
2018-05-04,90.54,358422
2018-05-07,91.55,433228
2018-05-08,92.74,311060
2018-05-09,93.15,250236
2018-05-10,93.12,182531
2018-05-11,92.95,198510
2018-05-14,92.48,297233
2018-05-15,93.07,504455
2018-05-16,94.29,352972
2018-05-17,94.75,324888
2018-05-18,94.05,445966
2018-05-21,97.56,722714
2018-05-22,96.81,638223
2018-05-23,95.31,426557
2018-05-24,94.26,442470
2018-05-25,94.09,181801
2018-05-29,91.89,376863
2018-05-30,93.39,542461
2018-05-31,92.11,318067
2018-06-01,93.18,388536
2018-06-04,93.94,241083
2018-06-05,93.67,236699
2018-06-06,96.01,332033
2018-06-07,96.54,416505
2018-06-08,97.1,250882
2018-06-11,95.9,345239
2018-06-12,94.9,285978
2018-06-13,95.2,312907
2018-06-14,94.34,509092
2018-06-15,94.1,1124964
2018-06-18,93.29,477190
2018-06-19,93.96,346472
2018-06-20,93.77,353395
2018-06-21,93.47,358499
2018-06-22,91.05,6553675
2018-06-25,90.13,1280228
2018-06-26,90.67,673533
2018-06-27,88.34,549825
2018-06-28,87.63,451760
2018-06-29,87.05,536792
2018-07-02,88.18,870695
2018-07-03,88.33,219557
2018-07-05,87.96,307905
2018-07-06,88.42,376280
2018-07-09,90.01,351074
2018-07-10,88.73,248689
2018-07-11,88.13,251809
2018-07-12,87.53,468358
2018-07-13,86.74,451729
2018-07-16,88.1,345861
2018-07-17,88.38,546507
2018-07-18,90.84,662237
2018-07-19,91.31,357733
2018-07-20,90.35,312929
2018-07-23,92.02,711312
2018-07-24,90.23,747616
2018-07-25,88.33,315005
2018-07-26,88.92,303260
2018-07-27,88.09,274293
2018-07-30,88.03,296841
2018-07-31,87.73,434381
2018-08-01,88.78,623699
2018-08-02,89.42,257761
2018-08-03,88.99,295107
2018-08-06,89.32,213155
2018-08-07,89.2,196950
2018-08-08,89.94,383343
2018-08-09,89.25,266033
2018-08-10,89.22,464517
2018-08-13,88.78,236220
2018-08-14,90.18,238411
2018-08-15,88.89,299375
2018-08-16,90.36,123515
2018-08-17,90.41,150621
2018-08-20,90.74,182497
2018-08-21,92.1,210978
2018-08-22,91.64,237747
2018-08-23,90.52,226918
2018-08-24,89.85,341747
2018-08-27,89.33,345079
2018-08-28,88.8,224324
2018-08-29,88.54,249975
2018-08-30,87.72,271133
2018-08-31,88.55,223212
2018-09-04,89.19,391005
2018-09-05,89.21,188707
2018-09-06,88.96,391717
2018-09-07,89.51,250611
2018-09-10,89.41,360985
2018-09-11,90.3,252986
2018-09-12,88.23,235118
2018-09-13,87.72,312336
2018-09-14,88.57,754820
2018-09-17,87.72,390251
2018-09-18,87.59,281455
2018-09-19,88.93,472403
2018-09-20,90.75,541738
2018-09-21,90.32,577312
2018-09-24,89.07,514497
2018-09-25,88.71,224275
2018-09-26,87.11,228031
2018-09-27,85.16,471409
2018-09-28,84.94,480517
2018-10-01,84.25,323571
2018-10-02,84.91,736524
2018-10-03,87.54,428623
2018-10-04,87.48,439219
2018-10-05,86.44,247807
2018-10-08,87.25,227755
2018-10-09,87.26,366079
2018-10-10,86.5,597631
2018-10-11,83.04,782647
2018-10-12,81.46,551400
2018-10-15,82.43,438477
2018-10-16,83.61,805378
2018-10-17,83.82,517502
2018-10-18,79.73,1337115
