date,close,volume
2018-06-19,49.96,16588
2018-06-20,50.58,189989
2018-06-21,50.27,428740
2018-06-22,50.49,181638
2018-06-25,49.45,2509603
2018-06-26,49.53,104005
2018-06-27,49.1,144983
2018-06-28,49.59,336481
2018-06-29,49.53,152346
2018-07-02,49.84,321297
2018-07-03,49.23,97459
2018-07-05,49.98,324879
2018-07-06,50.77,199770
2018-07-09,51.06,118112
2018-07-10,51.04,1153296
2018-07-11,50.97,227517
2018-07-12,51.77,361366
2018-07-13,51.69,80077
2018-07-16,51.54,200891
2018-07-17,51.55,172559
2018-07-18,51.4,147833
2018-07-19,51.04,258442
2018-07-20,50.87,158390
2018-07-23,51.08,94753
2018-07-24,51.44,211201
2018-07-25,51.81,612027
2018-07-26,49.86,833638
2018-07-27,48.91,1111208
2018-07-30,48.14,251253
2018-07-31,48.46,1211405
2018-08-01,48.26,1250389
2018-08-02,48.58,190710
2018-08-03,48.91,117156
2018-08-06,49.4,110254
2018-08-07,49.46,128846
2018-08-08,49.42,114201
2018-08-09,49.69,306361
2018-08-10,49.27,177577
2018-08-13,49.2,261036
2018-08-14,49.55,189801
2018-08-15,48.86,555147
2018-08-16,48.84,177579
2018-08-17,48.61,226924
2018-08-20,48.69,145778
2018-08-21,48.99,384889
2018-08-22,48.93,501855
2018-08-23,48.73,283725
2018-08-24,49.44,330882
2018-08-27,49.92,299237
2018-08-28,49.7,150238
2018-08-29,49.98,270866
2018-08-30,49.67,344409
2018-08-31,49.18,234969
2018-09-04,48.57,343694
2018-09-05,47.94,773599
2018-09-06,47.58,599592
2018-09-07,47.68,755726
2018-09-10,47.78,310874
2018-09-11,48.26,615753
2018-09-12,48.12,713288
2018-09-13,48.46,754494
2018-09-14,48.37,1190839
2018-09-17,47.9,810780
2018-09-18,48.24,430348
2018-09-19,48.37,2385315
2018-09-20,48.9,4554248
2018-09-21,48.55,7974618
2018-09-24,48.55,6769350
2018-09-25,48.57,3994751
2018-09-26,48.76,5688601
2018-09-27,49.18,3649353
2018-09-28,49.0,2306627
2018-10-01,48.8,7636941
2018-10-02,48.76,5823514
2018-10-03,48.98,5146373
2018-10-04,48.28,5292234
2018-10-05,47.82,2648640
2018-10-08,47.66,2170015
2018-10-09,47.63,1991429
2018-10-10,45.75,4050865
2018-10-11,45.36,8841290
2018-10-12,46.37,5877552
2018-10-15,46.19,1576938
2018-10-16,47.41,3707728
2018-10-17,47.6,4571077
2018-10-18,46.73,21297459
2018-10-19,46.72,3544398
2018-10-22,46.69,2711722
2018-10-23,46.59,2779554
2018-10-24,44.37,3552503
2018-10-25,45.84,3391689
2018-10-26,44.6,5229234
2018-10-29,43.91,3490983
2018-10-30,45.11,6283632
