date,close,volume
2018-04-25,46.91,1412954
2018-04-26,48.66,1015161
2018-04-27,48.47,1109049
2018-04-30,48.75,1102632
2018-05-01,48.58,2341241
2018-05-02,52.12,3909604
2018-05-03,52.08,1520837
2018-05-04,53.65,2345021
2018-05-07,54.03,1532786
2018-05-08,54.18,1143520
2018-05-09,55.62,1226790
2018-05-10,56.91,898582
2018-05-11,56.03,1466536
2018-05-14,55.0,1605798
2018-05-15,54.89,1532122
2018-05-16,55.1,1044162
2018-05-17,55.11,974031
2018-05-18,56.34,1010983
2018-05-21,55.77,702654
2018-05-22,54.94,604990
2018-05-23,55.71,1017967
2018-05-24,56.39,1004923
2018-05-25,56.33,311260
2018-05-29,56.3,588220
2018-05-30,56.13,1139076
2018-05-31,55.89,874475
2018-06-01,56.84,1151324
2018-06-04,56.88,978718
2018-06-05,56.99,969482
2018-06-06,57.96,1191347
2018-06-07,55.13,2069569
2018-06-08,56.74,970376
2018-06-11,56.89,867598
2018-06-12,58.26,1174826
2018-06-13,58.81,1247495
2018-06-14,59.43,1453761
2018-06-15,58.91,1292449
2018-06-18,58.83,1953797
2018-06-19,58.05,1542486
2018-06-20,59.05,1484887
2018-06-21,57.46,1681681
2018-06-22,54.76,11134848
2018-06-25,53.05,2258126
2018-06-26,54.46,1843198
2018-06-27,52.54,2317609
2018-06-28,54.79,1742872
2018-06-29,54.49,2142567
2018-07-02,56.3,879034
2018-07-03,56.08,800319
2018-07-05,56.41,2089874
2018-07-06,57.66,976295
2018-07-09,57.67,1086966
2018-07-10,57.39,1565301
2018-07-11,58.03,845393
2018-07-12,59.57,988903
2018-07-13,59.68,1127840
2018-07-16,59.41,1169159
2018-07-17,60.3,1082710
2018-07-18,60.45,702150
2018-07-19,60.35,701577
2018-07-20,60.58,718048
2018-07-23,61.11,1219604
2018-07-24,59.07,1190742
2018-07-25,60.62,1110544
2018-07-26,60.4,1159877
2018-07-27,58.05,1454117
2018-07-30,55.54,2017969
2018-07-31,54.47,3857641
2018-08-01,61.04,4750075
2018-08-02,63.01,1743969
2018-08-03,61.07,1547976
2018-08-06,62.97,1076764
2018-08-07,62.9,802296
2018-08-08,62.96,528962
2018-08-09,62.96,1096107
2018-08-10,62.9,1759619
2018-08-13,62.84,969509
2018-08-14,63.78,420123
2018-08-15,61.97,1752720
2018-08-16,62.2,1523293
2018-08-17,61.71,911454
2018-08-20,61.7,864321
2018-08-21,61.83,681210
2018-08-22,63.4,972642
2018-08-23,64.59,967024
2018-08-24,66.76,1616677
2018-08-27,67.01,1244900
2018-08-28,67.31,668981
2018-08-29,69.23,1387912
2018-08-30,69.4,908004
2018-08-31,68.89,1584699
2018-09-04,69.68,894950
2018-09-05,67.98,1763282
2018-09-06,67.94,1068168
2018-09-07,69.06,730663
2018-09-10,69.95,812215
2018-09-11,70.66,1036987
2018-09-12,70.67,780704
2018-09-13,70.55,1207830
2018-09-14,71.94,1180569
2018-09-17,67.69,1726545
2018-09-18,68.51,2076158
2018-09-19,67.23,1060564
2018-09-20,67.97,729285
2018-09-21,67.31,958158
2018-09-24,68.55,1029690
2018-09-25,71.37,1918531
2018-09-26,71.16,1235534
2018-09-27,70.81,874386
2018-09-28,71.0,1021642
2018-10-01,69.2,907548
2018-10-02,67.64,1456267
2018-10-03,67.88,1126314
2018-10-04,66.67,887760
2018-10-05,65.8,1252643
2018-10-08,63.67,2357841
2018-10-09,63.29,1760811
2018-10-10,60.07,1812843
2018-10-11,59.17,1919771
2018-10-12,61.61,1745410
2018-10-15,60.64,1978105
2018-10-16,63.22,1832089
2018-10-17,62.96,1459356
2018-10-18,61.7,1675905
2018-10-19,57.82,2129342
2018-10-22,58.74,1743555
2018-10-23,59.31,1629820
2018-10-24,55.7,2117417
2018-10-25,56.91,1773367
2018-10-26,55.68,1756437
2018-10-29,54.19,3224861
2018-10-30,53.76,4765392
2018-10-31,54.97,5212963
2018-11-01,55.15,2954903
2018-11-02,55.17,2263400
2018-11-05,53.33,1584086
2018-11-06,53.01,1508208
2018-11-07,57.64,3361080
2018-11-08,55.55,1376210
2018-11-09,54.4,1575947
2018-11-12,53.19,2034485
2018-11-13,52.55,2116189
2018-11-14,53.1,2370797
2018-11-15,55.97,3195913
2018-11-16,54.92,3358995
2018-11-19,48.37,4903997
2018-11-20,49.37,3862492
2018-11-21,51.8,2136323
2018-11-23,53.1,855214
2018-11-26,54.16,3193608
2018-11-27,52.55,1752474
2018-11-28,57.44,2544630
2018-11-29,58.29,1493079
2018-11-30,59.43,1830088
2018-12-03,61.39,1753653
2018-12-04,58.48,1659311
2018-12-06,59.88,2318242
2018-12-07,58.4,1762765
2018-12-10,58.6,1194616
2018-12-11,58.53,821888
2018-12-12,60.61,3617487
2018-12-13,61.17,2478871
2018-12-14,59.86,1622068
2018-12-17,55.91,2604250
2018-12-18,55.42,2684377
2018-12-19,55.81,1698449
2018-12-20,53.64,1881719
2018-12-21,51.25,1680956
2018-12-24,51.51,763568
2018-12-26,56.03,1420281
2018-12-27,56.87,1119763
2018-12-28,57.25,954226
2018-12-31,58.37,921132
2019-01-02,57.59,1641456
2019-01-03,55.54,1548299
2019-01-04,58.22,1876015
2019-01-07,61.28,2087844
2019-01-08,63.25,2164595
2019-01-09,62.56,1413767
2019-01-10,62.96,712745
2019-01-11,62.45,750601
2019-01-14,61.55,1252282
2019-01-15,63.01,1845943
2019-01-16,62.94,1530753
2019-01-17,63.71,1344410
2019-01-18,65.03,1780202
2019-01-22,64.04,1681980
2019-01-23,64.4,1495873
2019-01-24,64.52,2541145
2019-01-25,65.79,955128
2019-01-28,65.91,1403772
2019-01-29,64.63,749661
2019-01-30,65.93,1847735
2019-01-31,67.53,2204393
2019-02-01,69.08,2093359
2019-02-04,68.99,2483991
2019-02-05,68.6,3379577
2019-02-06,72.4,9472324
2019-02-07,73.27,3060415
2019-02-08,76.38,3164451
2019-02-11,76.79,2007238
2019-02-12,78.47,1715423
2019-02-13,77.49,1488803
2019-02-14,78.97,2282231
2019-02-15,78.73,1307502
2019-02-19,78.07,1643959
2019-02-20,77.16,2999313
2019-02-21,77.06,1628466
2019-02-22,78.84,1212112
2019-02-25,79.06,2023503
2019-02-26,79.17,1198503
2019-02-27,79.32,1143779
2019-02-28,79.02,2736073
2019-03-01,80.27,1849316
2019-03-04,77.01,3708473
2019-03-05,77.04,1915238
2019-03-06,75.21,1953302
2019-03-07,75.92,2146420
2019-03-08,77.2,1373118
2019-03-11,79.21,2473415
2019-03-12,81.4,2268478
2019-03-13,81.7,3343321
2019-03-14,82.96,1455415
2019-03-15,82.6,1955088
2019-03-18,82.92,1979243
2019-03-19,83.88,1534512
2019-03-20,84.02,1545096
2019-03-21,85.64,1324992
2019-03-22,82.82,1590277
2019-03-25,82.72,2026239
2019-03-26,84.18,1025190
2019-03-27,82.41,1361417
2019-03-28,83.32,826326
2019-03-29,85.0,1002112
2019-04-01,85.33,1119081
2019-04-02,86.27,886782
2019-04-03,85.43,1146060
2019-04-04,82.1,2008527
2019-04-05,81.71,1797124
2019-04-08,81.79,965076
2019-04-09,82.6,1225110
2019-04-10,83.34,1597257
2019-04-11,83.89,1053665
2019-04-12,83.2,590325
2019-04-15,83.22,1439231
2019-04-16,81.97,1544159
2019-04-17,80.7,1821872
2019-04-18,80.9,1484317
2019-04-22,82.58,769337
2019-04-23,83.48,1211840
2019-04-24,82.96,2300561
2019-04-25,84.53,1756042
